ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWV06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,BRNAGAIN,UNION4,BUSH4,IRAQWAR,BYRDAGE,MANCHJOB,MANCJOB2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
12862.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.857441663742065,Robert Byrd (Dem),Female,White,25-29,Democratic,Liberal,,Other Christian,No,No one does,Strongly disapprove,Somewhat disapprove,No,Somewhat disapprove,Disapprove,White female,White female,18-29,25-29,18-64,18-29,Democratic,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
12904.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.781221985816956,Robert Byrd (Dem),Female,White,45-49,Independent,Moderate,$150k-$200k,Something else,No,"Yes, someone else does",Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Something else,White Something else,All others,All others,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
12941.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.964199841022491,Robert Byrd (Dem),Male,White,65-74,Independent,Conservative,$30k-$50k,Protestant,Yes,No one does,Somewhat disapprove,Somewhat disapprove,No,Somewhat approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
12950.0,West Virginia,23.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.958265364170074,Robert Byrd (Dem),Male,White,50-59,Democratic,Moderate,$15k-$30k,Catholic,Yes,"Yes, someone else does",Strongly disapprove,Strongly disapprove,No,Somewhat disapprove,Disapprove,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,Rural,Small Cities/Rural,1.0,Competitive,Monongahela River Valley,Town,Rural,Rural,Very downscale
12980.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.964199841022491,Robert Byrd (Dem),Male,White,65-74,Democratic,Liberal,$75k-$100k,Protestant,No,No one does,Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13008.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.781221985816956,Robert Byrd (Dem),Female,White,45-49,Democratic,Liberal,$50k-$75k,Protestant,Yes,No one does,Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,White female,White female,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13043.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.964199841022491,Robert Byrd (Dem),Male,White,65-74,Republican,Moderate,$30k-$50k,Protestant,No,No one does,Somewhat disapprove,Strongly disapprove,No,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13076.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.900229036808014,Robert Byrd (Dem),Female,White,75 or over,Independent,Moderate,$30k-$50k,Protestant,No,No one does,Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13091.0,West Virginia,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.89510440826416,Robert Byrd (Dem),Female,White,50-59,Democratic,Moderate,,Catholic,Yes,No one does,Strongly disapprove,Strongly disapprove,No,Somewhat approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Democratic,,,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Extremely Low Density Rural,Rural,Rural,Very downscale
13092.0,West Virginia,23.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.894688308238983,Robert Byrd (Dem),Female,White,50-59,Democratic,Moderate,$30k-$50k,Protestant,No,No one does,Somewhat disapprove,Somewhat disapprove,Yes,Somewhat approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Monongahela River Valley,Town,Rural,Rural,Very downscale
