ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAR08,SENAR08,ARINIT1,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HILLPSPRT,IRAQWAR,ISSUE08,NECWORRY,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,IRAQWAR2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4386153.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.35986518859863,,,No,Female,White,40-44,Something else,Liberal,"$100,000-$149,999",High school graduate,No,Omit,Yes,Hillary Clinton,Strongly disapprove,Health care,Somewhat worried,Can bring about needed change,Not a factor at all,Before that,Omit,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Non Democrats,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Little Rock area,South,Low Density Rural,Rural,Rural,Downscale,72110.0
4401876.0,Arkansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,3.17130208015442,John McCain,,Yes,Female,White,60-64,Republican,Conservative,"$30,000-$49,999",Some college or associate degree,,,Yes,Did not care who won,,,,,,Before that,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72113.0
4385973.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.13883376121521,John McCain,,No,Male,White,65-74,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,Hillary Clinton,Somewhat disapprove,The war in Iraq,Very worried,Has the right experience,The single most important factor,Earlier in October,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Little Rock area,South,Extremely Low Density Rural,Rural,Rural,Downscale,72137.0
4401870.0,Arkansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,2.49693202972412,John McCain,Did not vote,,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,,,Yes,Hillary Clinton,,,,,,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Little Rock area,South,Extremely Low Density Rural,70s Suburbs,Urban Perimeter,Downscale,72024.0
4386029.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.963518738746643,Other,Did not vote,No,Female,White,60-64,Independent,Moderate,"$75,000-$99,999",High school graduate,No,Somewhat disapprove,,Hillary Clinton,Omit,The economy,Very worried,Has the right experience,Not a factor at all,Omit,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Omit,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Not a factor,Omit,Omit,Omit,No,All others,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72022.0
4386109.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.703537225723267,Barack Obama,Mark Pryor,,Female,Other,,Democrat,,,,,Strongly disapprove,,Barack Obama,Strongly disapprove,The war in Iraq,Very worried,Omit,Not a factor at all,Before that,Disapprove,Non black female,All other races,Non white female,Non white,,,,,,,,,,,,,Democrats for Obama,,,,,Disapprove,Worried,Democrat,Non black Democrat,All other,All others,Other,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72116.0
4386116.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.22651886940002,Barack Obama,Mark Pryor,,Female,Black,30-39,Democrat,Liberal,,Some college or associate degree,No,Strongly disapprove,Yes,Barack Obama,Strongly disapprove,The economy,Not too worried,Can bring about needed change,The single most important factor,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Democrats for Obama,,,,,Disapprove,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72211.0
4386180.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.772393882274628,Barack Obama,Mark Pryor,Did not vote,Female,White,75 or over,Democrat,Liberal,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Little Rock area,South,Extremely Low Density Rural,Rural,Rural,Downscale,72834.0
4386055.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.72076034545898,Barack Obama,Mark Pryor,Did not vote,Male,Black,25-29,Independent,Conservative,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Cares about people like me,Not a factor at all,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Disapprove,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Downscale,72206.0
4386031.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.340868979692459,Barack Obama,Mark Pryor,Yes,Female,White,65-74,Independent,Moderate,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,No,Hillary Clinton,Strongly disapprove,The war in Iraq,Somewhat worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Disapprove,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72207.0
