ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAZ08,AZPROP102,AZPROP202,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,FAVMCCN,IMMDEPORT,IRAQWAR,ISSUE08,NECWORRY,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,FAVMCCN2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,IRAQWAR2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401237.0,Arizona,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,4.27221727371216,Barack Obama,,,Male,White,18-24,Independent,Conservative,,Some college or associate degree,No,,,,,,,,,,,English,,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,,No college degree,More than High school graduate,White no college degree,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,Suburbs,Suburbs,6.0,Pima/Pinal/Santa Cruz,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,85220.0
4386494.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.90471863746643,Barack Obama,,,Female,White,50-59,Democrat,,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,No,Strongly unfavorable,Offered a chance to apply for legal status,Strongly disapprove,The economy,Omit,Can bring about needed change,Not a factor at all,Catholic,English,Sometime in September,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Unfavorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Disapprove,Omit,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,Catholic,No,All others,All others,All others,Suburbs,Suburbs,8.0,Pima/Pinal/Santa Cruz,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85737.0
4386381.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.94116806983948,John McCain,,,Male,White,60-64,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,No,Somewhat favorable,Deported to the country they came from,Somewhat approve,Energy policy,Somewhat worried,Has the right experience,Not a factor at all,Protestant,English,Sometime in September,Approve,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Approve,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,6.0,Pima/Pinal/Santa Cruz,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,85220.0
4386318.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.07566726207733,John McCain,,,Female,Hispanic/Latino,75 or over,Independent,,,Some college or associate degree,Yes,Strongly disapprove,No,Somewhat favorable,Offered a chance to apply for legal status,Strongly disapprove,The economy,Not at all worried,Shares my values,Not a factor at all,Catholic,English,Earlier in October,Disapprove,Non black female,Latino women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,Favorable,No college degree,More than High school graduate,Non white no college degree,,,,,Disapprove,Not worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,Non-white,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",8.0,Pima/Pinal/Santa Cruz,West,High Density Urban,Urban,Urban Core,Downscale,85716.0
4386579.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.43042087554932,Barack Obama,Did not vote,,Female,White,60-64,Independent,Moderate,"$200,000 or more",College graduate,No,Strongly disapprove,No,Omit,Deported to the country they came from,Strongly disapprove,The war in Iraq,Somewhat worried,Shares my values,Not a factor at all,Protestant,English,Omit,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Omit,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Omit,Omit,Omit,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,8.0,Pima/Pinal/Santa Cruz,West,Suburb,70s Suburbs,Urban Perimeter,Very upscale,85704.0
4386363.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.972832918167114,John McCain,Did not vote,,Female,Hispanic/Latino,60-64,Republican,Conservative,,High school graduate,Yes,Somewhat disapprove,No,Somewhat favorable,Deported to the country they came from,Somewhat approve,The economy,Very worried,Cares about people like me,The single most important factor,Catholic,English,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,Latino 60+,Latino 45-54,Favorable,No college degree,High school graduate or less,Non white no college degree,,,,,Approve,Worried,Republican,Non black non Democrat,All Republicans,All others,,All others,Important,Factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",8.0,Pima/Pinal/Santa Cruz,West,High Density Urban,Urban,Urban Core,Upscale,85710.0
4400063.0,Arizona,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.300462663173676,Barack Obama,Yes,,Female,White,60-64,Independent,Moderate,"$30,000-$49,999",High school graduate,No,,Yes,,,Somewhat approve,The economy,,Cares about people like me,Not a factor at all,,English,Earlier in October,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Approve,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,Yes,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,6.0,Pima/Pinal/Santa Cruz,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,85220.0
4386225.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.866771757602692,John McCain,Yes,,Male,White,60-64,Independent,Moderate,"$100,000-$149,999",Postgraduate study,No,Somewhat disapprove,No,Somewhat favorable,Omit,Somewhat disapprove,Terrorism,Not too worried,Has the right experience,Not a factor at all,Catholic,English,Earlier in October,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Favorable,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,Catholic,No,All others,All others,All others,Rural,Small Cities/Rural,7.0,Pima/Pinal/Santa Cruz,West,Extremely Low Density Rural,Rural,Rural,Downscale,85648.0
4386520.0,Arizona,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.74005460739136,John McCain,Yes,,Male,White,75 or over,Republican,Moderate,"$15,000-$29,999",College graduate,No,Somewhat approve,No,Somewhat favorable,Deported to the country they came from,Somewhat approve,Terrorism,Not too worried,Shares my values,Not a factor at all,Protestant,English,Before that,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Approve,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",8.0,Pima/Pinal/Santa Cruz,West,High Density Urban,Urban,Urban Core,Upscale,85710.0
4400655.0,Arizona,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.90749454498291,John McCain,Yes,,Male,White,65-74,Republican,Conservative,,Some college or associate degree,No,Somewhat approve,No,,,,Energy policy,Very worried,Shares my values,Not a factor at all,,English,Before that,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,All others,,,Suburbs,Suburbs,1.0,Pima/Pinal/Santa Cruz,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,85222.0
