ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSCA08,CAPROP4,CAPROP8,HOU08CA,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SPANISHQ,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400272.0,California,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.31754064559937,,,Yes,,Female,White,45-49,Independent,Moderate,"$100,000-$149,999",College graduate,No,,Not a factor at all,,,,No,Take the country in a different direction,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's leadership/personal qualities,,,"Optimistic, but not excited",Not so good,,No,,Scared,Has the right experience,Not a factor at all,,,English,,,,Before that,,Omit,,,,,,,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,,,,,,,No,All others,,,,Suburbs,Suburbs,22.0,Coastal,West,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93420.0
4400837.0,California,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.666939437389374,,No,No,,Female,Hispanic/Latino,75 or over,Independent,Moderate,,Did not complete high school,Yes,Somewhat disapprove,Not a factor at all,,,,No,Omit,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,Omit,,,,The economy,My candidate's leadership/personal qualities,,,,Not so good,Not too worried,No,,,Can bring about needed change,Not a factor at all,,,Spanish,,,,Omit,,Neither of them,,,,,,Disapprove,Non black female,Latino women,Non white female,Non white,,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,Not Important,Was not a factor,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,,,,,,,Not so good/Poor,Not worried,,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,,,,,,,,Omit,Omit,Omit,John McCain did not,Barack Obama did not,,,,,,,,All others,,,,"Cities 50,000-500,000","Cities over 50,000",23.0,Coastal,West,Extremely High Density Urban,Urban,Urban Core,Downscale,93101.0
4400682.0,California,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.631749987602234,Barack Obama,,,,Female,White,60-64,Democrat,Liberal,,College graduate,No,Strongly disapprove,Omit,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,The economy,Omit,,,,Poor,Very worried,No,,,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,Disapprove,Non black female,White women,White female,White female,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Omit,Omit,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,,All others,,,,"Cities 50,000-500,000","Cities over 50,000",1.0,Coastal,West,Low Density Rural,Urban,Urban Core,Upscale,94558.0
4400696.0,California,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,2.16173911094666,Barack Obama,Did not vote,Did not vote,,Female,White,45-49,Democrat,Liberal,"$100,000-$149,999",College graduate,No,Strongly disapprove,Not a factor at all,,,,No,Omit,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,The economy,My candidate's position on the issues,,,,Poor,Very worried,No,,,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,Disapprove,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,"Cities 50,000-500,000","Cities over 50,000",17.0,Coastal,West,Suburb,Urban,Urban Core,Upscale,95060.0
4400101.0,California,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.67588353157043,Barack Obama,Yes,Did not vote,,Male,White,40-44,Something else,Moderate,"Under $15,000",Some college or associate degree,No,,A minor factor,,,,Yes,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Somewhat disapprove,Health care,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,Yes,,"Optimistic, but not excited",Cares about people like me,Not a factor at all,,,English,,,,Sometime in September,,Only John McCain,,,,,,,Non black male,White men,White male,White male,,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Not Important,Was a factor,,,,,,,,,No college degree,More than High school graduate,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,Yes,White Born-again/Evangelical Christians,,,,Rural,Small Cities/Rural,1.0,Coastal,West,Extremely Low Density Rural,Rural,Rural,Downscale,95490.0
4400789.0,California,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,1.4983321428299,Barack Obama,,Yes,,Female,White,65-74,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Not a factor at all,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,Health care,My candidate's position on the issues,,,,Poor,Very worried,No,,,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,Disapprove,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was not a factor,,,,,,,,,No college degree,More than High school graduate,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,6.0,Coastal,West,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,95421.0
4401273.0,California,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,2.2008638381958,Barack Obama,Did not vote,Yes,,Female,Black,75 or over,Democrat,,,Did not complete high school,No,,,,Omit,,,,,,Strongly disapprove,,Omit,Only Barack Obama,About the same,Not at all worried,,,,,Omit,,Not very worried,,,Omit,No,,,,Only Barack Obama,,,,,,Omit,,,,Stay about the same,,English,Omit,Omit,Not at all worried,,,,,,,,,,Black female,Black women,Non white female,Non white,,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,,,,,Omit,,,Disapprove,,Omit,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,Not worried,,,,,Not worried,,,,,,Omit,Omit,,John McCain does not,Barack Obama does,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,Stay about the same,,Omit,Omit,Omit,Omit,Not worried,,,,,,,,,,,,,,,,,"Cities 50,000-500,000","Cities over 50,000",17.0,Coastal,West,Suburb,Urban,Urban Core,Upscale,95060.0
4400675.0,California,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.58010858297348,Barack Obama,Yes,Yes,,Male,Black,65-74,Independent,Liberal,"$200,000 or more",Some college or associate degree,No,Somewhat approve,One of several important factors,,,,No,Take the country in a different direction,Only cell phone service,,,,,,,,,,,"Yes, for John McCain",,,,,Hillary Clinton,,,,The war in Iraq,My candidate's leadership/personal qualities,,,,Not so good,Not too worried,Yes,,,Cares about people like me,A minor factor,,,English,,,,Before that,,Only John McCain,,,,,,Approve,Black male,Black men,Non white male,Non white,,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,Important,Was a factor,,,,,,,,,No college degree,More than High school graduate,Non white no college degree,,,,,,John McCain did,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,,,,,,,Not so good/Poor,Not worried,,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,23.0,Coastal,West,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93449.0
4400136.0,California,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.3912501335144,Barack Obama,Yes,Yes,,Female,Black,40-44,Democrat,Moderate,"$75,000-$99,999",High school graduate,No,,A minor factor,,,,Yes,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Health care,My candidate's position on the issues,,,"Concerned, but not scared",Not so good,,Yes,,Excited,Cares about people like me,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Black female,Black women,Non white female,Non white,,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,Not Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,"Cities 50,000-500,000","Cities over 50,000",7.0,Coastal,West,High Density Urban,Urban,Urban Core,Downscale,94590.0
4400099.0,California,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.57310652732849,Barack Obama,Yes,Yes,,Female,White,30-39,Democrat,Liberal,,College graduate,No,,Not a factor at all,,,,,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Omit,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,No,,"Optimistic, but not excited",Shares my values,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Non black female,White women,White female,White female,,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,,All others,,,,Suburbs,Suburbs,24.0,Coastal,West,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93463.0
