ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSCO08,SENCO08,COAMD48,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,IMMDEPORT,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4387689.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,No,Male,White,75 or over,Independent,Moderate,,College graduate,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,Offered a chance to apply for legal status,Omit,Only John McCain,Somewhat approve,The economy,Poor,Very worried,No,Omit,Omit,One of several important factors,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Omit,Omit,,,,,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,"Cities over 500,000","Cities over 50,000",1.0,Denver/Adams/Boulder,West,High Density Urban,Urban,Urban Core,Upscale,80220.0
4387426.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,No,Male,White,40-44,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,No,Take the country in a different direction,Both of them,Deported to the country they came from,"Yes, for Barack Obama",Neither of them,Strongly approve,Energy policy,Omit,Not too worried,No,Too liberal,Cares about people like me,Not a factor at all,Earlier in October,Both of them,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Omit,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,7.0,Denver/Adams/Boulder,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80601.0
4387401.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,No,Female,White,40-44,Something else,Moderate,,College graduate,No,Strongly approve,Yes,Take the country in a different direction,Neither of them,Deported to the country they came from,"Yes, for both Obama and McCain",Neither of them,Strongly approve,Omit,Not so good,Very worried,No,Too liberal,Shares my values,Not a factor at all,Before that,Both of them,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does not,John McCain did,Barack Obama did,,,,,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,White Born-again/Evangelical Christians,"Cities over 500,000","Cities over 50,000",1.0,Denver/Adams/Boulder,West,Extremely High Density Urban,Urban,Urban Core,Very downscale,80211.0
4387134.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Female,White,75 or over,Independent,,"$15,000-$29,999",Some college or associate degree,No,Omit,No,Omit,Neither of them,Omit,"Yes, for both Obama and McCain",Neither of them,Omit,The economy,Poor,Very worried,No,Omit,Shares my values,Not a factor at all,Sometime last week,Both of them,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Omit,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,Yes,All others,"Cities over 500,000","Cities over 50,000",1.0,Denver/Adams/Boulder,West,Extremely High Density Urban,Urban,Urban Core,Very downscale,80211.0
4387654.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.15192544460297,Barack Obama,Did not vote,No,Female,White,30-39,Independent,Moderate,,College graduate,No,Somewhat disapprove,,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,"Yes, for both Obama and McCain",Both of them,Somewhat disapprove,The economy,Not so good,Somewhat worried,No,About right,Shares my values,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did,Barack Obama did,,,,,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80233.0
4387496.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Did not vote,Did not vote,Male,Hispanic/Latino,25-29,Democrat,,"$75,000-$99,999",Did not complete high school,Yes,Somewhat disapprove,,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,"Yes, for Barack Obama",Both of them,Somewhat disapprove,Energy policy,Not so good,Somewhat worried,No,Omit,Cares about people like me,Omit,Earlier in October,Both of them,Disapprove,Non black male,Latino men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Omit,Omit,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,7.0,Denver/Adams/Boulder,West,Suburb,70s Suburbs,Urban Perimeter,Very downscale,80229.0
4387390.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Did not vote,Did not vote,Yes,Male,White,30-39,Independent,Moderate,"$100,000-$149,999",Some college or associate degree,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Neither of them,Offered a chance to apply for legal status,"No, I was not contacted",Neither of them,Strongly disapprove,Health care,Not so good,Not too worried,No,Too liberal,Shares my values,Not a factor at all,Earlier in October,Both of them,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,80031.0
4386795.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.203133925795555,Barack Obama,Did not vote,Yes,Female,White,75 or over,Republican,Conservative,,Did not complete high school,No,Somewhat disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The war in Iraq,Not so good,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,Suburb,80s Suburbs,Urban Perimeter,Very upscale,80027.0
4402106.0,Colorado,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.434612691402435,John McCain,Did not vote,No,Male,White,60-64,Republican,Conservative,"$75,000-$99,999",College graduate,No,,Yes,,,,,,,,,,,,,,Before that,,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,4.0,Denver/Adams/Boulder,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80501.0
4387837.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.224491655826569,Barack Obama,Mark Udall,No,Male,White,60-64,Independent,Liberal,"Under $15,000",Some college or associate degree,No,Strongly disapprove,No,Take the country in a different direction,Only Barack Obama,Deported to the country they came from,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Omit,No,About right,Can bring about needed change,One of several important factors,Sometime in September,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Omit,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,Yes,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,80466.0
