ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSCT08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402108.0,Connecticut,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,Other,75 or over,Democrat,Liberal,,College graduate,,,,,Catholic,Before that,,Non black male,All other races,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,,,,,,Democrat,Non black Democrat,All other,All others,American Indian,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,,"Cities 10,000-50,000",Small Cities/Rural,5.0,Large Cities Except Stamford and Norwalk,East,Suburb,Rural,Rural,Very downscale,6790.0
4400883.0,Connecticut,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,40-44,Independent,Conservative,"$30,000-$49,999",High school graduate,,Strongly disapprove,The economy,Very worried,,Earlier in October,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,Yes,Rural,Small Cities/Rural,2.0,Large Cities Except Stamford and Norwalk,East,Suburb,Rural,Rural,Very downscale,6226.0
4400300.0,Connecticut,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,75 or over,Independent,Moderate,,High school graduate,,,The war in Iraq,,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,3.0,Large Cities Except Stamford and Norwalk,East,Suburb,Rural,Rural,Upscale,6614.0
4400298.0,Connecticut,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,25-29,Democrat,Moderate,"$100,000-$149,999",Postgraduate study,,,Energy policy,,,Before that,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,Suburbs,Suburbs,1.0,Large Cities Except Stamford and Norwalk,East,Suburb,60s Suburbs,Urban Perimeter,Downscale,6040.0
4400299.0,Connecticut,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,75 or over,Independent,,,Some college or associate degree,,,The economy,,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,4.0,Large Cities Except Stamford and Norwalk,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6896.0
4425665.0,Connecticut,91.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.829022526741028,Barack Obama,Female,White,30-39,Democrat,Liberal,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,The war in Iraq,Very worried,Jewish,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Jewish,Sometime last week or earlier,Before that,In the last month or before that,Jewish,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Large Cities Except Stamford and Norwalk,East,High Density Urban,Urban,Urban Core,Upscale,6119.0
4425627.0,Connecticut,91.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.672200918197632,Barack Obama,Male,Hispanic/Latino,30-39,Independent,Liberal,"$100,000-$149,999",Postgraduate study,Yes,Strongly disapprove,The war in Iraq,Very worried,Jewish,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,,Jewish,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Large Cities Except Stamford and Norwalk,East,High Density Urban,Urban,Urban Core,Upscale,6119.0
4425580.0,Connecticut,91.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.829022526741028,Barack Obama,Female,White,50-59,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Strongly disapprove,Energy policy,Very worried,Jewish,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Jewish,Sometime last week or earlier,Before that,In the last month or before that,Jewish,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Large Cities Except Stamford and Norwalk,East,High Density Urban,Urban,Urban Core,Upscale,6119.0
4454290.0,Connecticut,91.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.01383793354034,Barack Obama,Male,White,60-64,Democrat,Liberal,"$150,000-$199,999",Postgraduate study,No,Strongly disapprove,The economy,Very worried,Protestant,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Large Cities Except Stamford and Norwalk,East,High Density Urban,Urban,Urban Core,Upscale,6119.0
4425529.0,Connecticut,91.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,1.01109218597412,Barack Obama,Male,White,18-24,Democrat,Conservative,"$50,000-$74,999",College graduate,No,Strongly disapprove,The economy,Very worried,Protestant,Sometime in September,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Protestant/Other Christian,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Large Cities Except Stamford and Norwalk,East,High Density Urban,Urban,Urban Core,Upscale,6119.0
