ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSID08,SENID08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402176.0, Idaho,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,40-44,Independent,Conservative,"$50,000-$74,999",College graduate,,,No,,,Before that,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Ada county,West,Suburb,80s Suburbs,Urban Perimeter,Very upscale,83646.0
4400360.0, Idaho,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,18-24,,Conservative,,High school graduate,,,Yes,The economy,,Before that,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,,,,,,,,,,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Ada county,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,83669.0
4423617.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.7699875831604,Barack Obama,Larry LaRocco,Female,White,40-44,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423616.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.7699875831604,Barack Obama,Larry LaRocco,Female,White,40-44,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423537.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.960206568241119,Barack Obama,Larry LaRocco,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423480.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.960206568241119,Barack Obama,Larry LaRocco,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,Strongly disapprove,No,Omit,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423403.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02671635150909,Barack Obama,Larry LaRocco,Male,White,65-74,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4422968.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.918584108352661,John McCain,Jim Risch,Female,White,25-29,Independent,Moderate,"$15,000-$29,999",High school graduate,No,Strongly approve,Yes,The economy,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423262.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.918584108352661,John McCain,Jim Risch,Female,White,25-29,Republican,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,Yes,The economy,Very worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
4423325.0, Idaho,60.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.98221081495285,John McCain,Jim Risch,Male,White,25-29,Republican,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,Yes,The economy,Very worried,Before that,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,83672.0
