ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIL08,SENIL08,HOU08IL,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SPANISHQ,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400961.0, Illinois,,National questionnaire,Version 2,,Complete,Telephone survey,0.0,John McCain,,Did not vote for U.S. House,Female,White,65-74,Democrat,Conservative,,High school graduate,No,Somewhat disapprove,Not a factor at all,,,,Yes,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,Health care,My candidate's leadership/personal qualities,,,,Not so good,Very worried,No,,,Can bring about needed change,Not a factor at all,,,English,,,,Sometime in September,,Both of them,,,,,,Disapprove,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was not a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,,,,,,,,White Born-again/Evangelical Christians,,,,Rural,Small Cities/Rural,12.0,Chicago,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,62922.0
4401519.0, Illinois,,National questionnaire,Version 3,,Complete,Telephone survey,0.0,Barack Obama,,The Democratic candidate,Female,,50-59,Democrat,Liberal,,High school graduate,,,,,Somewhat oppose,,,,,,Strongly disapprove,,Omit,Only Barack Obama,Better today,Very worried,,,,,Government should do more to solve problems,,Very worried,,,Only Barack Obama,No,,,,Only Barack Obama,,,,,,About right,,,,Get much better,,,One of several important factors,Go up no matter which candidate wins,Not too worried,,,,,,,,,,,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,,,,,Oppose,,,Disapprove,,Omit,No college degree,High school graduate or less,,John McCain does not,Barack Obama does,Worried,,,,,Worried,,,,,,John McCain is not,Barack Obama is,,John McCain does not,Barack Obama does,,,,,,,Democrat,,,,,,,,Get better,,Important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Not worried,,,,,,,,,,,,,,,,,"Cities over 500,000","Cities over 50,000",7.0,Chicago,Midwest,Extremely High Density Urban,Urban,Urban Core,Very downscale,60644.0
4401520.0, Illinois,,National questionnaire,Version 3,,Complete,Telephone survey,0.0,John McCain,,The Democratic candidate,Female,White,65-74,Something else,,,Some college or associate degree,No,,,,Somewhat support,,,,,,Strongly disapprove,,Strongly favor,Only John McCain,About the same,Very worried,,,,,Government is doing too many things better left to businesses and individuals,,Very worried,,,Only John McCain,No,,,,Only John McCain,,,,,,Too liberal,,,,Omit,,English,One of several important factors,Go up no matter which candidate wins,Very worried,,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,Support,,,Disapprove,,Favor,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,Worried,,,,,Worried,,,,,,John McCain is,Barack Obama is not,,John McCain does,Barack Obama does not,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,Omit,,Important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Worried,,,,,,,,,,,,,,,,,Suburbs,Suburbs,8.0,Chicago,Midwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,60002.0
4402178.0, Illinois,,National questionnaire,Version 4,,Complete,Telephone survey,0.0,John McCain,,The Republican candidate,Female,White,75 or over,Independent,Moderate,,High school graduate,No,,,A few times a year,,,No,,,No,,Not very confident,,,,,Both of them,Get better,No,,,No,,Hillary Clinton,,,,,,,,No,,,,,,,,,,Protestant,English,,,,Sometime in September,Seriously off on the wrong track,,No one does,No,George W. Bush,Neither of them,No,,Non black female,White women,White female,White female,Non-married women,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,A few times a month/A few times a year,Protestant/Do not attend weekly,,,,,Not confident,,No college degree,High school graduate or less,White no college degree,,,,Cindy McCain would,Michelle Obama would,,,,Non Democrats,,,,,,,,,,All others,Unmarried women no children,Women who are not married or have no children,,,Women without children,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,Protestant/Other Christian,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,No,No,No,Joe Biden is not,Sarah Palin is not,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,All others,"Cities 50,000-500,000","Cities over 50,000",11.0,Chicago,Midwest,Suburb,Urban,Urban Core,Upscale,61701.0
4402184.0, Illinois,,National questionnaire,Version 4,,Complete,Telephone survey,0.0,John McCain,,The Republican candidate,Male,White,45-49,Republican,Conservative,,College graduate,No,,,Once a week,,,No,,,Yes,,Not very confident,,,,,Only Cindy McCain,Omit,No,,,Yes,,Did not care who won,,,,,,,,Yes,,,,,,,,,,Catholic,English,,,,Before that,Generally going in the right direction,,"Yes, I do",No,George W. Bush,Both of them,Yes,,Non black male,White men,White male,White male,Married men,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,More than once a week/Once a week,Catholic/Attend weekly,,,,,Not confident,,College graduate,More than High school graduate,White college degree,,,,Cindy McCain would,Michelle Obama would not,,,,Non Democrats,,,,,,,,,,Married with children,Married men with children,All men,,,Dads - Men with children,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,,Catholic,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,I am,Yes,Joe Biden is,Sarah Palin is,Catholic,,All others,All others,All others,All others,Suburbs,Suburbs,6.0,Chicago,Midwest,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60187.0
4402188.0, Illinois,,National questionnaire,Version 4,,Complete,Telephone survey,0.0,John McCain,,The Republican candidate,Female,White,75 or over,Republican,Conservative,,High school graduate,No,,,More than once a week,,,No,,,No,,Somewhat confident,,,,,Only Cindy McCain,Stay about the same,No,,,No,,Hillary Clinton,,,,,,,,No,,,,,,,,,,Catholic,English,,,,Before that,Seriously off on the wrong track,,No one does,No,George W. Bush,Both of them,No,,Non black female,White women,White female,White female,Non-married women,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,More than once a week/Once a week,Catholic/Attend weekly,,,,,Confident,,No college degree,High school graduate or less,White no college degree,,,,Cindy McCain would,Michelle Obama would not,,,,Non Democrats,,,,,,,,,,All others,Unmarried women no children,Women who are not married or have no children,,,Women without children,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,,Catholic,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Joe Biden is,Sarah Palin is,Catholic,,All others,All others,All others,All others,Suburbs,Suburbs,14.0,Chicago,Midwest,High Density Urban,60s Suburbs,High-Growth Suburban Perimeter,Very downscale,60505.0
4400369.0, Illinois,,National questionnaire,Version 1,,Complete,Telephone survey,0.0,,,The Republican candidate,Female,White,75 or over,Independent,Conservative,"$15,000-$29,999",High school graduate,No,,A minor factor,,,,No,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Somewhat approve,The economy,My candidate's position on the issues,,,"Concerned, but not scared",Not so good,,No,,Scared,Cares about people like me,Not a factor at all,,,English,,,,Before that,,Only Barack Obama,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Approve,,,,,,Not so good/Poor,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,,,,,,,Yes,All others,,,,Suburbs,Suburbs,3.0,Chicago,Midwest,Suburb,60s Suburbs,Urban Perimeter,Very upscale,60525.0
4402183.0, Illinois,,National questionnaire,Version 4,,Complete,Telephone survey,0.0,Barack Obama,,The Democratic candidate,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,,,Once a week,,,Yes,,,No,,Very confident,,,,,Only Michelle Obama,Get worse,No,,,No,,Hillary Clinton,,,,,,,,No,,,,,,,,,,Protestant,English,,,,Before that,Seriously off on the wrong track,,No one does,No,John Kerry,Only Joe Biden,No,,Non black female,White women,White female,White female,Non-married women,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,More than once a week/Once a week,Protestant/Attend weekly,,,,,Confident,,No college degree,More than High school graduate,White no college degree,,,,Cindy McCain would not,Michelle Obama would,,,,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,All others,Unmarried women no children,Women who are not married or have no children,,,Women without children,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,,Protestant/Other Christian,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Joe Biden is,Sarah Palin is not,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,All others,Suburbs,Suburbs,12.0,Chicago,Midwest,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,62095.0
4400361.0, Illinois,,National questionnaire,Version 1,,Complete,Telephone survey,0.0,Barack Obama,,The Democratic candidate,Female,Black,45-49,Democrat,Moderate,"$75,000-$99,999",College graduate,No,,One of several important factors,,,,Yes,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's position on the issues,,,Scared,Poor,,No,,Excited,Can bring about needed change,One of several important factors,,,English,,,,Before that,,Only John McCain,,,,,,,Black female,Black women,Non white female,Non white,,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,Important,Was a factor,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,7.0,Chicago,Midwest,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,60130.0
4400362.0, Illinois,,National questionnaire,Version 1,,Complete,Telephone survey,0.0,Barack Obama,,The Democratic candidate,Male,Hispanic/Latino,75 or over,Democrat,Moderate,"$200,000 or more",Did not complete high school,Yes,,One of several important factors,,,,,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Health care,My candidate's position on the issues,,,"Concerned, but not scared",Not so good,,No,,Excited,Omit,A minor factor,,,English,,,,Before that,,Neither of them,,,,,,,Non black male,Latino men,Non white male,Non white,,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,Latino Democrats,All others,Black,,Not important,Factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,2.0,Chicago,Midwest,Suburb,60s Suburbs,Urban Perimeter,Very downscale,60426.0
