ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKS08,SENKS08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402203.0,Kansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,,,,High school graduate,,,No,,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Topeka/Kansas City area,Midwest,Low Density Rural,Rural,Rural,Downscale,67801.0
4401550.0,Kansas,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,No,,Rural,Small Cities/Rural,1.0,Topeka/Kansas City area,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,67835.0
4401548.0,Kansas,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,No,,"Cities 50,000-500,000","Cities over 50,000",4.0,Topeka/Kansas City area,Midwest,High Density Urban,Urban,Urban Core,Very upscale,67212.0
4400980.0,Kansas,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,30-39,Independent,Moderate,"$100,000-$149,999",College graduate,,Strongly disapprove,No,The economy,Somewhat worried,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,4.0,Topeka/Kansas City area,Midwest,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,67147.0
4400977.0,Kansas,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Independent,Moderate,"$30,000-$49,999",Postgraduate study,,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very upscale,66049.0
4400390.0,Kansas,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Republican,Liberal,"$200,000 or more",Postgraduate study,,,No,The economy,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,High Density Urban,Urban,Urban Core,Very upscale,66212.0
4402204.0,Kansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,40-44,Republican,Conservative,"$75,000-$99,999",Postgraduate study,,,Yes,,,Before that,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Topeka/Kansas City area,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,66770.0
4402202.0,Kansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,18-24,Republican,Conservative,"$30,000-$49,999",Some college or associate degree,,,No,,,Before that,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very upscale,66049.0
4401549.0,Kansas,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,45-49,Something else,Conservative,,College graduate,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66106.0
4400981.0,Kansas,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Independent,Moderate,"$15,000-$29,999",High school graduate,,Somewhat approve,No,Energy policy,Very worried,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Topeka/Kansas City area,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,67601.0
