ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKY08,SENKY08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BAILOUT,BRNAGAIN,HILLPSPRT,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BAILOUT2,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402206.0,Kentucky,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,65-74,Democrat,Moderate,"$150,000-$199,999",Some college or associate degree,,,,No,Hillary Clinton,,,,,,,Before that,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,3.0,Jefferson county,South,Suburb,60s Suburbs,Urban Perimeter,Very upscale,40207.0
4401553.0,Kentucky,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Democrat,Moderate,"$15,000-$29,999",High school graduate,,,Omit,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,No college degree,High school graduate or less,White no college degree,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,Yes,,Suburbs,Suburbs,4.0,Jefferson county,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,41042.0
4401552.0,Kentucky,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,,,Somewhat support,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,No,,Rural,Small Cities/Rural,6.0,Jefferson county,South,Low Density Rural,Rural,Rural,Very downscale,40336.0
4400392.0,Kentucky,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Democrat,Moderate,"Under $15,000",High school graduate,,,,No,,The economy,Poor,,No,Can bring about needed change,Not a factor at all,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,High school graduate or less,White no college degree,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Jefferson county,South,High Density Urban,Urban,Urban Core,Upscale,40217.0
4402205.0,Kentucky,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,75 or over,Republican,Conservative,"$30,000-$49,999",Did not complete high school,,,,Yes,Hillary Clinton,,,,,,,Earlier in October,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Jefferson county,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,40047.0
4401554.0,Kentucky,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,65-74,Republican,Conservative,"$30,000-$49,999",High school graduate,,,Somewhat support,,,,,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,Yes,,Rural,Small Cities/Rural,4.0,Jefferson county,South,Low Density Rural,Rural,Rural,Downscale,41031.0
4401551.0,Kentucky,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,60-64,Democrat,Moderate,"$30,000-$49,999",High school graduate,,,Somewhat oppose,,,,,,,,,,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Oppose,No college degree,High school graduate or less,White no college degree,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,Yes,,Rural,Small Cities/Rural,5.0,Jefferson county,South,Extremely Low Density Rural,Rural,Rural,Very downscale,41425.0
4400982.0,Kentucky,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,,45-49,Independent,Moderate,"$100,000-$149,999",Some college or associate degree,,Strongly disapprove,,No,,The economy,Poor,Somewhat worried,No,Shares my values,A minor factor,Earlier in October,Disapprove,,,,,45-65,30-59,45+,45-59,40-49,18-64,,,,,No college degree,More than High school graduate,,,100k or more,50k or more,100 thousand or more,,Not so good/Poor,Worried,Independent/Something else,,,,,,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",6.0,Jefferson county,South,Suburb,Urban,Urban Core,Very upscale,40509.0
4448238.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Not complete,Election day exit poll,0.718689918518066,John McCain,,Female,White,45-49,Republican,,,High school graduate,,,,Yes,,,,Very worried,,Shares my values,,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,High school graduate or less,White no college degree,,,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4426488.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.718689918518066,John McCain,Did not vote,Female,White,30-39,Democrat,Moderate,"Under $15,000",High school graduate,No,Somewhat disapprove,Somewhat support,No,Hillary Clinton,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
