ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSLA08,SENLA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HURRICANE,ISSUE08,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,HURRICANE2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402209.0, Louisiana,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,65-74,Democrat,Conservative,"$15,000-$29,999",Some college or associate degree,,,No,,,,,,,Protestant,Before that,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,6.0,New Orleans Area,South,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,70449.0
4402208.0, Louisiana,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,75 or over,Democrat,,,Did not complete high school,,,Yes,,,,,,,Protestant,Before that,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,,No college degree,High school graduate or less,Non white no college degree,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,,All others,All others,All others,Rural,Small Cities/Rural,4.0,New Orleans Area,South,Extremely Low Density Rural,Rural,Rural,Downscale,71038.0
4402211.0, Louisiana,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,,No,,,,,,,Catholic,Before that,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Catholic,Yes,All others,All others,All others,Suburbs,Suburbs,1.0,New Orleans Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70433.0
4402210.0, Louisiana,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,30-39,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,,Yes,,,,,,,Catholic,Before that,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,Suburbs,Suburbs,3.0,New Orleans Area,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,70517.0
4402207.0, Louisiana,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,18-24,Republican,Liberal,"Under $15,000",Did not complete high school,,,Yes,,,,,,,Other Christian,Before that,,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Republican,Black non Democrat,All Republicans,All others,Black,All others,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,New Orleans Area,South,Suburb,Urban,Urban Core,Very downscale,71109.0
4401556.0, Louisiana,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Asian,40-44,Democrat,Liberal,"$150,000-$199,999",College graduate,,,,,,,,,,,,,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,Democrat,Non black Democrat,All other,All others,Asian,,,,,,,,,No,,,,"Cities 50,000-500,000","Cities over 50,000",4.0,New Orleans Area,South,Low Density Rural,Urban,Urban Core,Very upscale,71115.0
4400984.0, Louisiana,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,50-59,Democrat,Conservative,"$50,000-$74,999",College graduate,,Strongly disapprove,Yes,,Health care,Very worried,No,Can bring about needed change,Not a factor at all,,Earlier in October,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,No,All others,,,Rural,Small Cities/Rural,3.0,New Orleans Area,South,Low Density Rural,Rural,Rural,Downscale,70392.0
4400396.0, Louisiana,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Democrat,Liberal,,College graduate,,,No,,The economy,,No,Can bring about needed change,Not a factor at all,,Sometime in September,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,College graduate,More than High school graduate,White college degree,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",1.0,New Orleans Area,South,High Density Urban,Urban,Urban Core,Very upscale,70005.0
4400394.0, Louisiana,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,,65-74,Democrat,Liberal,,High school graduate,,,No,,The economy,,No,Cares about people like me,Not a factor at all,,Before that,,,,,,65+,60+,45+,60+,65+,65+,,,,,No college degree,High school graduate or less,,,,,,,Democrat,,,,,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",4.0,New Orleans Area,South,Suburb,Urban,Urban Core,Very upscale,71118.0
4400393.0, Louisiana,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,30-39,Republican,Conservative,,Some college or associate degree,,,No,,The economy,,No,Shares my values,Not a factor at all,,Before that,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,No college degree,More than High school graduate,White no college degree,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",4.0,New Orleans Area,South,Suburb,Urban,Urban Core,Very upscale,71111.0
