ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSND08,GOVND08,HSEND08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401056.0,North Dakota,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Duane Sand,Female,White,75 or over,Republican,Conservative,,College graduate,,Somewhat approve,Yes,The economy,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,East,Midwest,Suburb,Urban,Urban Core,Very upscale,58103.0
4420658.0,North Dakota,70.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.496426552534103,John McCain,John Hoeven,Earl Pomeroy,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,No,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Low Density Rural,Rural,Rural,Upscale,58703.0
4421500.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.496426552534103,John McCain,John Hoeven,Earl Pomeroy,Female,White,50-59,Independent,Moderate,,Some college or associate degree,No,Somewhat disapprove,No,The war in Iraq,Somewhat worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
4421725.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.496426552534103,John McCain,John Hoeven,Earl Pomeroy,Female,White,45-49,Republican,Conservative,,College graduate,No,Somewhat approve,Yes,The economy,Very worried,Earlier in October,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
4421630.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.496426552534103,John McCain,John Hoeven,Earl Pomeroy,Female,White,45-49,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,No,Omit,Yes,Health care,Not at all worried,Before that,Omit,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
4422110.0,North Dakota,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.504700362682343,John McCain,John Hoeven,Earl Pomeroy,Female,Other,30-39,Republican,Moderate,"$75,000-$99,999",College graduate,No,Somewhat approve,Yes,The economy,Very worried,Before that,Approve,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Republican,Non black non Democrat,All Republicans,All others,American Indian,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,58853.0
4422121.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.546384692192078,John McCain,John Hoeven,Earl Pomeroy,Female,White,25-29,Independent,Moderate,"$50,000-$74,999",High school graduate,No,Strongly disapprove,No,The war in Iraq,Somewhat worried,In the last three days,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
4417855.0,North Dakota,70.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.5708287358284,John McCain,John Hoeven,Did not vote,Female,White,30-39,Independent,Moderate,"$15,000-$29,999",College graduate,No,,Yes,The economy,,In the last three days,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Low Density Rural,Rural,Rural,Upscale,58703.0
4423120.0,North Dakota,78.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.573029041290283,John McCain,John Hoeven,Earl Pomeroy,Male,White,50-59,Republican,Moderate,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,58801.0
4419988.0,North Dakota,70.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.573029041290283,John McCain,John Hoeven,Earl Pomeroy,Male,White,50-59,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,Midwest,Low Density Rural,Rural,Rural,Upscale,58703.0
