ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNE08,SENNE08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402251.0, Nebraska,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,,,No,,,Earlier in October,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,3.0,Congressional District 1,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,68640.0
4402250.0, Nebraska,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Independent,Conservative,"Under $15,000",High school graduate,,,Yes,,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Congressional District 1,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,68048.0
4401589.0, Nebraska,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,Yes,,"Cities 50,000-500,000","Cities over 50,000",1.0,Congressional District 1,Midwest,Suburb,Urban,Urban Core,Very upscale,68506.0
4402252.0, Nebraska,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,60-64,Democrat,Conservative,"$50,000-$74,999",High school graduate,,,Yes,,,Before that,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,3.0,Congressional District 1,Midwest,Low Density Rural,Rural,Rural,Upscale,68601.0
4401590.0, Nebraska,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,45-49,Republican,Conservative,"$50,000-$74,999",High school graduate,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,3.0,Congressional District 1,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,69101.0
4400425.0, Nebraska,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,Republican,Conservative,"$30,000-$49,999",College graduate,,,Yes,The economy,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Congressional District 1,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,68854.0
4400426.0, Nebraska,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,65-74,Independent,Liberal,,High school graduate,,,Yes,The economy,,Earlier in October,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Congressional District 1,Midwest,Suburb,Urban,Urban Core,Upscale,68521.0
4419907.0, Nebraska,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.878301739692688,,Scott Kleeb,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,The economy,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Congressional District 1,Midwest,High Density Urban,Urban,Urban Core,Upscale,68510.0
4418717.0, Nebraska,68.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.862063527107239,Did not vote,Did not vote,Male,White,50-59,Republican,Moderate,"$150,000-$199,999",Postgraduate study,No,,No,Omit,,Before that,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Congressional District 1,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,68008.0
4424916.0, Nebraska,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.874898374080658,Barack Obama,,Male,Black,18-24,Democrat,Liberal,"$50,000-$74,999",High school graduate,No,Strongly disapprove,No,Terrorism,Somewhat worried,Sometime last week,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Congressional District 2,Midwest,High Density Urban,Urban,Urban Core,Very upscale,68137.0
