ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNM08,SENNM08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,IMMDEPORT,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4398203.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.54946780204773,Barack Obama,,Female,White,65-74,Independent,Conservative,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Omit,Barack Obama,Only Barack Obama,Strongly disapprove,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Protestant,English,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,3.0,Northwest,West,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0
4398355.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,5.14507436752319,Barack Obama,Did not vote,Male,Hispanic/Latino,30-39,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,Barack Obama,Only Barack Obama,Somewhat approve,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,English,Sometime last week,Both of them,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,Suburb,Urban,Urban Core,Very upscale,87114.0
4398688.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.72158217430115,Barack Obama,Did not vote,Male,Hispanic/Latino,50-59,,,"Under $15,000",Did not complete high school,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only John McCain,Omit,Barack Obama,Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Not too worried,Yes,Can bring about needed change,Not a factor at all,Catholic,English,Earlier in October,Both of them,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does,Barack Obama does not,Omit,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,,,,,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,Suburbs,Suburbs,2.0,Albuquerque Area,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,87031.0
4398398.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.78508710861206,John McCain,Did not vote,Male,Hispanic/Latino,75 or over,Republican,Conservative,,Some college or associate degree,Yes,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,Omit,Did not care who won,Only John McCain,Somewhat approve,Omit,Not so good,Very worried,No,Omit,Not a factor at all,Catholic,English,Before that,Neither of them,Disapprove,Non black male,Latino men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does not,Non Democrats,,,,,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,All others,White,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Non-white,,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,South/East,West,Extremely Low Density Rural,Rural,Rural,Upscale,88310.0
4398788.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0259501952677965,,Tom Udall,Female,White,60-64,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,Hillary Clinton,Only Barack Obama,Somewhat disapprove,The war in Iraq,Not so good,Somewhat worried,No,Can bring about needed change,A minor factor,Catholic,English,Sometime last week,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,Catholic,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did not,Catholic,Yes,All others,All others,All others,Suburbs,Suburbs,3.0,Albuquerque Area,West,Suburb,80s Suburbs,Urban Perimeter,Very upscale,87124.0
4398448.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0477055162191391,,Tom Udall,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,No,Take the country in a different direction,Both of them,Offered a chance to apply for legal status,Another candidate,Neither of them,Somewhat approve,The economy,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Catholic,English,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Catholic,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,South/East,West,Low Density Rural,Rural,Rural,Downscale,88101.0
4398175.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0259036906063557,,Tom Udall,Female,White,50-59,Something else,Moderate,,Some college or associate degree,No,Strongly disapprove,,Take the country in a different direction,Both of them,Offered a chance to apply for legal status,Did not care who won,Neither of them,Strongly disapprove,The economy,Poor,Somewhat worried,No,Shares my values,Not a factor at all,,English,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Non Democrats,,,,,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Very upscale,87109.0
4402263.0, New Mexico,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,1.41053128242493,,Tom Udall,Female,White,50-59,Something else,Liberal,"$50,000-$74,999",Some college or associate degree,No,,No,,,,Barack Obama,,,,,,,,,None,English,Before that,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,None,Sometime last week or earlier,Before that,In the last month or before that,,,None,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Very upscale,87110.0
4398394.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.136683329939842,Barack Obama,Tom Udall,Female,White,50-59,Republican,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Omit,Omit,Barack Obama,Only Barack Obama,Somewhat disapprove,Health care,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Protestant,English,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Omit,Omit,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Downscale,87108.0
4398878.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.600055038928986,Barack Obama,Tom Udall,Female,White,75 or over,Democrat,Moderate,,High school graduate,No,Strongly disapprove,No,Omit,Only Barack Obama,Offered a chance to apply for legal status,Hillary Clinton,Neither of them,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Protestant,English,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Democrats for Clinton,,,,,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",2.0,South/East,West,Low Density Rural,Urban,Urban Core,Upscale,88005.0
