ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOR08,SENOR08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,SMITHLIB,SMITHTOOCLOSE,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4393035.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.844452679157257,John McCain,Gordon Smith,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,Too liberal,Not often enough,Neither of them,Somewhat approve,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,None,Before that,Neither of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,None,No,All others,All others,All others,Rural,Small Cities/Rural,1.0,Northwest Pacific Coast,West,Extremely Low Density Rural,Rural,Rural,Downscale,97138.0
4393025.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.00425493717194,John McCain,Gordon Smith,Female,White,75 or over,Republican,Moderate,,High school graduate,No,Strongly approve,No,Take the country in a different direction,Only John McCain,Too liberal,Too often,Only John McCain,Strongly approve,Health care,Poor,Very worried,No,Shares my values,Not a factor at all,Catholic,Sometime in September,Both of them,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,,,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Catholic,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Low Density Rural,Urban,Urban Core,Downscale,97478.0
4393022.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.10913169384003,Barack Obama,Gordon Smith,Male,White,60-64,Independent,,,Postgraduate study,No,Strongly disapprove,No,Omit,Both of them,About right,Too often,Omit,Strongly disapprove,Energy policy,Poor,Very worried,No,Shares my values,A minor factor,Other Christian,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,,,,,Omit,Omit,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Suburb,Urban,Urban Core,Very upscale,97405.0
4392988.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.87011581659317,Barack Obama,Jeff Merkley,Male,White,75 or over,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,,Too often,Only Barack Obama,Somewhat disapprove,The economy,Poor,Very worried,No,Omit,Not a factor at all,Other Christian,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Suburb,Urban,Urban Core,Very upscale,97405.0
4392986.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.960670471191406,John McCain,Gordon Smith,Male,White,75 or over,Republican,Conservative,"$50,000-$74,999",Postgraduate study,No,Strongly approve,Yes,Omit,Only John McCain,Too liberal,Not often enough,Only John McCain,Strongly approve,Terrorism,Good,Not at all worried,No,Shares my values,Not a factor at all,Protestant,Before that,Only Barack Obama,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Excellent/Good,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,4.0,Northwest Pacific Coast,West,Extremely Low Density Rural,70s Suburbs,Urban Perimeter,Very upscale,97370.0
4392979.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.30207514762878,Barack Obama,Jeff Merkley,Female,White,45-49,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,About right,Too often,Only Barack Obama,Somewhat disapprove,Energy policy,Poor,Very worried,No,Shares my values,A minor factor,Catholic,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Catholic,No,All others,All others,All others,Rural,Small Cities/Rural,1.0,Northwest Pacific Coast,West,Extremely Low Density Rural,Rural,Rural,Downscale,97138.0
4392978.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.143981426954269,Barack Obama,Jeff Merkley,Female,White,65-74,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,About right,Too often,Only Barack Obama,Strongly disapprove,Energy policy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Protestant,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,4.0,Northwest Pacific Coast,West,Suburb,Rural,Rural,Very upscale,97330.0
4392972.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.1299284696579,John McCain,Gordon Smith,Female,White,30-39,Independent,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Yes,Take the country in a different direction,Neither of them,Too liberal,About the right amount,Neither of them,Somewhat approve,The economy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Mormon/LDS,Before that,Neither of them,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,Northwest Pacific Coast,West,Extremely Low Density Rural,Rural,Rural,Very downscale,97446.0
4392969.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.844452679157257,John McCain,Gordon Smith,Male,White,50-59,Independent,Conservative,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,Yes,Take the country in a different direction,Only John McCain,About right,Too often,Only John McCain,Somewhat disapprove,Health care,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,4.0,Northwest Pacific Coast,West,Suburb,Rural,Rural,Upscale,97322.0
4392962.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.83359181880951,John McCain,Gordon Smith,Male,White,45-49,Something else,Moderate,"$200,000 or more",College graduate,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,About right,About the right amount,Neither of them,Somewhat approve,Health care,Poor,Very worried,No,Has the right experience,One of several important factors,Protestant,Earlier in October,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Suburb,Urban,Urban Core,Downscale,97402.0
