ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSC08,SENSC08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402356.0,South Carolina,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,30-39,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,,,No,,,,,,,Before that,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Very downscale,29706.0
4402355.0,South Carolina,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Independent,Moderate,"$50,000-$74,999",College graduate,,,No,,,,,,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,4.0,Piedmont,South,Town,70s Suburbs,Urban Perimeter,Upscale,29316.0
4401727.0,South Carolina,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Independent,Moderate,"$30,000-$49,999",Postgraduate study,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,No,,"Cities 50,000-500,000","Cities over 50,000",1.0,Piedmont,South,Suburb,Urban,Urban Core,Very upscale,29407.0
4401726.0,South Carolina,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,75 or over,Democrat,Liberal,"$30,000-$49,999",Did not complete high school,,,,,,,,,,,,Black male,Black men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,No,,"Cities 50,000-500,000","Cities over 50,000",6.0,Piedmont,South,Suburb,Urban,Urban Core,Downscale,29203.0
4401113.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Democrat,Liberal,"$30,000-$49,999",High school graduate,,Strongly disapprove,No,The economy,Poor,Somewhat worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,6.0,Piedmont,South,Extremely Low Density Rural,Rural,Rural,Very downscale,29148.0
4401112.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,60-64,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,,Strongly disapprove,Yes,The war in Iraq,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Piedmont,South,High Density Urban,Urban,Urban Core,Very downscale,29403.0
4401109.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,25-29,Something else,,"Under $15,000",High school graduate,,Somewhat disapprove,No,The war in Iraq,Not so good,Somewhat worried,Yes,Cares about people like me,Not a factor at all,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Upscale,29020.0
4401110.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,60-64,Democrat,Moderate,"$150,000-$199,999",Some college or associate degree,,Somewhat disapprove,Yes,The economy,Not so good,Very worried,No,Can bring about needed change,A minor factor,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Piedmont,South,Low Density Rural,Rural,Rural,Downscale,29920.0
4400527.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,75 or over,Democrat,Liberal,"Under $15,000",High school graduate,,,Yes,The economy,Poor,,No,Can bring about needed change,Not a factor at all,Before that,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Downscale,29720.0
4402358.0,South Carolina,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,65-74,Independent,Moderate,,College graduate,,,No,,,,,,,Before that,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,1.0,Piedmont,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29464.0
