ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSD08,SENSD08,HSESD08,SDINIT11,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400531.0,South Dakota,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Stephanie Herseth Sandlin,,Female,Other,30-39,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,,,No,Health care,,Earlier in October,,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,Democrat,Non black Democrat,All other,All others,American Indian,All others,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57536.0
4400529.0,South Dakota,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Stephanie Herseth Sandlin,,Female,White,75 or over,Independent,Conservative,"Under $15,000",Did not complete high school,,,,The economy,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Suburb,Urban,Urban Core,Very upscale,57106.0
4400530.0,South Dakota,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Chris Lien,,Female,White,65-74,Republican,Conservative,"$30,000-$49,999",High school graduate,,,Yes,The economy,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Suburb,Urban,Urban Core,Very upscale,57106.0
4417955.0,South Dakota,28.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.08675718307495,Barack Obama,Tim Johnson,,,,White,65-74,,,,,,,,,Omit,Sometime in September,,,,,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,Omit,,,,,White,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,Rural,Small Cities/Rural,1.0,Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57381.0
4441921.0,South Dakota,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.75820517539978,John McCain,Tim Johnson,,Yes,Female,White,18-24,Independent,Conservative,"$15,000-$29,999",Some college or associate degree,No,Somewhat approve,Yes,Terrorism,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,57025.0
4421586.0,South Dakota,80.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.638809859752655,Barack Obama,Did not vote,Did not vote,,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$15,000-$29,999",College graduate,Yes,Strongly disapprove,,The economy,Not too worried,Sometime in September,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Southeast,Midwest,Low Density Rural,Rural,Rural,Upscale,57078.0
4421829.0,South Dakota,13.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.704289615154266,Barack Obama,Did not vote,Did not vote,No,Female,White,18-24,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Health care,Somewhat worried,Just today,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Southeast,Midwest,Low Density Rural,Rural,Rural,Downscale,57069.0
4419769.0,South Dakota,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.579430162906647,Barack Obama,Tim Johnson,Did not vote,Yes,Male,White,30-39,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Suburb,Urban,Urban Core,Very upscale,57106.0
4419560.0,South Dakota,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.731874465942383,Barack Obama,Tim Johnson,Did not vote,No,Female,White,40-44,Independent,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,No,The war in Iraq,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Suburbs,Suburbs,1.0,Southeast,Midwest,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,57033.0
4419962.0,South Dakota,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.622336030006409,John McCain,Did not vote,Did not vote,Yes,Female,White,50-59,Democrat,,"$15,000-$29,999",High school graduate,,Strongly disapprove,Yes,Health care,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Suburb,Urban,Urban Core,Very upscale,57106.0
