ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401857.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",Did not complete high school,,,,,Only Barack Obama,,Only Barack Obama,,,,,,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,No,,,,Rural,Small Cities/Rural,6.0,Milwaukee,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,53926.0
4402465.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,18-24,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,,,Yes,,,,,,,,,,,,Other Christian,Before that,,No one does,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,6.0,Milwaukee,Midwest,Suburb,Rural,Rural,Very upscale,54956.0
4400639.0,Wisconsin,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",High school graduate,,,Yes,Take the country in a different direction,,"No, I was not contacted",,Strongly disapprove,The economy,Not so good,,No,Shares my values,Not a factor at all,,Omit,Omit,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,Omit,Omit,Omit,Omit,Omit,,,,,Yes,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,7.0,Milwaukee,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,54555.0
4402462.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,50-59,Independent,Liberal,"$75,000-$99,999",College graduate,,,No,,,,,,,,,,,,None,Before that,,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,None,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,None,No,All others,All others,All others,Suburbs,Suburbs,2.0,Milwaukee,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,53558.0
4401855.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,Black,60-64,Democrat,Moderate,"$30,000-$49,999",High school graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,,,,,,,,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,,,,,,,,No,,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Very upscale,53711.0
4401854.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,50-59,Something else,Conservative,"$30,000-$49,999",High school graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,Yes,,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Upscale,53704.0
4401853.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,25-29,Democrat,Conservative,"$15,000-$29,999",College graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,,,,,,,,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,,,,,,,,No,,,,"Cities over 500,000","Cities over 50,000",4.0,Milwaukee,Midwest,Extremely High Density Urban,Urban,Urban Core,Very downscale,53216.0
4401852.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,45-49,Democrat,Liberal,"Under $15,000",Some college or associate degree,,,,,Only Barack Obama,,Only Barack Obama,,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,Yes,,,,"Cities 50,000-500,000","Cities over 50,000",5.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Very upscale,53186.0
4400640.0,Wisconsin,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,75 or over,Democrat,Liberal,,Some college or associate degree,,,,Continue George W. Bush's policies,,"Yes, for John McCain",,Strongly disapprove,The economy,Poor,,No,Cares about people like me,Not a factor at all,,Before that,Only John McCain,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,John McCain did,Barack Obama did not,,,,,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",8.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Very upscale,54311.0
4401228.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,30-39,Democrat,Moderate,"$100,000-$149,999",College graduate,,Strongly disapprove,No,Continue George W. Bush's policies,,"No, I was not contacted",,,Health care,Not so good,Very worried,No,Shares my values,Not a factor at all,,Before that,Only John McCain,,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,,,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,Suburbs,Suburbs,5.0,Milwaukee,Midwest,Suburb,60s Suburbs,Urban Perimeter,Very upscale,53051.0
