ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWV08,SENWV08,GOVWV08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,GOTV08,HILLPSPRT,ISSUE08,NEC,NECWORRY,QLT08,RACEISS4,TIME08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,GOTVMCCAIN,GOTVOBAMA,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNIONHH,UNIONMEM,UNIONVOT,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401220.0,West Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,50-59,Independent,Moderate,"$100,000-$149,999",Some college or associate degree,,Strongly disapprove,No,"Yes, for both Obama and McCain",,The economy,Poor,Very worried,Can bring about needed change,Not a factor at all,Before that,,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain did,Barack Obama did,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,,,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Charleston/Huntington Areas,East,Town,Rural,Rural,Very upscale,26501.0
4400636.0,West Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,65-74,Independent,Moderate,"$50,000-$74,999",High school graduate,,,Yes,"No, I was not contacted",,The war in Iraq,Not so good,,Can bring about needed change,Not a factor at all,Sometime in September,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain did not,Barack Obama did not,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Charleston/Huntington Areas,East,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,25419.0
4400635.0,West Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,65-74,Democrat,Moderate,"$30,000-$49,999",Did not complete high school,,,Yes,"Yes, for Barack Obama",,Health care,Poor,,Cares about people like me,Not a factor at all,Before that,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain did not,Barack Obama did,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,,,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Charleston/Huntington Areas,East,Low Density Rural,Rural,Rural,Upscale,25635.0
4402458.0,West Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Female,White,65-74,Democrat,Moderate,"$15,000-$29,999",High school graduate,,,Yes,,Hillary Clinton,,,,,,Sometime in September,"Yes, I do and someone else does",,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,I am,Yes,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Charleston/Huntington Areas,East,Low Density Rural,Rural,Rural,Very downscale,26205.0
4402457.0,West Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,50-59,Democrat,Liberal,"$30,000-$49,999",High school graduate,,,Yes,,Barack Obama,,,,,,Before that,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Charleston/Huntington Areas,East,Extremely Low Density Rural,Rural,Rural,Very downscale,26261.0
4402459.0,West Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,65-74,Democrat,Moderate,"$50,000-$74,999",High school graduate,,,No,,Omit,,,,,,Earlier in October,"Yes, I do",,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,Omit,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,I am,Yes,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Charleston/Huntington Areas,East,Town,Rural,Rural,Upscale,26505.0
4401221.0,West Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Female,White,75 or over,Democrat,,"$30,000-$49,999",High school graduate,,Somewhat disapprove,Yes,"No, I was not contacted",,Health care,Poor,Not too worried,Shares my values,One of several important factors,Earlier in October,,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,Charleston/Huntington Areas,East,Suburb,Rural,Rural,Very upscale,26003.0
4400638.0,West Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Other,,,Female,White,65-74,Independent,Moderate,"$15,000-$29,999",High school graduate,,,Yes,"No, I was not contacted",,Health care,Poor,,Shares my values,Not a factor at all,Earlier in October,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Charleston/Huntington Areas,East,Low Density Rural,Rural,Rural,Downscale,26416.0
4401849.0,West Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Male,White,45-49,Independent,Moderate,"$100,000-$149,999",High school graduate,,,,,,,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,No,,Suburbs,Suburbs,2.0,Charleston/Huntington Areas,East,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,25419.0
4401848.0,West Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Female,White,75 or over,Republican,Conservative,"$15,000-$29,999",High school graduate,,,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,Yes,,Suburbs,Suburbs,3.0,Charleston/Huntington Areas,East,Low Density Rural,70s Suburbs,Urban Perimeter,Very upscale,25504.0
