ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSDC08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4409760.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.34711074829102,Barack Obama,Male,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410821.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.34711074829102,Barack Obama,Male,Black,40-44,Democrat,,,High school graduate,No,,,,Very worried,Sometime in September,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409717.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.34711074829102,Barack Obama,Male,Black,50-59,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410449.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.34711074829102,Barack Obama,Male,Black,50-59,Democrat,,,High school graduate,No,,,,Very worried,Before that,,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409953.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.34711074829102,Barack Obama,Male,Black,30-39,Independent,Conservative,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,The war in Iraq,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409540.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,45-49,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Strongly approve,No,The economy,Very worried,Before that,Approve,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409468.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,50-59,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410542.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Somewhat worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410198.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,50-59,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409883.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,50-59,Democrat,,,Some college or associate degree,No,,,,Very worried,Before that,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409839.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.36767339706421,Barack Obama,Female,Black,50-59,Democrat,,,High school graduate,No,,,,Not too worried,Sometime in September,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410406.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.59966886043549,Barack Obama,Male,Black,65-74,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,No,Somewhat disapprove,Yes,The economy,Omit,Sometime in September,Disapprove,Black male,Black men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Omit,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410017.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.62408661842346,Barack Obama,Female,Black,65-74,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,The war in Iraq,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410643.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.63940727710724,Barack Obama,Male,Black,25-29,Democrat,,,Some college or associate degree,No,,,,Very worried,Before that,,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410108.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.63940727710724,Barack Obama,Male,Black,18-24,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,Terrorism,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409654.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.66443157196045,Barack Obama,Female,Black,18-24,Democrat,,,Some college or associate degree,No,,,,Very worried,Before that,,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4409593.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66443157196045,Barack Obama,Female,Black,25-29,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410591.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66443157196045,Barack Obama,Female,Black,18-24,Democrat,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410324.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66443157196045,Barack Obama,Female,Black,18-24,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Somewhat worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4410259.0,District of Columbia,30.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.66443157196045,Barack Obama,Female,Black,18-24,Democrat,,,College graduate,No,,,,Not at all worried,Before that,,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,,,,,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,,,1.0,Southeast,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,20019.0
4408587.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.556227207183838,John McCain,Male,Asian,40-44,Republican,Conservative,"$75,000-$99,999",Postgraduate study,No,Somewhat disapprove,No,The economy,Very worried,Sometime in September,Disapprove,Non black male,All other races,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Republican,Non black non Democrat,All Republicans,All others,Asian,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
4408508.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.556227207183838,John McCain,Male,White,45-49,Republican,Conservative,"$75,000-$99,999",College graduate,No,Somewhat disapprove,Yes,The economy,Not too worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
4408696.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.687250196933746,John McCain,Female,White,25-29,Republican,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,The economy,Somewhat worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
4409680.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.722564876079559,Barack Obama,Male,White,45-49,Democrat,,,Some college or associate degree,No,,,,Somewhat worried,Before that,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
4410249.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.722564876079559,Barack Obama,Male,White,30-39,Democrat,,,Postgraduate study,No,,,,Somewhat worried,Before that,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
4409974.0,District of Columbia,27.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.722564876079559,Barack Obama,Male,White,30-39,Democrat,Moderate,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,The economy,Not too worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",1.0,North central,East,High Density Urban,Urban,Urban Core,Upscale,20003.0
