ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ALDPRS08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,FAVBILL,FAVBILL2,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1117389.0,60+,60+,50-64,60-64,,,1.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,Call 2,7.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,1.0,1.0,2.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,,,Democrat,Moderate,3.0,15.0,1.0,,State questionnaire,,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,Female,,,,Non-married women,,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,"Yes, I do and someone else does",Yes,I am,Yes,3.0,Version 1,Non-white,2.0,3.0,4.0,5.0,7.0,,17-64,Low Density Rural,Rural,Rural,Upscale,36701.0,1.23323833942413
1114641.0,60+,60+,65+,75 or over,,,1.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Call 2,6.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,2.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",1.0,No,No,Good,Excellent/Good,65+,Democrat,,,Democrat,Liberal,1.0,30.0,3.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,,,,,,,Suburbs,Suburbs,Alabama,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,4.0,4.0,6.0,9.0,,65+,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Downscale,35062.0,0.837231934070587
1114565.0,60+,60+,50-64,60-64,,,1.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 2,7.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,,,2.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,,,Democrat,Moderate,3.0,40.0,3.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,Female,,,,Married women,,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,1.0,3.0,4.0,5.0,7.0,,17-64,Suburb,Urban,Urban Core,Very downscale,35207.0,0.851463198661804
1123170.0,60+,60+,50-64,60-64,,,1.0,A few times a month,A few times a month/A few times a year,All others,Complete,9.0,9.0,Call 3,4.0,2.0,1.0,2.0,1.0,Did not complete high school,2.0,1.0,3.0,2.0,5.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,,,Democrat,Moderate,3.0,65.0,1.0,,State questionnaire,,2.0,1.0,South,Something else,Something else,9.0,1.0,1.0,2.0,Female,,,,Married women,,Suburbs,Suburbs,Alabama,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,1.0,3.0,4.0,5.0,7.0,,17-64,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,35619.0,1.26952052116394
1108997.0,60+,60+,50-64,60-64,,,1.0,,,,Not complete,4.0,2.0,Call 1,6.0,,,2.0,1.0,,,,,,1.0,,,,,,3.0,No,,Poor,Not so good/Poor,18-64,,,,,,,30.0,1.0,,State questionnaire,,,,South,,,,,,,Male,,,,,,Suburbs,Suburbs,Alabama,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do and someone else does",Yes,I am,Yes,,Version 1,,,3.0,4.0,5.0,7.0,,17-64,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Downscale,35062.0,0.923782527446747
1108817.0,60+,60+,65+,75 or over,,,1.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 1,6.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,9.0,,Yes,Poor,Not so good/Poor,65+,Democrat,,,Democrat,,,30.0,9.0,,State questionnaire,,1.0,1.0,South,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,,,,Married women,,Suburbs,Suburbs,Alabama,Election day exit poll,2.0,5.0,2.0,9.0,9.0,Omit,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Non-white,1.0,4.0,4.0,6.0,9.0,,65+,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Downscale,35062.0,0.937502920627594
1108715.0,60+,60+,65+,65-74,,,1.0,Omit,Omit,Protestant/Do not attend weekly,Complete,1.0,1.0,Call 1,6.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,2.0,1.0,1.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Poor,Not so good/Poor,65+,Republican,,,Republican,Conservative,4.0,30.0,3.0,,State questionnaire,,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,Female,,,,Married women,,Suburbs,Suburbs,Alabama,Election day exit poll,9.0,9.0,9.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Non-white,1.0,4.0,4.0,6.0,8.0,,65+,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Downscale,35062.0,0.937502920627594
1108598.0,60+,60+,65+,75 or over,,,1.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Call 1,7.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,3.0,2.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Good,Excellent/Good,65+,Democrat,,,Democrat,Moderate,3.0,39.0,4.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,Female,,,,Non-married women,,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,4.0,4.0,6.0,9.0,,65+,Suburb,Urban,Urban Core,Downscale,35206.0,0.837542533874512
1108555.0,60+,60+,65+,75 or over,,,1.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Call 1,2.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,2.0,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,No,Poor,Not so good/Poor,65+,Democrat,,,Democrat,Liberal,1.0,20.0,1.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,3.0,1.0,Female,,,,Non-married women,,Suburbs,Suburbs,Alabama,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,4.0,4.0,6.0,9.0,,65+,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,36092.0,0.687392115592957
1108435.0,30-59,30-44,30-39,30-39,,,1.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 1,6.0,1.0,2.0,2.0,1.0,Postgraduate study,2.0,1.0,3.0,2.0,3.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,,,Democrat,Liberal,2.0,78.0,1.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,3.0,1.0,Female,,,,Married women,,Suburbs,Suburbs,Alabama,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Non-white,1.0,2.0,2.0,3.0,3.0,,17-64,Suburb,70s Suburbs,Urban Perimeter,Downscale,35476.0,0.66692328453064
1108320.0,30-59,45-59,40-49,45-49,,,1.0,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 1,4.0,2.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,3.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,,,Democrat,Liberal,1.0,79.0,1.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,2.0,2.0,1.0,Male,,,,Married men,,Rural,Small Cities/Rural,Alabama,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,3.0,3.0,4.0,5.0,,17-64,Low Density Rural,Rural,Rural,Upscale,35504.0,1.02072191238403
1122036.0,,,,,,,3.0,,,,Not complete,1.0,1.0,Call 3,7.0,,,8.0,3.0,,,,,,1.0,,,,,,1.0,No,,Not so good,Not so good/Poor,,,,,,,,42.0,2.0,,State questionnaire,,,,South,,,,,,,,,,,,,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,,Version 1,,,,,,,,,High Density Urban,Urban,Urban Core,Very downscale,35218.0,0.745256245136261
1103354.0,30-59,45-59,40-49,45-49,,,3.0,,,,Not complete,1.0,1.0,Call 3,1.0,,,8.0,3.0,,,,,,4.0,,,,,,2.0,No,,Not so good,Not so good/Poor,18-64,,,,,,,56.0,4.0,,State questionnaire,,,,South,,,,,,,Female,,,,,,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,1.0,2.0,1.0,2.0,2.0,Barack Obama did,No one does,No,No,No,,Version 1,,,3.0,3.0,4.0,5.0,,17-64,Suburb,Urban,Urban Core,Downscale,36607.0,0.802499949932098
1107982.0,30-59,45-59,50-64,50-59,,,3.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Call 1,3.0,3.0,2.0,8.0,3.0,Postgraduate study,2.0,1.0,1.0,1.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",2.0,No,No,Poor,Not so good/Poor,18-64,Democrat,,,Democrat,Liberal,1.0,70.0,2.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,2.0,2.0,1.0,Female,,,,Non-married women,,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,3.0,Version 1,Non-white,2.0,3.0,3.0,5.0,6.0,,17-64,Suburb,Rural,Rural,Downscale,35150.0,0.404986262321472
1107953.0,30-59,45-59,50-64,50-59,,,3.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 1,3.0,3.0,1.0,8.0,3.0,Did not complete high school,1.0,1.0,2.0,1.0,3.0,3.0,1.0,,,,1.0,No,Yes,Not so good,Not so good/Poor,18-64,Republican,,,Republican,Liberal,1.0,70.0,1.0,,State questionnaire,,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Mormon/LDS,9.0,1.0,3.0,1.0,Male,,,,Married men,,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,2.0,5.0,2.0,1.0,1.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,3.0,Version 1,Non-white,2.0,3.0,3.0,5.0,6.0,,17-64,Suburb,Rural,Rural,Downscale,35150.0,0.399059295654297
