ID,ATTEND,ATTEND2,ATTREL,AZDPRS08,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,LATINOS,MARRIED,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1102608.0,,,,0.0,Complete,,,,1.0,,,0.0,,,,,3.0,,,,,,,,Yes,Yes,,,,,,,,,,,,White,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,Rural,Small Cities/Rural,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,3.0,3.0,5.0,6.0,11.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,85534.0,4.45913696289063
1102325.0,,,,0.0,Complete,,,,5.0,,,0.0,,,,,1.0,,,,,,,,Yes,Yes,,,,,,,,,,,,Asian,State questionnaire,Hispanic/Latino,,,West,,,,,,,Female,Non black female,Latino women,Non white female,,Non white,Suburbs,Suburbs,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,4.0,4.0,6.0,8.0,12.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85268.0,3.46342778205872
1102391.0,,,,0.0,Complete,,,,4.0,,,0.0,,,,,1.0,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,"Cities over 500,000","Cities over 50,000",English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,3.0,4.0,5.0,7.0,4.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,85009.0,1.17336761951447
1102624.0,,,,0.0,Complete,,,,2.0,,,0.0,,,,,1.0,,,,,,,,Yes,Yes,,,,,,,,,,,,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,Suburbs,Suburbs,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,3.0,3.0,4.0,5.0,11.0,17-64,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,85345.0,5.69949579238892
1129275.0,,,,3.0,Not complete,2.0,1.0,Call 3,5.0,,,8.0,3.0,,,,1.0,,,,,,,3.0,No,No,,Not so good,Not so good/Poor,,,,,,,34.0,4.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Election day exit poll,2.0,2.0,4.0,4.0,2.0,2.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,3.0,4.0,5.0,7.0,4.0,17-64,High Density Urban,Urban,Urban Core,Downscale,85281.0,0.376478254795074
1119386.0,,,,3.0,Not complete,4.0,2.0,Call 2,3.0,,,8.0,3.0,,,,1.0,,,,,,,2.0,Yes,Yes,,Poor,Not so good/Poor,,,,,,,31.0,1.0,White,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,"Cities over 500,000","Cities over 50,000",English,Arizona,Election day exit poll,2.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,1.0,1.0,2.0,2.0,9.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,85017.0,0.730502784252167
1129288.0,,,,3.0,Not complete,9.0,9.0,Call 3,3.0,,,8.0,3.0,,,,1.0,,,,,,,1.0,No,No,,Not so good,Not so good/Poor,,,,,,,31.0,2.0,White,State questionnaire,White,,,West,,,,,,,Male,Non black male,White men,White male,,White male,"Cities over 500,000","Cities over 50,000",English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,85017.0,0.730502784252167
1118322.0,,,,3.0,Not complete,9.0,9.0,Call 2,3.0,,,8.0,3.0,,,,1.0,,,,,,,9.0,,,,Omit,Omit,,,,,,,27.0,9.0,White,State questionnaire,White,,,West,,,,,,,Male,Non black male,White men,White male,,White male,"Cities over 500,000","Cities over 50,000",,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,9.0,9.0,Omit,,,,,,Version 1,,,1.0,1.0,2.0,2.0,1.0,17-64,High Density Urban,Urban,Urban Core,Upscale,85032.0,0.53407871723175
1108426.0,,,,1.0,Not complete,9.0,9.0,Call 1,6.0,,,2.0,1.0,,,,1.0,,,,,,,9.0,,,,Omit,Omit,,,,,,,13.0,9.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,Suburbs,Suburbs,,Arizona,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85248.0,0.783124506473541
1128249.0,,,,1.0,Not complete,9.0,9.0,Call 3,6.0,,,2.0,1.0,,,,1.0,,,,,,,9.0,,,,Omit,Omit,,,,,,,13.0,9.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,Suburbs,Suburbs,,Arizona,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85248.0,0.783124506473541
1118856.0,,,,1.0,Not complete,3.0,2.0,Call 2,6.0,,,2.0,1.0,,,,1.0,,,,,,,9.0,No,No,,Not so good,Not so good/Poor,,,,,,,13.0,9.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,Suburbs,Suburbs,English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85248.0,0.783124506473541
1117571.0,,,,1.0,Not complete,9.0,9.0,Call 2,7.0,,,2.0,1.0,,,,3.0,,,,,,,9.0,,,,Omit,Omit,,,,,,,3.0,9.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,Rural,Small Cities/Rural,,Arizona,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85325.0,1.42326283454895
1129366.0,,,,1.0,Not complete,1.0,1.0,Call 3,1.0,,,2.0,1.0,,,,3.0,,,,,,,2.0,No,No,,Poor,Not so good/Poor,,,,,,,1.0,3.0,American Indian,State questionnaire,Other,,,West,,,,,,,Female,Non black female,All other races,Non white female,,Non white,Rural,Small Cities/Rural,English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,2.0,2.0,4.0,4.0,13.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,86538.0,4.26978874206543
