ID,ABORT2,ABORTION,ATTEND,ATTEND2,ATTREL,AZRPRS08,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,LATINOS,MOVETOAZ,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1102222.0,,,,,,0.0,Complete,,,,,,,1.0,,,,,3.0,,,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,West,,,,0.0,,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,,,,,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,Rural,Rural,Upscale,86303.0,2.20575761795044
1102085.0,,,,,,0.0,Complete,,,,,,,1.0,,,,,3.0,,,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,West,,,,0.0,,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,,,,,4.0,4.0,6.0,8.0,4.0,65+,Town,Rural,Rural,Downscale,86314.0,1.10287880897522
1102307.0,,,,,,0.0,Complete,,,,,,,6.0,,,,,2.0,,,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,West,,,,0.0,,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,,,,,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,85242.0,1.69663465023041
1102132.0,,,,,,0.0,Complete,,,,,,,6.0,,,,,1.0,,,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,West,,,,0.0,,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,,,,,4.0,4.0,6.0,9.0,4.0,65+,High Density Urban,Urban,Urban Core,Upscale,85205.0,2.14935970306396
1102082.0,,,,,,0.0,Complete,,,,,,,3.0,,,,,1.0,,,,,,,,,,No,No,,,,,,,,,,,,White,State questionnaire,White,West,,,,0.0,,Male,Non black male,White men,White male,White male,"Cities over 500,000","Cities over 50,000",English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,,,,,4.0,4.0,6.0,9.0,4.0,65+,High Density Urban,Urban,Urban Core,Upscale,85032.0,2.86467862129211
1128774.0,1.0,2.0,A few times a year,A few times a month/A few times a year,All others,0.0,Complete,4.0,2.0,No,1.0,1.0,Call 3,2.0,5.0,1.0,5.0,Some college or associate degree,3.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,1.0,My candidates position on the issues,No,No,4.0,Good,Excellent/Good,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,5.0,39.0,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,0.0,,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,86440.0,1.22045683860779
1128773.0,1.0,2.0,A few times a year,A few times a month/A few times a year,All others,0.0,Complete,4.0,2.0,No,1.0,1.0,Call 3,2.0,5.0,1.0,5.0,Some college or associate degree,3.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,1.0,My candidates position on the issues,No,No,4.0,Good,Excellent/Good,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,5.0,39.0,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,0.0,,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,86440.0,1.22045683860779
1129383.0,1.0,2.0,,,,0.0,Not complete,3.0,2.0,,3.0,2.0,Call 3,5.0,,,,,1.0,,,,,,,,1.0,My candidates position on the issues,No,No,,,,,,,,,,15.0,1.0,White,State questionnaire,White,West,,,,0.0,,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,English,Arizona,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,Version 1,Yes,,,,4.0,4.0,6.0,8.0,4.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85268.0,0.985954821109772
1102019.0,9.0,9.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,1.0,Complete,,,No,1.0,1.0,,8.0,1.0,2.0,1.0,College graduate,2.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,4.0,My candidates leadership/personal qualities,No,No,4.0,Poor,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,4.0,6.0,9.0,4.0,65+,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,85749.0,0.292165964841843
1102018.0,2.0,3.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,1.0,Complete,,,No,2.0,1.0,,8.0,1.0,1.0,5.0,Some college or associate degree,2.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,4.0,My candidates leadership/personal qualities,No,No,3.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,Arizona,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85739.0,0.54625129699707
