ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDEM2,CADPRS08,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,GAY,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,LATINOS,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1102860.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Complete,,,0.0,,1.0,,,0.0,,,,,,4.0,,,,,,,No,No,,,,18-64,,,,,,,,,White,State questionnaire,White,,,West,,,,,,,Male,Non black male,White men,White male,,White male,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,94574.0,2.34408044815063
1102981.0,60+,60+,50-64,60-64,Non black 60+,Latino 60+,,,,Complete,,,0.0,,38.0,,,0.0,,,,,,1.0,,,,,,,Yes,Yes,,,,18-64,,,,,,,,,Asian,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,,,,,,,,Version 1,,,3.0,4.0,5.0,7.0,12.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,91748.0,13.1939458847046
1130863.0,30-59,30-44,30-39,30-39,Non black 30-44,Latino 30-44,,,,Not complete,1.0,1.0,1.0,Call 3,11.0,,,2.0,1.0,,,,,3.0,,,,,,9.0,Yes,Yes,,Poor,Not so good/Poor,18-64,,,,,,,111.0,9.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,Suburbs,Suburbs,English,California,Election day exit poll,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,Omit,"Yes, I do",Yes,I am,Yes,,Version 1,,,2.0,2.0,3.0,3.0,10.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,95020.0,0.779901087284088
1130860.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,,,,Not complete,1.0,1.0,1.0,Call 3,11.0,,,2.0,1.0,,,,,3.0,,,,,,9.0,Yes,Yes,,Poor,Not so good/Poor,18-64,,,,,,,111.0,9.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,West,,,,,,,Female,Non black female,Latino women,Non white female,,Non white,Suburbs,Suburbs,English,California,Election day exit poll,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,Omit,"Yes, I do",Yes,I am,Yes,,Version 1,,,1.0,1.0,2.0,2.0,9.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,95020.0,0.820305407047272
1111163.0,,,,,,,,,,Not complete,9.0,9.0,1.0,Call 1,15.0,,,2.0,1.0,,,,,3.0,,,,,,9.0,,,,Omit,Omit,,,,,,,,105.0,9.0,Asian,State questionnaire,Asian,,,West,,,,,,,Male,Non black male,All other races,Non white male,,Non white,"Cities over 500,000","Cities over 50,000",,California,Election day exit poll,2.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Suburb,Urban,Urban Core,Very upscale,95132.0,1.53823828697205
1129110.0,,,,,,,,,,Not complete,9.0,9.0,1.0,Call 3,12.0,,,2.0,1.0,,,,,3.0,,,,,,9.0,No,No,,Omit,Omit,,,,,,,,101.0,9.0,Asian,State questionnaire,Asian,,,West,,,,,,,Male,Non black male,All other races,Non white male,,Non white,Suburbs,Suburbs,English,California,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,94015.0,0.781495809555054
1111394.0,60+,60+,65+,65-74,Non black 60+,All other,,,,Not complete,9.0,9.0,1.0,Call 1,12.0,,,2.0,1.0,,,,,3.0,,,,,,2.0,No,No,,Not so good,Not so good/Poor,65+,,,,,,,101.0,3.0,Asian,State questionnaire,Asian,,,West,,,,,,,Female,Non black female,All other races,Non white female,,Non white,Suburbs,Suburbs,English,California,Election day exit poll,2.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,Omit,No one does,No,No,No,,Version 1,,,4.0,4.0,6.0,8.0,13.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,94015.0,0.824248790740967
1113363.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,2.0,1.0,1.0,Call 1,22.0,,,2.0,1.0,,,,,4.0,,,,,,2.0,No,No,,Poor,Not so good/Poor,18-64,,,,,,,97.0,4.0,White,State questionnaire,White,,,West,,,,,,,Male,Non black male,White men,White male,,White male,Suburbs,Suburbs,English,California,Election day exit poll,1.0,1.0,2.0,2.0,1.0,1.0,9.0,9.0,Omit,"Yes, someone else does",Yes,"Member in household, but not voter",No,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93453.0,0.716744124889374
1112066.0,60+,60+,65+,65-74,Non black 60+,White 60+,,,,Not complete,9.0,9.0,3.0,Call 1,25.0,,,8.0,3.0,,,,,2.0,,,,,,1.0,,,,Omit,Omit,65+,,,,,,,75.0,1.0,White,State questionnaire,White,,,West,,,,,,,Male,Non black male,White men,White male,,White male,"Cities 50,000-500,000","Cities over 50,000",,California,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,9.0,9.0,Omit,"Yes, I do",Yes,I am,Yes,,Version 1,,,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Urban,Urban Core,Downscale,92392.0,0.523243010044098
1111841.0,,,,,,,,,,Not complete,9.0,9.0,1.0,Call 1,47.0,,,2.0,1.0,,,,,2.0,,,,,,9.0,,,,Omit,Omit,,,,,,,,49.0,9.0,White,State questionnaire,White,,,West,,,,,,,Female,Non black female,White women,White female,,White female,Suburbs,Suburbs,,California,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Extremely High Density Urban,60s Suburbs,High-Growth Suburban Perimeter,Downscale,92840.0,0.47598996758461
