ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ARNLDJB2,ARNLDJB4,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CARPRS08,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,LATINOS,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1103250.0,2.0,4.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,1.0,2.0,Once a week,More than once a week/Once a week,All others,Complete,,,No,3.0,2.0,,4.0,22.0,3.0,2.0,4.0,College graduate,5.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,No,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,6.0,4.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,All others,All others,1.0,1.0,2.0,2.0,1.0,17-64,Extremely Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Downscale,93561.0,2.28296279907227
1103199.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,1.0,1.0,Never,Never,All others,Complete,,,No,1.0,1.0,,3.0,22.0,3.0,1.0,3.0,High school graduate,5.0,1.0,3.0,,,,Somewhat approve,Approve,2.0,My candidates position on the issues,Yes,Yes,Good,Excellent/Good,65+,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,,4.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,None,None,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93555.0,2.53852438926697
1103320.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,2.0,3.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,No,3.0,2.0,,5.0,22.0,3.0,1.0,5.0,Some college or associate degree,5.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,3.0,My candidates leadership/personal qualities,No,No,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,7.0,5.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93555.0,1.4846271276474
1103251.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,White 60+,2.0,3.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,2.0,1.0,,5.0,22.0,5.0,1.0,5.0,Some college or associate degree,5.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,4.0,My candidates position on the issues,No,No,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,5.0,,1.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,5.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,60s Suburbs,Urban Perimeter,Downscale,93308.0,1.46921622753143
1103122.0,1.0,2.0,60+,60+,50-64,60-64,Non black 60+,White 60+,2.0,3.0,Never,Never,Protestant/Do not attend weekly,Complete,,,No,3.0,2.0,,1.0,22.0,3.0,1.0,3.0,Some college or associate degree,5.0,2.0,1.0,,,,Somewhat disapprove,Disapprove,1.0,My candidates position on the issues,No,No,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,Urban,Urban Core,Upscale,93312.0,0.954935610294342
1103307.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,White 60+,1.0,2.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,2.0,1.0,,2.0,22.0,2.0,2.0,5.0,College graduate,5.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,No,No,Omit,Omit,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,,1.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Urban,Urban Core,Upscale,93312.0,1.15278935432434
1103278.0,2.0,3.0,60+,60+,50-64,60-64,Non black 60+,White 60+,1.0,2.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,2.0,1.0,,2.0,22.0,2.0,1.0,2.0,Some college or associate degree,5.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,No,No,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,4.0,5.0,7.0,4.0,17-64,High Density Urban,Urban,Urban Core,Upscale,93309.0,0.692014515399933
1103202.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,2.0,3.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,2.0,1.0,,2.0,22.0,3.0,1.0,3.0,Some college or associate degree,5.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",Somewhat disapprove,Disapprove,1.0,My candidates position on the issues,No,No,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Downscale,93306.0,0.582440614700317
1103147.0,1.0,2.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,1.0,1.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,2.0,1.0,,3.0,22.0,3.0,2.0,3.0,College graduate,5.0,2.0,3.0,,,,Somewhat approve,Approve,4.0,My candidates leadership/personal qualities,No,No,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,3.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,2.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,93311.0,2.75525426864624
1103119.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,1.0,2.0,More than once a week,More than once a week/Once a week,All others,Complete,,,Yes,2.0,1.0,,5.0,22.0,5.0,1.0,5.0,Some college or associate degree,5.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,3.0,My candidates position on the issues,No,No,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,7.0,5.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,California,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,Urban,Urban Core,Upscale,93312.0,0.753808915615082
