ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEM,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREP,COLLEDUC,CUBAN3,CUBAN3S,EDUC,FLREP2ND,FLREP2NX,FLRPRS08,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08R,ISSVQUAL,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SEX,SEXBLACK,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXPREF,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
698531.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,More than once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,5.0,,,Yes,1.0,1.0,,21.0,5.0,2.0,1.0,1.0,College graduate,3.0,3.0,6.0,1.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",4.0,My candidates leadership/personal qualities,Good,Excellent/Good,65+,Republican,Non black non Democrat,Republican,Conservative,5.0,,2.0,White,State questionnaire,Hispanic/Latino,South,Catholic,Catholic,9.0,7.0,Female,Non black female,Non white female,Non white,"Cities 50,000-500,000","Cities over 50,000",English,Florida,1.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.95693242549896
698536.0,1.0,1.0,60+,60+,50-64,60-64,Non black 60+,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,,,Yes,2.0,1.0,,15.0,5.0,1.0,3.0,3.0,Some college or associate degree,9.0,9.0,1.0,4.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,My candidates leadership/personal qualities,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,Republican,Liberal,2.0,,3.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,1.0,Female,Non black female,White female,White female,Rural,Small Cities/Rural,English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Catholic,White Born-again/Evangelical Christians,All others,3.0,4.0,5.0,7.0,17-64,Suburb,,Low-Growth Suburban Perimeter,Downscale,32129.0,0.267602533102036
698537.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,Never,Never,All others,Complete,3.0,,,No,1.0,1.0,,5.0,3.0,2.0,3.0,3.0,Postgraduate study,2.0,2.0,4.0,4.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",4.0,My candidates leadership/personal qualities,Good,Excellent/Good,65+,Republican,Non black non Democrat,Republican,Conservative,5.0,,4.0,Asian,State questionnaire,Asian,South,Something else,Something else,9.0,4.0,Male,Non black male,Non white male,Non white,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,1.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.5899178981781
698539.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,5.0,,,No,2.0,1.0,,5.0,5.0,2.0,3.0,3.0,College graduate,5.0,5.0,1.0,4.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,My candidates leadership/personal qualities,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,Republican,Moderate,3.0,,3.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,1.0,Male,Non black male,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Catholic,All others,All others,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.42090606689453
698540.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,,,No,2.0,1.0,,5.0,3.0,2.0,3.0,3.0,Postgraduate study,1.0,1.0,4.0,4.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,My candidates leadership/personal qualities,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,Independent,Conservative,5.0,,1.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,4.0,Male,Non black male,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,1.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Catholic,All others,All others,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,2.23009634017944
698619.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,,,No,3.0,2.0,,7.0,9.0,1.0,3.0,3.0,Some college or associate degree,3.0,3.0,6.0,4.0,2.0,2.0,,,,3.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,Republican,Conservative,4.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Female,Non black female,White female,White female,Suburbs,Suburbs,English,Florida,9.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,17-64,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,0.373231798410416
698620.0,1.0,1.0,60+,60+,50-64,60-64,Non black 60+,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,5.0,,,No,3.0,2.0,,15.0,3.0,2.0,3.0,3.0,College graduate,3.0,3.0,6.0,4.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",3.0,My candidates leadership/personal qualities,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,Independent,Moderate,3.0,,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Male,Non black male,White male,White male,Rural,Small Cities/Rural,English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,Yes,Protestant/Other Christian,All others,All others,3.0,4.0,5.0,7.0,17-64,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.2833708524704
698621.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,,,Yes,2.0,1.0,,1.0,2.0,2.0,3.0,3.0,College graduate,3.0,3.0,2.0,5.0,2.0,3.0,,,,4.0,My candidates position on the issues,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,Male,Non black male,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.17716145515442
698622.0,1.0,2.0,30-59,30-44,30-39,30-39,Non black 30-44,Once a week,More than once a week/Once a week,All others,Complete,3.0,,,Yes,2.0,1.0,,1.0,3.0,2.0,3.0,3.0,College graduate,2.0,2.0,5.0,5.0,2.0,1.0,,,,3.0,My candidates position on the issues,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,Republican,Moderate,3.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,6.0,Female,Non black female,White female,White female,Suburbs,Suburbs,English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,17-64,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.98505878448486
698631.0,2.0,3.0,30-59,45-59,40-49,45-49,Non black 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,5.0,,,Yes,1.0,1.0,,7.0,3.0,2.0,3.0,3.0,College graduate,6.0,6.0,4.0,5.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",4.0,My candidates position on the issues,Excellent,Excellent/Good,18-64,Republican,Non black non Democrat,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,4.0,Female,Non black female,White female,White female,Suburbs,Suburbs,English,Florida,1.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Catholic,White Born-again/Evangelical Christians,All others,3.0,3.0,4.0,5.0,17-64,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,2.00674271583557
698635.0,9.0,9.0,30-59,45-59,40-49,45-49,Non black 45-59,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,,,Yes,3.0,2.0,,4.0,3.0,1.0,3.0,3.0,Some college or associate degree,1.0,1.0,4.0,5.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,My candidates leadership/personal qualities,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,Republican,Liberal,2.0,,1.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,4.0,Male,Non black male,White male,White male,"Cities over 500,000","Cities over 50,000",English,Florida,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,Yes,Catholic,White Born-again/Evangelical Christians,All others,3.0,3.0,4.0,5.0,17-64,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,3.79828786849976
698636.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,,,No,2.0,1.0,,25.0,1.0,1.0,1.0,1.0,Some college or associate degree,3.0,3.0,1.0,1.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",4.0,My candidates leadership/personal qualities,Excellent,Excellent/Good,65+,Republican,Non black non Democrat,Republican,Conservative,5.0,,3.0,White,State questionnaire,Hispanic/Latino,South,Catholic,Catholic,9.0,1.0,Female,Non black female,Non white female,Non white,Suburbs,Suburbs,English,Florida,1.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,65+,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,34211.0,1.94470489025116
