ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHANGEREP,COLLEDUC,EDUC,GEOCODE,GETAHEAD,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,NEC,NEC2,OVER65,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,PRSMI08R,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SEX,SEXRACE,SEXWHITE,SHAREREL,SHAREREL2,SIZEPLAC,SIZEPLC3,STANUM,TAXPREF,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
517525.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 1,15.0,,,,3.0,,,,,,,Omit,Omit,9.0,Omit,,,,,,,,73.0,4.0,9.0,White,State questionnaire,White,Midwest,,,,4.0,Female,White female,White female,9.0,9.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,,Election day exit poll,2.0,3.0,1.0,,,,,Version 1,,,,,,,,,,Suburb,Rural,Rural,Upscale,48162.0,0.497686833143234
517248.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 1,10.0,,,,5.0,,,,,,,Omit,Omit,3.0,Omit,,,,,,,,113.0,4.0,9.0,,State questionnaire,,Midwest,,,,4.0,Male,,,9.0,9.0,Suburbs,Suburbs, Michigan,,Election day exit poll,2.0,3.0,1.0,,,,,Version 1,,,,,,,,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,48040.0,0.786459624767303
517503.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 1,11.0,,,,1.0,,,,,,,Omit,Omit,9.0,Omit,,,,,,,,142.0,6.0,9.0,,State questionnaire,,Midwest,,,,7.0,,,,9.0,9.0,"Cities 50,000-500,000","Cities over 50,000", Michigan,,Election day exit poll,9.0,9.0,9.0,,,,,Version 1,,,,,,,,,,Suburb,Urban,Urban Core,Very upscale,48150.0,2.23219537734985
518879.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 3,10.0,,,,2.0,,,,,,,Omit,Omit,2.0,Omit,,,,,,,,57.0,6.0,9.0,White,State questionnaire,White,Midwest,,,,7.0,Male,White male,White male,9.0,9.0,Suburbs,Suburbs, Michigan,,Election day exit poll,9.0,9.0,9.0,,,,,Version 1,,,,,,,,,,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,48005.0,1.35007989406586
518372.0,2.0,4.0,,,,,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,9.0,9.0,Call 2,15.0,3.0,1.0,Some college or associate degree,3.0,2.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Omit,Omit,2.0,Omit,Not so good,Not so good/Poor,,Democrat,Democrat,Liberal,1.0,73.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Male,White male,White male,9.0,9.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,2.0,Election day exit poll,2.0,3.0,1.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,,,,,,Suburb,Rural,Rural,Upscale,48162.0,0.485729902982712
518357.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 2,15.0,,,,3.0,,,,,,,Omit,Omit,2.0,Omit,,,,,,,,73.0,6.0,2.0,White,State questionnaire,White,Midwest,,,,7.0,Male,White male,White male,9.0,9.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,,Election day exit poll,2.0,4.0,2.0,,,,,Version 1,,,,,,,,,,Suburb,Rural,Rural,Upscale,48162.0,0.485729902982712
519386.0,2.0,4.0,,,,,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,1.0,Yes,1.0,1.0,Call 3,5.0,1.0,1.0,Some college or associate degree,3.0,2.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,2.0,My candidates position on the issues,Good,Excellent/Good,,Republican,Republican,Liberal,1.0,5.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,7.0,Female,White female,White female,1.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,1.0,1.0,1.0,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,,,,,,Suburb,Rural,Rural,Very downscale,48708.0,1.62954556941986
518542.0,2.0,4.0,,,,,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,No,4.0,2.0,Call 2,5.0,4.0,1.0,Some college or associate degree,3.0,2.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,9.0,My candidates position on the issues,Poor,Not so good/Poor,,Independent/Something else,Independent,Moderate,3.0,5.0,1.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,1.0,Female,White female,White female,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,1.0,1.0,1.0,"Yes, I do and someone else does",Yes,I am,Yes,Version 1,No,Catholic,All others,All others,,,,,,Suburb,Rural,Rural,Very downscale,48708.0,1.8059161901474
517708.0,2.0,4.0,,,,,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,Yes,1.0,1.0,Call 1,15.0,5.0,2.0,College graduate,3.0,3.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,3.0,My candidates position on the issues,Good,Excellent/Good,,Republican,Republican,Conservative,5.0,73.0,6.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,7.0,Male,White male,White male,1.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,2.0,4.0,2.0,No one does,No,No,No,Version 1,No,Catholic,White Born-again/Evangelical Christians,All others,,,,,,Suburb,Rural,Rural,Upscale,48162.0,0.485729902982712
517627.0,9.0,9.0,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,,9.0,9.0,Call 1,15.0,9.0,1.0,Some college or associate degree,3.0,9.0,2.0,9.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,2.0,Omit,Omit,Omit,18-64,,,Conservative,4.0,73.0,2.0,9.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,Male,White male,White male,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,1.0,1.0,1.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,All others,,2.0,2.0,3.0,3.0,17-64,Suburb,Rural,Rural,Upscale,48162.0,0.559625864028931
518405.0,2.0,4.0,30-59,45-59,50-64,50-59,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,No,4.0,2.0,Call 2,10.0,2.0,2.0,College graduate,2.0,2.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Independent/Something else,Something else,Moderate,3.0,62.0,2.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,Female,White female,White female,3.0,2.0,Suburbs,Suburbs, Michigan,2.0,Election day exit poll,2.0,4.0,2.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,17-64,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,48310.0,1.9007842540741
517992.0,2.0,4.0,30-59,30-44,30-39,30-39,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,2.0,Yes,2.0,1.0,Call 2,6.0,3.0,2.0,College graduate,4.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly approve,Approve,3.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,4.0,2.0,2.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,Male,White male,White male,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,2.0,5.0,2.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,17-64,Low Density Rural,Rural,Rural,Downscale,49010.0,0.613515019416809
517077.0,2.0,3.0,30-59,45-59,40-49,45-49,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Yes,2.0,1.0,Call 1,3.0,6.0,1.0,Some college or associate degree,4.0,2.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,1.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,37.0,3.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,3.0,Male,White male,White male,1.0,1.0,Suburbs,Suburbs, Michigan,1.0,Election day exit poll,1.0,2.0,1.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,49301.0,3.23190522193909
517555.0,2.0,3.0,30-59,45-59,50-64,50-59,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,,4.0,2.0,Call 1,15.0,9.0,1.0,Some college or associate degree,3.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat disapprove,Disapprove,2.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Independent/Something else,Independent,Liberal,2.0,73.0,4.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,Male,White male,White male,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,1.0,2.0,1.0,,,,,Version 1,,Protestant/Other Christian,All others,,3.0,3.0,5.0,6.0,17-64,Suburb,Rural,Rural,Upscale,48162.0,0.478650271892548
519219.0,2.0,3.0,30-59,45-59,40-49,45-49,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,No,3.0,2.0,Call 3,3.0,3.0,1.0,High school graduate,4.0,2.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,2.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,4.0,42.0,4.0,3.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,4.0,Female,White female,White female,4.0,2.0,"Cities 50,000-500,000","Cities over 50,000", Michigan,2.0,Election day exit poll,1.0,2.0,1.0,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,49501.0,1.25268042087555
519218.0,2.0,3.0,30-59,45-59,40-49,45-49,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,No,3.0,2.0,Call 3,3.0,3.0,1.0,High school graduate,4.0,2.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,2.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,4.0,42.0,4.0,3.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,4.0,Female,White female,White female,4.0,2.0,"Cities 50,000-500,000","Cities over 50,000", Michigan,2.0,Election day exit poll,1.0,2.0,1.0,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,49501.0,1.25268042087555
518203.0,1.0,2.0,30-59,45-59,40-49,45-49,Never,Never,All others,Complete,3.0,2.0,Yes,2.0,1.0,Call 2,10.0,3.0,1.0,Some college or associate degree,5.0,2.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,3.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,110.0,4.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,4.0,Male,White male,White male,2.0,1.0,Suburbs,Suburbs, Michigan,1.0,Election day exit poll,2.0,4.0,2.0,"Yes, I do",Yes,I am,Yes,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,48054.0,0.895266652107239
517923.0,,,60+,60+,50-64,60-64,,,,Not complete,3.0,2.0,,3.0,2.0,Call 2,10.0,,,,2.0,,,,,,,Somewhat disapprove,Disapprove,1.0,My candidates leadership/personal qualities,,,18-64,,,,,57.0,5.0,2.0,White,State questionnaire,White,Midwest,,,,6.0,Male,White male,White male,3.0,2.0,Suburbs,Suburbs, Michigan,,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,,,,,3.0,4.0,5.0,7.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,48005.0,0.721620380878448
517042.0,1.0,1.0,30-59,45-59,40-49,45-49,Never,Never,All others,Complete,4.0,2.0,No,4.0,2.0,Call 1,2.0,4.0,2.0,Postgraduate study,5.0,2.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Independent/Something else,Independent,Moderate,3.0,76.0,5.0,1.0,White,State questionnaire,White,Midwest,None,None,5.0,6.0,Male,White male,White male,4.0,2.0,Suburbs,Suburbs, Michigan,2.0,Election day exit poll,2.0,5.0,2.0,No one does,No,No,No,Version 1,,None,All others,All others,3.0,3.0,4.0,5.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,49445.0,0.58899462223053
517665.0,2.0,4.0,30-59,45-59,50-64,50-59,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,1.0,,3.0,2.0,Call 1,15.0,9.0,1.0,Some college or associate degree,3.0,9.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,2.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,,,Moderate,3.0,73.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,7.0,Male,White male,White male,3.0,2.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,2.0,3.0,1.0,"Yes, I do and someone else does",Yes,I am,Yes,Version 1,,Protestant/Other Christian,All others,,3.0,3.0,5.0,6.0,17-64,Suburb,Rural,Rural,Upscale,48162.0,0.462254106998444
517443.0,2.0,3.0,60+,60+,50-64,60-64,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 1,13.0,5.0,2.0,College graduate,1.0,2.0,2.0,1.0,,,,Somewhat approve,Approve,3.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,150.0,6.0,2.0,,State questionnaire,,Midwest,Catholic,Catholic,9.0,7.0,Male,,,3.0,2.0,Suburbs,Suburbs, Michigan,2.0,Election day exit poll,1.0,2.0,1.0,No one does,No,No,No,Version 1,,Non-white,All others,All others,3.0,4.0,5.0,7.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,48192.0,1.64474821090698
519276.0,2.0,3.0,30-59,45-59,50-64,50-59,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,2.0,Yes,3.0,2.0,Call 3,15.0,5.0,1.0,Some college or associate degree,3.0,3.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,1.0,My candidates position on the issues,Good,Excellent/Good,18-64,Independent/Something else,Independent,Moderate,3.0,123.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Male,White male,White male,2.0,1.0,Suburbs,Suburbs, Michigan,2.0,Election day exit poll,1.0,1.0,1.0,"Yes, I do",Yes,I am,Yes,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,48198.0,0.496575862169266
519205.0,2.0,4.0,30-59,30-44,30-39,30-39,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,2.0,1.0,Call 3,15.0,5.0,2.0,College graduate,3.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,1.0,My candidates leadership/personal qualities,Not so good,Not so good/Poor,18-64,Independent/Something else,Independent,Conservative,4.0,73.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Female,White female,White female,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,2.0,4.0,2.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,17-64,Suburb,Rural,Rural,Upscale,48162.0,0.45740881562233
519185.0,2.0,3.0,30-59,45-59,50-64,50-59,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,4.0,2.0,Call 3,15.0,5.0,1.0,Some college or associate degree,3.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,2.0,My candidates leadership/personal qualities,Not so good,Not so good/Poor,18-64,Independent/Something else,Independent,Conservative,4.0,73.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Female,White female,White female,1.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,2.0,Election day exit poll,2.0,3.0,1.0,"Yes, I do and someone else does",Yes,I am,Yes,Version 1,,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,17-64,Suburb,Rural,Rural,Upscale,48162.0,0.45740881562233
519016.0,1.0,2.0,30-59,45-59,50-64,50-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,Yes,3.0,2.0,Call 3,13.0,5.0,1.0,Some college or associate degree,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,Poor,Not so good/Poor,18-64,Independent/Something else,Independent,Moderate,3.0,150.0,6.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,7.0,Female,White female,White female,4.0,2.0,Suburbs,Suburbs, Michigan,1.0,Election day exit poll,2.0,4.0,2.0,No one does,No,No,No,Version 1,,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,48192.0,1.64474821090698
519195.0,1.0,2.0,30-59,45-59,50-64,50-59,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,No,9.0,9.0,Call 3,13.0,6.0,1.0,High school graduate,1.0,2.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,4.0,My candidates leadership/personal qualities,Good,Excellent/Good,18-64,Republican,Republican,Moderate,3.0,145.0,7.0,9.0,White,State questionnaire,White,Midwest,Something else,Something else,4.0,9.0,Male,White male,White male,9.0,9.0,Suburbs,Suburbs, Michigan,2.0,Election day exit poll,1.0,2.0,1.0,"Yes, I do",Yes,I am,Yes,Version 1,,Something else,All others,All others,3.0,3.0,5.0,6.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,48218.0,0.849646806716919
517804.0,1.0,2.0,30-59,30-44,40-49,40-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,Yes,4.0,2.0,Call 1,5.0,5.0,2.0,College graduate,3.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,Poor,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,5.0,1.0,1.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,1.0,Male,White male,White male,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,2.0,Election day exit poll,2.0,5.0,2.0,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Yes,Catholic,White Born-again/Evangelical Christians,All others,2.0,2.0,4.0,4.0,17-64,Suburb,Rural,Rural,Very downscale,48708.0,1.73683977127075
517718.0,1.0,2.0,60+,60+,50-64,60-64,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,No,1.0,1.0,Call 1,3.0,1.0,2.0,College graduate,4.0,1.0,2.0,3.0,,,,Strongly approve,Approve,4.0,My candidates position on the issues,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,39.0,1.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,1.0,Male,White male,White male,3.0,2.0,Suburbs,Suburbs, Michigan,1.0,Election day exit poll,2.0,5.0,2.0,No one does,No,No,No,Version 1,Yes,Catholic,All others,All others,3.0,4.0,5.0,7.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,49341.0,1.71354985237122
518546.0,1.0,2.0,30-59,30-44,30-39,30-39,A few times a month,A few times a month/A few times a year,All others,Complete,4.0,2.0,No,2.0,1.0,Call 2,5.0,5.0,1.0,Some college or associate degree,3.0,3.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,Not so good,Not so good/Poor,18-64,Republican,Republican,Liberal,2.0,5.0,1.0,3.0,,State questionnaire,,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,Male,,,4.0,2.0,"Cities 10,000-50,000",Small Cities/Rural, Michigan,1.0,Election day exit poll,2.0,5.0,2.0,"Yes, I do",Yes,I am,Yes,Version 1,Yes,Non-white,All others,All others,2.0,2.0,3.0,3.0,17-64,Suburb,Rural,Rural,Very downscale,48708.0,1.52285802364349
