ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,MORPRS08,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1116936.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,2.0,1.0,Call 2,8.0,5.0,1.0,5.0,Some college or associate degree,5.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,1.0,My candidates position on the issues,No,1.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,17.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,Missouri,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,Rural,Rural,Upscale,63755.0,0.564396858215332
1117106.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,1.0,1.0,No,2.0,1.0,Call 2,6.0,2.0,1.0,4.0,Some college or associate degree,3.0,2.0,9.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,1.0,My candidates position on the issues,No,1.0,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Liberal,1.0,90.0,3.0,White,State questionnaire,White,Midwest,None,None,5.0,1.0,1.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,1.0,2.0,1.0,Version 1,No,None,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,64152.0,0.56411999464035
1107051.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,All others,Complete,2.0,1.0,Yes,2.0,1.0,Call 1,9.0,4.0,1.0,4.0,High school graduate,5.0,1.0,3.0,Less than 100k,Less than 50k,"Under $15,000",Somewhat approve,Approve,4.0,My candidates position on the issues,No,1.0,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,9.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Missouri,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,65240.0,0.700086891651154
1116640.0,1.0,2.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,No,2.0,1.0,Call 2,9.0,1.0,2.0,1.0,College graduate,5.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,1.0,My candidates position on the issues,No,1.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,6.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,1.0,1.0,2.0,2.0,1.0,17-64,Suburb,Urban,Urban Core,Upscale,65201.0,0.51810097694397
1108829.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,3.0,2.0,Call 1,2.0,1.0,2.0,1.0,College graduate,2.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat approve,Approve,3.0,My candidates leadership/personal qualities,No,1.0,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Liberal,2.0,94.0,3.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Missouri,Election day exit poll,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,63376.0,2.1767373085022
1126158.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,1.0,1.0,Call 3,7.0,1.0,2.0,2.0,College graduate,4.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",Strongly approve,Approve,2.0,My candidates position on the issues,No,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,26.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Missouri,Election day exit poll,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Upscale,65714.0,0.584922730922699
1115256.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Yes,2.0,1.0,Call 2,8.0,2.0,1.0,2.0,High school graduate,5.0,1.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,2.0,My candidates leadership/personal qualities,No,2.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,52.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,Missouri,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,63650.0,0.909192144870758
1127431.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 3,3.0,2.0,2.0,2.0,College graduate,2.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",Somewhat approve,Approve,2.0,My candidates position on the issues,No,2.0,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,116.0,1.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,2.0,2.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Missouri,Election day exit poll,2.0,4.0,2.0,Version 1,Yes,Catholic,All others,All others,4.0,4.0,6.0,8.0,4.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,63119.0,1.75027537345886
1125033.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 3,6.0,2.0,2.0,2.0,College graduate,3.0,2.0,3.0,100k or more,50k or more,"$150,000-$199,999",Somewhat disapprove,Disapprove,2.0,My candidates position on the issues,No,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,90.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,1.0,2.0,1.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,64152.0,0.426186233758926
1106280.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Yes,2.0,1.0,Call 1,6.0,2.0,1.0,2.0,Some college or associate degree,3.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,4.0,My candidates position on the issues,No,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,31.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,1.0,1.0,1.0,Version 1,No,Catholic,White Born-again/Evangelical Christians,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,64118.0,1.24247944355011
