ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,BREAKDEM,BREAKDM2,CALL,CDNUM,CLINASVP,CLINVSMCCN,COLLEDUC,DPRS08,EDUC,GENDISS,GENDISS2,GENDISS4,GEOCODE,GUNOWNER,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,ISSVQUAL,LONGPRIM,MTDPRS08,OBAMAASVP,OBAMVSMCCN,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS08,RECSS082,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHARECLIN,SHAREOBAM,SHAREVAL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TIME3DAB,TIMEPRAB,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3707072.0,,,,,,,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,1.0,1.0,,2.0,,3.0,2.0,4.0,1.0,No,1.0,3.0,1.0,,,,,2.0,My candidates leadership/personal qualities,1.0,1.0,1.0,9.0,,Democrat,,,Democrat,Moderate,3.0,50001.0,3.0,,State questionnaire,,3.0,2.0,9.0,2.0,1.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,Female,,,,,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,,,,,,1.0,,Low Density Rural,Urban,Urban Core,Upscale,59405.0,0.100312694907188
3707071.0,,,,,,,Omit,Omit,Omit,Complete,2.0,,,,1.0,1.0,1.0,,8.0,,2.0,1.0,3.0,1.0,,2.0,2.0,1.0,,,,,2.0,My candidates leadership/personal qualities,2.0,2.0,1.0,1.0,,Democrat,,,Democrat,Moderate,3.0,50001.0,1.0,,State questionnaire,,2.0,1.0,9.0,2.0,1.0,West,,,9.0,1.0,3.0,1.0,Female,,,,,2.0,2.0,4.0,"Cities 50,000-500,000","Cities over 50,000",Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,,,,,,,2.0,,Low Density Rural,Urban,Urban Core,Upscale,59405.0,0.0703520551323891
3706867.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Omit,Omit,Omit,Complete,2.0,,,,1.0,2.0,1.0,,8.0,,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,,3.0,My candidates leadership/personal qualities,2.0,2.0,2.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50001.0,1.0,White,State questionnaire,White,9.0,9.0,9.0,2.0,1.0,West,,,9.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,2.0,1.0,2.0,"Cities 50,000-500,000","Cities over 50,000",Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,1.0,1.0,Barack Obama did not,Version 1,,3.0,3.0,5.0,6.0,3.0,2.0,17-64,High Density Urban,Urban,Urban Core,Downscale,59801.0,1.42561936378479
3707069.0,,,,,,,Once a week,More than once a week/Once a week,All others,Complete,1.0,,,,1.0,2.0,9.0,1.0,2.0,High school graduate,9.0,9.0,9.0,2.0,Yes,9.0,9.0,9.0,1.0,,,,9.0,Omit,9.0,1.0,2.0,9.0,,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,50002.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,West,None,None,5.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,Rural,Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,None,,,,,,1.0,,Extremely Low Density Rural,Rural,Rural,Downscale,59860.0,0.554489612579346
3707062.0,60+,60+,65+,65-74,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,2.0,Yes,1.0,3.0,1.0,1.0,,,,1.0,My candidates position on the issues,1.0,1.0,1.0,2.0,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,50002.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,Rural,Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Extremely Low Density Rural,Rural,Rural,Very downscale,59859.0,0.781551003456116
3707060.0,60+,60+,65+,65-74,Non black 60+,White 60+,Omit,Omit,Protestant/Do not attend weekly,Complete,1.0,,,,1.0,9.0,1.0,1.0,2.0,Did not complete high school,3.0,2.0,4.0,2.0,No,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",2.0,My candidates leadership/personal qualities,2.0,1.0,2.0,3.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,50002.0,4.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,Rural,Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,2.0,2.0,Barack Obama did,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Extremely Low Density Rural,Rural,Rural,Very downscale,59864.0,0.781551003456116
3707053.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,,,,1.0,2.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,2.0,No,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,My candidates position on the issues,2.0,1.0,2.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50002.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,2.0,65+,Low Density Rural,Rural,Rural,Very upscale,59718.0,0.781551003456116
3707051.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,4.0,2.0,No,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"Under $15,000",1.0,My candidates position on the issues,9.0,1.0,1.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50002.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,Rural,Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Protestant/Other Christian,4.0,4.0,6.0,9.0,4.0,2.0,65+,Extremely Low Density Rural,Rural,Rural,Downscale,59828.0,0.819448351860046
3707049.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,4.0,2.0,No,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",2.0,My candidates leadership/personal qualities,2.0,1.0,9.0,3.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50002.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,West,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Catholic,4.0,4.0,6.0,9.0,4.0,9.0,65+,Low Density Rural,Rural,Rural,Upscale,59901.0,0.819448351860046
3707034.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,,,,1.0,9.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,4.0,1.0,Yes,9.0,9.0,9.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,My candidates position on the issues,9.0,1.0,9.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,50001.0,4.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,West,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,Rural,Small Cities/Rural,Montana,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Catholic,4.0,4.0,6.0,8.0,4.0,1.0,65+,Extremely Low Density Rural,Rural,Rural,Very upscale,59602.0,0.919841587543488
