ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEM,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,BUSHPLCY,CALL,CDNUM,CHIEFREP,CIVILNH,CIVILNH2,COLLEDUC,DESCRIBPR,ECONWORR,ECOWORR2,EDUC,FAVGIUL,FAVGIUL2,FAVHUCK,FAVHUCK2,FAVMCCN,FAVMCCN2,FAVPAUL,FAVPAUL2,FAVROM,FAVROM2,GEOCODE,GETAHEAD,GUNOWNER,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LEADERR,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,PRSNH08R,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REGNHREP,REL5,RELIGN8,RELWHITE,RPRS08,SEX,SEXRACE,SEXWED,SEXWHITE,SHAREREL,SHARERL2,SIZEPLAC,SIZEPLC3,STANUM,TAXPREF,TELEPOLL,TERRWORR,TERWORR2,TIME3D,TIMEPR,TIMEWK,TOOSOON,UNFAIRREP,VERSION,WHITEREL,WHTEVANG,WOMENWED,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
469689.0,,,,,,,Omit,Omit,,Complete,,,,,,,9.0,Call 2,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,9.0,,,,,,,Omit,Omit,9.0,Omit,,,Omit,Omit,,Independent/Something else,Independent,Conservative,5.0,36.0,6.0,9.0,White,State questionnaire,White,East,,,,,7.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,9.0,Election day exit poll,Very worried,Worried,1.0,1.0,1.0,9.0,3.0,Version 2,,,,,,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,3841.0,1.80473303794861
470588.0,,,60+,60+,65+,65-74,Omit,Omit,,Complete,,,,,,,9.0,Call 3,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,3.0,2.0,No,,,,,,Strongly disapprove,Disapprove,2.0,My candidates position on the issues,,,Poor,Not so good/Poor,65+,Independent/Something else,Something else,Moderate,3.0,42.0,5.0,1.0,White,State questionnaire,White,East,1.0,,,,6.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,1.0,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,2.0,4.0,Version 2,,,,,4.0,4.0,6.0,8.0,65+,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,3049.0,0.806296110153198
469452.0,,,60+,60+,65+,75 or over,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,2.0,Call 2,2.0,,,,1.0,1.0,1.0,1.0,High school graduate,,,,,,,,,,,3.0,9.0,No,1.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly disapprove,Disapprove,1.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,65+,Republican,Republican,,,89.0,4.0,9.0,White,State questionnaire,White,East,1.0,,,,4.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,9.0,9.0,Version 2,,,,,4.0,4.0,6.0,9.0,65+,Low Density Rural,Rural,Rural,Very downscale,3263.0,0.870318412780762
468939.0,,,60+,60+,65+,75 or over,Once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 1,1.0,,,,1.0,1.0,3.0,2.0,Did not complete high school,,,,,,,,,,,1.0,2.0,Yes,1.0,,,,,Somewhat approve,Approve,4.0,My candidates position on the issues,,,Good,Excellent/Good,65+,Republican,Republican,Conservative,5.0,83.0,4.0,1.0,,State questionnaire,,East,2.0,,,,4.0,Female,,,,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Very worried,Worried,9.0,9.0,9.0,1.0,9.0,Version 2,,,,,4.0,4.0,6.0,9.0,65+,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3857.0,0.789973199367523
468459.0,,,30-59,30-44,40-49,40-44,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,2.0,Call 1,1.0,,,,1.0,1.0,2.0,1.0,High school graduate,,,,,,,,,,,3.0,2.0,Yes,1.0,,Less than 100k,50k or more,"$75,000-$99,999",Somewhat approve,Approve,2.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Republican,Conservative,4.0,6.0,2.0,1.0,White,State questionnaire,White,East,2.0,,,,2.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,1.0,2.0,1.0,1.0,2.0,Version 2,,,,,2.0,2.0,4.0,4.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,3825.0,0.645005524158478
469261.0,,,30-59,30-44,30-39,30-39,More than once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 2,2.0,,,,1.0,1.0,2.0,1.0,High school graduate,,,,,,,,,,,1.0,2.0,No,1.0,,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Independent/Something else,Independent,Liberal,1.0,103.0,4.0,1.0,White,State questionnaire,White,East,2.0,,,,4.0,Female,White female,,White female,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,2.0,5.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3079.0,1.90037822723389
467958.0,,,60+,60+,65+,75 or over,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,2.0,Call 1,1.0,,,,1.0,1.0,2.0,1.0,High school graduate,,,,,,,,,,,3.0,2.0,,1.0,,,,,Somewhat approve,Approve,3.0,Omit,,,Good,Excellent/Good,65+,Republican,Republican,Conservative,4.0,23.0,6.0,2.0,,State questionnaire,,East,2.0,,,,7.0,Female,,,,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,2.0,4.0,2.0,1.0,4.0,Version 2,,,,,4.0,4.0,6.0,9.0,65+,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3037.0,1.04748451709747
470510.0,,,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,9.0,Call 3,1.0,,,,2.0,2.0,3.0,2.0,College graduate,,,,,,,,,,,3.0,2.0,Yes,2.0,,Less than 100k,50k or more,"$75,000-$99,999",Omit,Omit,9.0,Omit,,,Excellent,Excellent/Good,18-64,Independent/Something else,Independent,Conservative,4.0,23.0,4.0,1.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,1.0,2.0,1.0,1.0,5.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3037.0,1.25215435028076
470511.0,,,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,9.0,Call 3,1.0,,,,2.0,2.0,3.0,2.0,College graduate,,,,,,,,,,,3.0,2.0,Yes,2.0,,Less than 100k,50k or more,"$75,000-$99,999",Omit,Omit,9.0,Omit,,,Excellent,Excellent/Good,18-64,Independent/Something else,Independent,Conservative,4.0,23.0,4.0,1.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,1.0,2.0,1.0,1.0,5.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3037.0,1.25215435028076
470931.0,,,30-59,30-44,30-39,30-39,Once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 3,2.0,,,,2.0,1.0,1.0,1.0,Postgraduate study,,,,,,,,,,,1.0,3.0,Yes,2.0,,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Independent/Something else,Something else,Conservative,5.0,45.0,5.0,1.0,White,State questionnaire,White,East,2.0,,,,6.0,Female,White female,,White female,,,Suburbs,Suburbs,New Hampshire,1.0,Election day exit poll,Not at all worried,Not worried,2.0,5.0,2.0,1.0,3.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,3051.0,0.786069214344025
