ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,NEC,NEC2,NJRPRS08,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TERRWORR,TERWORR2,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1114376.0,1.0,2.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,Protestant/Do not attend weekly,Complete,1.0,1.0,,4.0,2.0,Call 2,4.0,3.0,2.0,2.0,Postgraduate study,4.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",Strongly approve,Approve,2.0,Omit,No,Excellent,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,106.0,1.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,All others,,3.0,3.0,5.0,6.0,3.0,17-64,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,8742.0,1.13870131969452
1114818.0,2.0,4.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Never,Never,Catholic/Do not attend weekly,Complete,3.0,2.0,,3.0,2.0,Call 2,4.0,3.0,1.0,2.0,Some college or associate degree,4.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,3.0,Omit,No,Good,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,106.0,3.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,Not too worried,Not worried,1.0,2.0,1.0,Version 1,No,Catholic,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,8742.0,1.13870131969452
1114686.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,Latino 45-59,Never,Never,Catholic/Do not attend weekly,Complete,3.0,2.0,No,4.0,2.0,Call 2,4.0,3.0,2.0,3.0,Postgraduate study,4.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,1.0,Omit,Yes,Excellent,Excellent/Good,1.0,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,106.0,3.0,White,State questionnaire,Hispanic/Latino,East,Catholic,Catholic,9.0,1.0,1.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,New Jersey,Election day exit poll,Not too worried,Not worried,2.0,4.0,2.0,Version 1,No,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,8742.0,1.0837504863739
1124559.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,No,3.0,2.0,Call 3,5.0,1.0,1.0,1.0,High school graduate,2.0,1.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,3.0,My candidates leadership/personal qualities,No,Good,Excellent/Good,1.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,6.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,7624.0,1.7885046005249
1114500.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,Latino 45-59,Never,Never,Protestant/Do not attend weekly,Complete,1.0,1.0,No,4.0,2.0,Call 2,4.0,2.0,2.0,2.0,Postgraduate study,4.0,2.0,1.0,100k or more,50k or more,"$200,000 or more",Strongly approve,Approve,2.0,Omit,Yes,Good,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,1.0,106.0,1.0,White,State questionnaire,Hispanic/Latino,East,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,New Jersey,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,8742.0,1.13870131969452
1113811.0,1.0,1.0,60+,60+,50-64,60-64,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,9.0,No,2.0,1.0,Call 2,12.0,1.0,1.0,1.0,High school graduate,3.0,1.0,9.0,,,,Strongly approve,Approve,4.0,My candidates leadership/personal qualities,No,Excellent,Excellent/Good,1.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,75.0,3.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,Version 1,Yes,Catholic,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,8857.0,2.56377553939819
1104521.0,2.0,4.0,18-29,18-29,18-24,18-24,Black 18-29,Black 18-29,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,4.0,2.0,Call 1,3.0,1.0,2.0,1.0,College graduate,4.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,2.0,My candidates leadership/personal qualities,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,2.0,22.0,1.0,Black,State questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,Female,Black female,Black women,Non white female,Non white,Suburbs,Suburbs,New Jersey,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,5.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,8060.0,1.99406182765961
1125410.0,1.0,2.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,No,2.0,1.0,Call 3,3.0,1.0,1.0,1.0,Some college or associate degree,4.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,1.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,100.0,1.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,Somewhat worried,Worried,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0,1.95736849308014
1115493.0,1.0,2.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,3.0,2.0,Call 2,5.0,3.0,1.0,1.0,High school graduate,2.0,1.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,2.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,1.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,6.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,7624.0,1.7885046005249
1125458.0,1.0,2.0,60+,60+,50-64,60-64,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,No,3.0,2.0,Call 3,5.0,1.0,1.0,1.0,Some college or associate degree,5.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",Somewhat approve,Approve,2.0,My candidates leadership/personal qualities,No,Good,Excellent/Good,1.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,116.0,1.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,Very worried,Worried,1.0,2.0,1.0,Version 1,No,Catholic,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7821.0,2.37623333930969
