ID,AGE3,AGE60,AGE65,AGE9,BACKSIDE,BREAKDEM,BREAKDM2,BUSHANG08,BUSHANG2,CALL,CDNUM,COLLEDUC,DPRS08,EDUC,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,MARRIED,MIALLCAND,OVER65,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,PRSMI08D,QRACEAI,QTYPE,RACE,REGION,SEX,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
517907.0,,,,,Complete,9.0,9.0,9.0,9.0,Call 2,10.0,1.0,2.0,High school graduate,5.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",9.0,Yes,1.0,,Democrat,Democrat,Moderate,3.0,50.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,1.0,,,,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,48446.0,0.991135478019714
517872.0,30-59,45-59,50-64,50-59,Complete,1.0,1.0,4.0,2.0,Call 2,9.0,1.0,2.0,Some college or associate degree,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,No,1.0,18-64,Republican,Republican,Moderate,3.0,87.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Non-married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,2.0,3.0,3.0,5.0,6.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,48309.0,0.919597983360291
517697.0,30-59,30-44,40-49,40-44,Complete,2.0,1.0,9.0,9.0,Call 1,9.0,,2.0,,2.0,,,,,9.0,Yes,1.0,18-64,Democrat,Democrat,Liberal,2.0,89.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,9.0,9.0,9.0,,,,,Version 1,1.0,2.0,2.0,4.0,4.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,48073.0,1.06127679347992
517382.0,60+,60+,65+,65-74,Complete,9.0,9.0,9.0,9.0,Call 1,13.0,1.0,2.0,High school graduate,1.0,1.0,,,,3.0,No,1.0,65+,Democrat,Democrat,,,150.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Non-married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,9.0,9.0,9.0,,,,,Version 1,2.0,4.0,4.0,6.0,8.0,65+,Suburb,60s Suburbs,Urban Perimeter,Downscale,48192.0,0.8623086810112
519033.0,30-59,45-59,50-64,50-59,Complete,2.0,1.0,4.0,2.0,Call 3,8.0,1.0,2.0,Some college or associate degree,3.0,2.0,100k or more,50k or more,"$200,000 or more",1.0,Yes,1.0,18-64,Democrat,Democrat,Liberal,2.0,32.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,4.0,2.0,,,,,Version 1,1.0,3.0,3.0,5.0,6.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48895.0,0.792766153812408
518648.0,18-29,18-29,18-24,18-24,Complete,2.0,1.0,4.0,2.0,Call 3,3.0,2.0,2.0,Postgraduate study,4.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,4.0,18-64,Democrat,Democrat,Liberal,1.0,37.0,1.0,White,State questionnaire,White,Midwest,Male,White male,Non-married men,White male,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,3.0,1.0,,,,,Version 1,2.0,1.0,1.0,1.0,1.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,49301.0,0.35844948887825
518317.0,60+,60+,65+,65-74,Complete,9.0,9.0,4.0,2.0,Call 2,10.0,1.0,2.0,High school graduate,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",9.0,Yes,1.0,65+,Democrat,Democrat,Moderate,3.0,62.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,1.0,4.0,4.0,6.0,8.0,65+,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,48310.0,2.11952781677246
518276.0,60+,60+,65+,75 or over,Complete,1.0,1.0,3.0,2.0,Call 2,13.0,1.0,2.0,Did not complete high school,1.0,1.0,,,,1.0,Yes,1.0,65+,Democrat,Democrat,Liberal,2.0,150.0,1.0,White,State questionnaire,White,Midwest,Female,White female,Married women,White female,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,1.0,4.0,4.0,6.0,9.0,65+,Suburb,60s Suburbs,Urban Perimeter,Downscale,48192.0,0.8623086810112
518266.0,60+,60+,65+,75 or over,Complete,1.0,1.0,3.0,2.0,Call 2,13.0,1.0,2.0,Did not complete high school,1.0,1.0,,,,1.0,Yes,1.0,65+,Democrat,Democrat,Liberal,2.0,150.0,1.0,White,State questionnaire,White,Midwest,Male,White male,Married men,White male,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,2.0,4.0,4.0,6.0,9.0,65+,Suburb,60s Suburbs,Urban Perimeter,Downscale,48192.0,0.874869525432587
518079.0,60+,60+,65+,75 or over,Not complete,4.0,2.0,4.0,2.0,Call 2,7.0,,2.0,,4.0,,,,,9.0,,1.0,65+,,,,,51.0,1.0,White,State questionnaire,White,Midwest,Male,White male,,White male,Suburbs,Suburbs, Michigan,Election day exit poll,2.0,5.0,2.0,,,,,Version 1,,4.0,4.0,6.0,9.0,65+,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,49238.0,1.96953511238098
