ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,FAVBILL,FAVBILL2,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OKDPRS08,OVER65,PARTY,PARTYBLK,PARTYBYR,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1106241.0,30-59,30-44,40-49,40-44,Non black 30-44,Latino 30-44,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 1,5.0,2.0,1.0,0.0,,Some college or associate degree,3.0,2.0,3.0,2.0,4.0,3.0,2.0,Less than 100k,Less than 50k,"Under $15,000",1.0,Yes,Yes,Poor,Not so good/Poor,0.0,18-64,Democrat,3.0,5.0,Democrat,Liberal,2.0,56.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,2.0,4.0,2.0,Female,Non black female,Latino women,Non white female,Married women,Non white,"Cities 10,000-50,000",Small Cities/Rural,Oklahoma,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Non-white,1.0,2.0,2.0,4.0,4.0,10.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,74826.0,0.758703827857971
1124555.0,30-59,30-44,40-49,40-44,Non black 30-44,All other,A few times a month,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 3,2.0,2.0,1.0,0.0,,High school graduate,1.0,1.0,3.0,2.0,3.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Not so good,Not so good/Poor,0.0,18-64,Democrat,3.0,8.0,Democrat,Moderate,3.0,24.0,9.0,American Indian,State questionnaire,Other,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,2.0,4.0,2.0,Male,Non black male,All other races,Non white male,Married men,Non white,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,9.0,9.0,9.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Non-white,2.0,2.0,2.0,4.0,4.0,13.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,74839.0,2.88627052307129
1114209.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,4.0,2.0,Call 2,4.0,,,0.0,,,,,,,4.0,,,,,,9.0,No,,Good,Excellent/Good,0.0,18-64,,,,,,,19.0,9.0,White,State questionnaire,White,,,South,,,,,,,Female,Non black female,White women,White female,,White female,Suburbs,Suburbs,Oklahoma,Election day exit poll,9.0,9.0,9.0,9.0,9.0,Omit,"Yes, I do",Yes,I am,Yes,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,73543.0,0.664208948612213
1114176.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 2,4.0,2.0,2.0,0.0,,College graduate,4.0,2.0,3.0,2.0,4.0,3.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Not so good,Not so good/Poor,0.0,18-64,Republican,4.0,7.0,Republican,Conservative,5.0,19.0,9.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,Suburbs,Suburbs,Oklahoma,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,2.0,Version 1,Protestant/Other Christian,2.0,2.0,2.0,4.0,4.0,2.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,73543.0,0.710709571838379
1106491.0,,,,,,,,,,Not complete,9.0,9.0,Call 1,1.0,,,2.0,1.0,,,,,,2.0,,,,,,9.0,,,Omit,Omit,1.0,,,,,,,,72.0,9.0,White,State questionnaire,White,,,South,,,,,,,Male,Non black male,White men,White male,,White male,Suburbs,Suburbs,Oklahoma,Election day exit poll,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,74008.0,1.06512403488159
1113993.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 2,1.0,1.0,2.0,2.0,1.0,Postgraduate study,2.0,1.0,2.0,1.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,Yes,Not so good,Not so good/Poor,1.0,18-64,Democrat,3.0,1.0,Democrat,Liberal,2.0,77.0,1.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Oklahoma,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Protestant/Other Christian,1.0,1.0,1.0,2.0,2.0,1.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,74055.0,0.799781560897827
1115855.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 2,2.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,3.0,2.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Republican,4.0,7.0,Republican,Conservative,5.0,3.0,1.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Protestant/Other Christian,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Low Density Rural,Rural,Rural,Very downscale,74747.0,0.586264610290527
1115066.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,Call 2,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Independent/Something else,4.0,2.0,Independent,Moderate,3.0,67.0,1.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities 50,000-500,000","Cities over 50,000",Oklahoma,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,2.0,1.0,1.0,1.0,1.0,1.0,17-64,High Density Urban,Urban,Urban Core,Very upscale,74136.0,1.22120571136475
1110606.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,9.0,9.0,Call 1,5.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,3.0,2.0,1.0,3.0,2.0,Less than 100k,Less than 50k,"Under $15,000",3.0,,No,Good,Excellent/Good,1.0,18-64,Independent/Something else,4.0,2.0,Independent,,,40.0,2.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,Oklahoma,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,2.0,1.0,1.0,2.0,2.0,1.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,73115.0,0.677207767963409
1123832.0,18-29,18-29,18-24,18-24,Black 18-29,Black 18-29,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 3,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,1.0,3.0,Democrat,Liberal,1.0,8.0,3.0,Black,State questionnaire,Black,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,3.0,1.0,Male,Black male,Black men,Non white male,Non-married men,Non white,Suburbs,Suburbs,Oklahoma,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,5.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,73099.0,0.430417954921722
