ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,ATTEND,ATTEND2,BACKSIDE,BEATREPSC,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDSC,COLLEDUC,DPRS08,EDUC,FTEVER,FTPRIM,FTVOTEP,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,IRAQKEEP,ISSIA08D,ISSVQUAL,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,READYBLACK,READYBL2,READYWOMAN,READYWM2,REGION,SATCLIN2,SATISCLIN,SATISOBAM,SATOBAM2,SCDPRS08,SEX,SEXBLACK,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNITESC,VERSION,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
694078.0,30-59,45-59,50-64,50-59,Non black 45-59,A few times a month,A few times a month/A few times a year,Complete,1.0,3.0,2.0,Call 3,1.0,1.0,2.0,0.0,College graduate,2.0,2.0,1.0,3.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,3.0,My candidates position on the issues,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,2.0,66.0,2.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,1.0,2.0,2.0,1.0,0.0,Male,Non black male,White male,Married men,White male,Suburbs,Suburbs,South Carolina,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,2.0,Version 1,2.0,3.0,3.0,5.0,6.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,0.803125083446503
694254.0,60+,60+,65+,65-74,Non black 60+,Once a week,More than once a week/Once a week,Complete,1.0,2.0,1.0,Call 3,1.0,1.0,1.0,2.0,Did not complete high school,2.0,2.0,1.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,1.0,My candidates leadership/personal qualities,Yes,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,Democrat,Moderate,3.0,66.0,1.0,American Indian,State questionnaire,Other,2.0,1.0,2.0,1.0,South,1.0,1.0,2.0,1.0,1.0,Male,Non black male,Non white male,Married men,Non white,Suburbs,Suburbs,South Carolina,Election day exit poll,1.0,2.0,1.0,2.0,2.0,Barack Obama did,1.0,Version 1,2.0,4.0,4.0,6.0,8.0,65+,Town,,Urban Perimeter,Upscale,29588.0,1.89981997013092
694237.0,60+,60+,65+,65-74,Non black 60+,A few times a year,A few times a month/A few times a year,Complete,1.0,1.0,1.0,Call 3,1.0,1.0,2.0,2.0,College graduate,2.0,2.0,1.0,3.0,2.0,,,,1.0,2.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,Democrat,Liberal,1.0,66.0,3.0,White,State questionnaire,White,2.0,1.0,1.0,1.0,South,1.0,1.0,2.0,1.0,1.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,1.0,Version 1,1.0,4.0,4.0,6.0,8.0,65+,Town,,Urban Perimeter,Upscale,29588.0,1.65431320667267
694227.0,30-59,30-44,30-39,30-39,Non black 30-44,Never,Never,Complete,1.0,1.0,1.0,Call 3,1.0,1.0,1.0,2.0,High school graduate,2.0,1.0,2.0,3.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",2.0,1.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,2.0,66.0,1.0,American Indian,State questionnaire,Other,1.0,1.0,1.0,1.0,South,1.0,1.0,1.0,1.0,1.0,Female,Non black female,Non white female,Married women,Non white,Suburbs,Suburbs,South Carolina,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,1.0,Version 1,1.0,2.0,2.0,3.0,3.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,1.27674448490143
694211.0,60+,60+,65+,65-74,Non black 60+,A few times a year,A few times a month/A few times a year,Complete,1.0,1.0,1.0,Call 3,1.0,1.0,2.0,2.0,College graduate,2.0,1.0,2.0,3.0,2.0,,,,1.0,2.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,Independent,Liberal,2.0,66.0,3.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,1.0,1.0,4.0,2.0,1.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,1.0,Version 1,1.0,4.0,4.0,6.0,8.0,65+,Town,,Urban Perimeter,Upscale,29588.0,1.65431320667267
694200.0,30-59,45-59,50-64,50-59,Non black 45-59,A few times a year,A few times a month/A few times a year,Complete,1.0,2.0,1.0,Call 3,1.0,1.0,,2.0,,2.0,2.0,1.0,3.0,,,,,2.0,1.0,Omit,Yes,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,Independent,Moderate,3.0,66.0,3.0,Asian,State questionnaire,Asian,3.0,2.0,1.0,1.0,South,1.0,2.0,3.0,2.0,1.0,Male,Non black male,Non white male,Married men,Non white,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,9.0,9.0,Omit,2.0,Version 1,2.0,3.0,3.0,5.0,6.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,1.46621859073639
694182.0,30-59,45-59,40-49,45-49,Non black 45-59,Never,Never,Complete,1.0,1.0,1.0,Call 3,1.0,1.0,1.0,2.0,Some college or associate degree,2.0,2.0,1.0,3.0,2.0,100k or more,50k or more,"$100,000-$149,999",2.0,2.0,My candidates leadership/personal qualities,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Conservative,4.0,66.0,3.0,White,State questionnaire,White,3.0,2.0,1.0,1.0,South,1.0,1.0,2.0,1.0,1.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,1.0,Version 1,1.0,3.0,3.0,4.0,5.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,1.27674448490143
694168.0,30-59,45-59,50-64,50-59,Black 45-59,More than once a week,More than once a week/Once a week,Complete,1.0,1.0,1.0,Call 3,1.0,4.0,1.0,2.0,Some college or associate degree,2.0,2.0,1.0,3.0,2.0,,,,1.0,2.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Democrat,Moderate,3.0,66.0,3.0,Black,State questionnaire,Black,1.0,1.0,1.0,1.0,South,1.0,1.0,1.0,1.0,1.0,Female,Black female,Non white female,Married women,Non white,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,4.0,2.0,3.0,1.0,Barack Obama did,1.0,Version 1,1.0,3.0,3.0,5.0,6.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,1.56416368484497
693531.0,60+,60+,65+,65-74,Non black 60+,Never,Never,Complete,1.0,2.0,1.0,Call 2,1.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,3.0,1.0,,,,2.0,1.0,My candidates leadership/personal qualities,Yes,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,Independent,Liberal,2.0,66.0,3.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,1.0,1.0,4.0,2.0,1.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,1.0,Version 1,1.0,4.0,4.0,6.0,8.0,65+,Town,,Urban Perimeter,Upscale,29588.0,1.65431320667267
693521.0,30-59,45-59,50-64,50-59,Non black 45-59,Never,Never,Complete,2.0,2.0,1.0,Call 2,1.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,1.0,My candidates position on the issues,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,2.0,66.0,3.0,White,State questionnaire,White,2.0,1.0,3.0,2.0,South,1.0,1.0,4.0,2.0,1.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,South Carolina,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,1.0,Version 1,1.0,3.0,3.0,5.0,6.0,17-64,Town,,Urban Perimeter,Upscale,29588.0,1.27674448490143
