ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,FAVBILL,FAVBILL2,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLK,PARTYBYR,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,UTDPRS08,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1129470.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Never,Never,All others,Complete,3.0,2.0,Call 3,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,2.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Liberal,1.0,58.0,1.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,None,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,Urban,Urban Core,Very downscale,84404.0,0.605628669261932
1129407.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 3,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,3.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,No,No,Poor,Not so good/Poor,18-64,Independent/Something else,4.0,2.0,Independent,Liberal,2.0,45.0,3.0,White,State questionnaire,White,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,3.0,1.0,Version 1,Protestant/Other Christian,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,84058.0,0.739240109920502
1129468.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,Protestant/Do not attend weekly,Complete,4.0,2.0,Call 3,3.0,1.0,2.0,2.0,1.0,College graduate,1.0,1.0,3.0,2.0,3.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Moderate,3.0,50.0,1.0,White,State questionnaire,White,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Utah,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,84660.0,0.936517894268036
1119537.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,Never,Never,All others,Complete,4.0,2.0,Call 2,1.0,1.0,1.0,2.0,1.0,High school graduate,2.0,1.0,3.0,2.0,2.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Republican,4.0,7.0,Republican,Conservative,4.0,6.0,3.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Utah,Election day exit poll,1.0,2.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,None,1.0,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84040.0,0.80701607465744
1129462.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,3.0,2.0,Call 3,1.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,3.0,2.0,2.0,1.0,1.0,100k or more,50k or more,"$150,000-$199,999",2.0,No,Yes,Poor,Not so good/Poor,18-64,Independent/Something else,4.0,2.0,Independent,Liberal,2.0,58.0,3.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,None,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very downscale,84404.0,0.58739560842514
1129450.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,Call 3,1.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,3.0,2.0,2.0,3.0,1.0,Less than 100k,Less than 50k,"Under $15,000",2.0,Yes,No,Poor,Not so good/Poor,18-64,Democrat,3.0,5.0,Democrat,Conservative,4.0,56.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,3.0,1.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,Urban,Urban Core,Very downscale,84404.0,1.08000290393829
1119519.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 2,3.0,1.0,2.0,2.0,1.0,College graduate,1.0,1.0,2.0,1.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Liberal,2.0,48.0,1.0,White,State questionnaire,White,2.0,1.0,West,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Upscale,84604.0,0.71489018201828
1129438.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,2.0,1.0,Call 3,1.0,9.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,2.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Moderate,3.0,56.0,1.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000", Utah,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,9.0,1.0,Version 1,None,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very downscale,84404.0,1.05314445495605
1110682.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,Call 1,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Liberal,1.0,28.0,1.0,White,State questionnaire,White,3.0,2.0,West,Catholic,Catholic,2.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Utah,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Catholic,2.0,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,84123.0,1.40298104286194
1119503.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,Never,Never,All others,Complete,4.0,2.0,Call 2,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,1.0,3.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,3.0,1.0,Democrat,Moderate,3.0,18.0,3.0,White,State questionnaire,White,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Utah,Election day exit poll,2.0,3.0,1.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,1.0,1.0,2.0,2.0,1.0,17-64,High Density Urban,70s Suburbs,Urban Perimeter,Downscale,84120.0,1.36087834835052
