ID,ABORT2,ABORTION,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEMVA,BREAKREP,BREAKRP2,BRNAGAIN,CALL,CDNUM,CHIEFREPLA,COLLEDUC,ECONREPLA,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,MCCONSRV,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SATISMCCN,SATMCCN2,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TLKRADIO,TLKRADI2,VARPRS08,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1163637.0,1.0,2.0,Never,Never,Catholic/Do not attend weekly,Complete,2.0,4.0,2.0,No,Call 3,7.0,2.0,2.0,2.0,Postgraduate study,3.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,2.0,3.0,Not so good,Not so good/Poor,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,35.0,3.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,0.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs, Virginia,Election day exit poll,1.0,2.0,1.0,2.0,1.0,0.0,Version 1,Yes,Catholic,All others,All others,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23060.0,1.41872930526733
1160915.0,1.0,1.0,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,3.0,2.0,No,Call 1,7.0,2.0,2.0,2.0,Postgraduate study,3.0,2.0,1.0,100k or more,50k or more,"$200,000 or more",Somewhat approve,Approve,9.0,3.0,Good,Excellent/Good,Independent/Something else,Non black non Democrat,White Independents,Independent,Liberal,1.0,84.0,9.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,0.0,1.0,1.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,9.0,9.0,9.0,4.0,2.0,0.0,Version 1,No,Catholic,All others,All others,2.0,2.0,4.0,4.0,2.0,17-64,High Density Urban,Urban,Urban Core,Upscale,23221.0,1.13909184932709
1162554.0,2.0,3.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,2.0,1.0,Yes,Call 2,2.0,1.0,1.0,1.0,Some college or associate degree,2.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",Somewhat approve,Approve,2.0,2.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,77.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,2.0,5.0,2.0,2.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,High Density Urban,Urban,Urban Core,Downscale,23503.0,0.971096038818359
1163657.0,2.0,3.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,4.0,2.0,Yes,Call 3,7.0,1.0,1.0,1.0,Some college or associate degree,3.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,3.0,3.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,35.0,1.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,3.0,2.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,1.0,1.0,2.0,2.0,1.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23060.0,1.38978910446167
1163654.0,2.0,4.0,Never,Never,All others,Complete,1.0,1.0,1.0,Yes,Call 3,9.0,1.0,1.0,1.0,High school graduate,4.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,1.0,2.0,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,41.0,1.0,White,State questionnaire,White,South,None,None,5.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,1.0,Version 1,No,None,White Born-again/Evangelical Christians,All others,2.0,2.0,3.0,3.0,2.0,17-64,Town,Rural,Rural,Downscale,24073.0,0.799959361553192
1162545.0,2.0,4.0,,,,Not complete,2.0,2.0,1.0,,Call 2,9.0,,,,,4.0,,,,,,Strongly approve,Approve,9.0,,Good,Excellent/Good,,,,,,,62.0,2.0,White,State questionnaire,White,South,,,,2.0,,,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,2.0,5.0,2.0,,,1.0,Version 1,No,,,,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,24202.0,0.633592426776886
1162543.0,2.0,3.0,More than once a week,More than once a week/Once a week,All others,Complete,1.0,2.0,1.0,Yes,Call 2,2.0,1.0,2.0,1.0,Postgraduate study,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,3.0,3.0,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,77.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,2.0,5.0,2.0,2.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,1.0,1.0,1.0,1.0,1.0,17-64,High Density Urban,Urban,Urban Core,Downscale,23503.0,0.971096038818359
1163645.0,2.0,3.0,Omit,Omit,All others,Complete,2.0,2.0,1.0,Yes,Call 3,9.0,1.0,2.0,1.0,College graduate,4.0,2.0,9.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,3.0,2.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,41.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,9.0,9.0,9.0,4.0,2.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,2.0,17-64,Town,Rural,Rural,Downscale,24073.0,0.799959361553192
1162541.0,2.0,4.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,4.0,2.0,Yes,Call 2,8.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,3.0,100k or more,50k or more,"$150,000-$199,999",Strongly approve,Approve,2.0,2.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,21.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,1.0,1.0,1.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,22150.0,1.04033851623535
1162540.0,2.0,4.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,4.0,2.0,Yes,Call 2,8.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,3.0,100k or more,50k or more,"$150,000-$199,999",Strongly approve,Approve,2.0,2.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,21.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,1.0,1.0,1.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,22150.0,1.04033851623535
