ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENCT10,GOVCT10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,GOVTDO10,NECWORRY,OBAMA4,TEAPARTY,TIMESEN10,UNFAIRCT10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRBLUM,UNFAIRMCMA,WHNCLINC,XTEAPARTYID,BLUMHONEST,MCMAWREST,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
866736.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.02888941764832,Linda McMahon,Tom Foley,Male,White,60-64,Republican,Conservative,"$100,000-$199,999",Postgraduate study,No,No,Government is doing too many things better left to businesses and individuals,Very worried,Strongly disapprove,Strongly support,Before that,Neither of them,McCain,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Do not have children,Support,Before that,In the last month or earlier,Richard Blumenthal did not,Linda McMahon did not,No,Tea Party supporters,No,More likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
866803.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.01484215259552,Richard Blumenthal,Dan Malloy,Male,White,60-64,Democrat,Moderate,"$200,000 or more",Postgraduate study,No,No,Government should do more to solve problems,Not too worried,Strongly approve,Strongly oppose,Before that,Only Linda McMahon,Obama,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,Not worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Do not have children,Oppose,Before that,In the last month or earlier,Richard Blumenthal did not,Linda McMahon did,No,Non-Tea Party supporters and Democrats,Yes,Less likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
866885.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.02888941764832,Linda McMahon,Tom Foley,Male,White,65 or over,Republican,Conservative,"$100,000-$199,999",College graduate,No,No,Government is doing too many things better left to businesses and individuals,Very worried,Strongly disapprove,Somewhat support,Before that,Both of them,McCain,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Do not have children,Support,Before that,In the last month or earlier,Richard Blumenthal did,Linda McMahon did,No,Tea Party supporters,No,More likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
866990.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.02019190788269,Richard Blumenthal,Dan Malloy,Male,White,30-39,Independent,Moderate,"$100,000-$199,999",Postgraduate study,No,Yes,Government should do more to solve problems,Not too worried,Somewhat approve,Neutral,In the last month,Both of them,Obama,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Dads - Men with children,Not worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Non-Tea Party supporters and Dads,Neutral,In the last month,In the last month or earlier,Richard Blumenthal did,Linda McMahon did,No,Non-Tea Party supporters and Independents/Something else,Yes,Less likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867106.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.01484215259552,Richard Blumenthal,Dan Malloy,Male,White,65 or over,Democrat,Moderate,,College graduate,No,No,Government is doing too many things better left to businesses and individuals,Somewhat worried,Somewhat approve,Neutral,In the last week,Both of them,Obama,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,Men without children,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Do not have children,Neutral,In the last month,In the last week,Richard Blumenthal did,Linda McMahon did,,Non-Tea Party supporters and Democrats,Yes,Less likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867256.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.03669655323029,Richard Blumenthal,Dan Malloy,Female,White,30-39,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,No,Government should do more to solve problems,Somewhat worried,Somewhat approve,Strongly oppose,In the last month,Both of them,Obama,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Women without children,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Do not have children,Oppose,In the last month,In the last month or earlier,Richard Blumenthal did,Linda McMahon did,No,Non-Tea Party supporters and Democrats,Omit,Did not affect your vote,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867363.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.03431332111359,Linda McMahon,Tom Foley,Male,White,30-39,Independent,Moderate,,College graduate,No,No,Government is doing too many things better left to businesses and individuals,Very worried,Strongly disapprove,Somewhat support,In the last three days,Both of them,Other,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Men without children,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Do not have children,Support,In the last month,In the last week,Richard Blumenthal did,Linda McMahon did,,Tea Party supporters,No,Less likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867501.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.03431332111359,Linda McMahon,Tom Foley,Male,White,50-59,Independent,Moderate,"$200,000 or more",Postgraduate study,No,Yes,Government should do more to solve problems,Somewhat worried,Somewhat approve,Somewhat oppose,Before that,Neither of them,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Dads - Men with children,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Non-Tea Party supporters and Dads,Oppose,Before that,In the last month or earlier,Richard Blumenthal did not,Linda McMahon did not,No,Non-Tea Party supporters and Independents/Something else,Yes,More likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867631.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,0.962212204933167,Richard Blumenthal,Did not vote,Male,White,50-59,Independent,Conservative,"Under $30,000",Some college/assoc. degree,No,No,Omit,Very worried,Somewhat disapprove,Neutral,Before that,Both of them,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Men without children,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Do not have children,Neutral,Before that,In the last month or earlier,Richard Blumenthal did,Linda McMahon did,Yes,Non-Tea Party supporters and Independents/Something else,Yes,Less likely to vote for her,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
867745.0,Connecticut,26.0,Call 1,Complete,Election day exit poll,1.04553472995758,Linda McMahon,Tom Foley,Female,White,65 or over,Republican,Conservative,"$75,000-$99,999",College graduate,No,No,Government should do more to solve problems,Somewhat worried,Strongly disapprove,Neutral,Before that,Neither of them,McCain,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Do not have children,Neutral,Before that,In the last month or earlier,Richard Blumenthal did not,Linda McMahon did not,No,Non-Tea Party supporters and Republicans,No,Did not affect your vote,State questionnaire,Suburbs,Suburbs,4.0,1.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale
