ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENIA10,GOVIA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,TEAPARTY,TRACK,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,CELLPHONE,LANDPHONE,RCAUC2012,SAMESEXM,CELLULAR,REP2012C,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
878037.0, Iowa,1.0,Call 1,Not complete,Election day exit poll,0.99892520904541,Roxanne Conlin,Chet Culver,Male,White,50-59,,,,High school graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
916882.0, Iowa,59.0,Call 3,Not complete,Election day exit poll,0.949587285518646,Roxanne Conlin,Chet Culver,Male,White,30-39,,,,Some college/assoc. degree,No,,Yes,,,,,,,,Government should do more to solve problems,,,,,,,Generally going in the right direction,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,Dads - Men with children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale
877961.0, Iowa,55.0,Call 1,Not complete,Election day exit poll,0.581616580486298,Roxanne Conlin,Chet Culver,Male,Black,30-39,,,,Some college/assoc. degree,No,,Yes,,,,,,,,Government should do more to solve problems,,,,,,,Generally going in the right direction,,,Black male,Black men,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,,Dads - Men with children,,,,,,,,,Black,,,,,,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale
916620.0, Iowa,35.0,Call 3,Not complete,Election day exit poll,0.824641585350037,Roxanne Conlin,Chet Culver,Male,White,30-39,,,,,No,,,,,,,,,,,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 2,Suburb,Urban,Urban Core,Downscale
896887.0, Iowa,59.0,Call 2,Not complete,Election day exit poll,0.872306108474731,Roxanne Conlin,Chet Culver,Female,White,45-49,,,,High school graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Generally going in the right direction,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale
879018.0, Iowa,21.0,Call 1,Not complete,Election day exit poll,0.856952428817749,Roxanne Conlin,Chet Culver,Male,White,40-44,,,,,No,,Yes,,,,,,,,,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,,,,,,,,,Dads - Men with children,,,,,,,,,White,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,4.0,3.0,Midwest,Version 4,Suburb,80s Suburbs,Urban Perimeter,Very upscale
897792.0, Iowa,70.0,Call 2,Not complete,Election day exit poll,1.17494297027588,Roxanne Conlin,Chet Culver,Female,White,50-59,,,,College graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Omit,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale
896909.0, Iowa,42.0,Call 2,Not complete,Election day exit poll,0.851929247379303,Roxanne Conlin,Chet Culver,Male,White,65 or over,,,,High school graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Generally going in the right direction,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,3.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Upscale
899911.0, Iowa,96.0,Call 2,Not complete,Election day exit poll,0.482467800378799,Chuck Grassley,,Female,White,65 or over,,,,No high school diploma,,,No,,,,,,,,Omit,,,,,,,Seriously off on the wrong track,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,4.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
918008.0, Iowa,23.0,Call 3,Not complete,Election day exit poll,1.38429939746857,Chuck Grassley,Chet Culver,Male,White,18-24,,,,Some college/assoc. degree,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Generally going in the right direction,,,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,3.0,Midwest,Version 1,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
916546.0, Iowa,26.0,Call 3,Not complete,Election day exit poll,0.635745346546173,Chuck Grassley,Chet Culver,Female,White,30-39,,,,High school graduate,No,,Yes,,,,,,,,Government should do more to solve problems,,,,,,,Seriously off on the wrong track,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,Moms - Women with children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
916504.0, Iowa,26.0,Call 3,Not complete,Election day exit poll,0.660746932029724,Chuck Grassley,Chet Culver,Female,Hispanic,60-64,,,,High school graduate,Yes,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
879043.0, Iowa,29.0,Call 1,Not complete,Election day exit poll,0.719285249710083,Chuck Grassley,Chet Culver,Male,White,65 or over,,,,High school graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Seriously off on the wrong track,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale
