ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNH10,GOVNH10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,TEAPARTY,TIMESEN10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WRKWOMEN,XTEAPARTYID,CELLPHONE,LANDPHONE,RPRIM2012,TAXCUTSNH,CELLULAR,REP2012P,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
875970.0,New Hampshire,25.0,Call 1,Not complete,Election day exit poll,0.86627596616745,,John Lynch,Female,White,65 or over,,,,High school graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Continue them for all Americans,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
876282.0,New Hampshire,47.0,Call 1,Not complete,Election day exit poll,0.7222039103508,,John Stephen,Male,White,40-44,,,,High school graduate,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Omit,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,2.0,3.0,East,Version 1,Suburb,Rural,Rural,Downscale,3431.0
865302.0,New Hampshire,50001.0,,Complete,Telephone survey,0.0,,John Stephen,Male,Other,45-49,,,,Postgraduate study,No,,,,,,,,,,,,,,,,,,,Non black male,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,American Indian,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 2,High Density Urban,Urban,Urban Core,Upscale,3104.0
908688.0,New Hampshire,40.0,Call 3,Not complete,Election day exit poll,1.08580362796783,Paul Hodes,John Lynch,Female,White,60-64,,,,Some college/assoc. degree,No,,,,,,About the same,,,,,,,,,,Before that,,Yes,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,Working women,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,3842.0
903604.0,New Hampshire,62.0,Call 3,Not complete,Election day exit poll,0.893428802490234,Paul Hodes,John Lynch,Male,White,45-49,,,,Some college/assoc. degree,No,,,,,,Better,,,,,,,,,,Before that,,Yes,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,All others,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 2,High Density Urban,Urban,Urban Core,Very downscale,3103.0
893732.0,New Hampshire,22.0,Call 2,Not complete,Election day exit poll,1.84557604789734,Paul Hodes,John Lynch,Female,White,18-24,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3038.0
893731.0,New Hampshire,22.0,Call 2,Not complete,Election day exit poll,1.84557604789734,Paul Hodes,John Lynch,Female,White,18-24,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3038.0
878936.0,New Hampshire,77.0,Call 1,Not complete,Election day exit poll,0.610132455825806,Paul Hodes,John Lynch,Female,White,50-59,,,,College graduate,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,2.0,East,Version 1,Suburb,Urban,Urban Core,Very upscale,3062.0
878342.0,New Hampshire,61.0,Call 1,Not complete,Election day exit poll,0.67596697807312,Paul Hodes,John Lynch,Female,Black,30-39,,,,,No,,,,,,,,,,,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 1,Suburb,Urban,Urban Core,Downscale,3109.0
892676.0,New Hampshire,77.0,Call 2,Not complete,Election day exit poll,0.610132455825806,Paul Hodes,John Lynch,Female,White,40-44,,,,High school graduate,No,,,,,,Worse,,,,,,,,,,In the last three days,,Yes,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last week,,Working women,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,2.0,East,Version 2,Suburb,Urban,Urban Core,Very upscale,3062.0
