ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENSC10,GOVSC10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,STIMULUS,TEAPARTY,TEAREASG,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,RPRIM2012,REP2012P,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
903834.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,0.488548964262009,,,Female,Black,50-59,Democrat,,"$30,000-$49,999",High school graduate,No,,,,,,,,About the same,,"Dissatisfied, but not angry",,,Omit,,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,Omit,,,Democrat,Democratic Women,Non White Democrats,,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887018.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",High school graduate,,Yes,Yes,,Favorable,Omit,,,,,,,,,No,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
867262.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,45-49,Democrat,Moderate,"Under $30,000",College graduate,No,Yes,No,,Favorable,Favorable,,,,,,,,,No,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Women without children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
886679.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,30-39,Independent,Moderate,"$30,000-$49,999",High school graduate,No,Yes,Yes,,Favorable,Favorable,,,,,,,,,Yes,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
903151.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,45-49,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,Yes,Yes,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902751.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,50-59,Democrat,Conservative,"Under $30,000",High school graduate,No,Yes,No,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Women without children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902673.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.27415156364441,Alvin Greene,Vincent Sheheen,Male,Black,60-64,Democrat,Conservative,"$30,000-$49,999",No high school diploma,No,Yes,No,,Favorable,Unfavorable,,,,,,,,,No,,,,,,,,Black male,Black men,45-65,60+,45+,60+,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Men without children,,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902590.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,50-59,Democrat,Moderate,"Under $30,000",No high school diploma,No,Yes,No,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Women without children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
886950.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.13121259212494,Alvin Greene,Vincent Sheheen,Male,Black,30-39,Independent,Conservative,"Under $30,000",No high school diploma,No,No,Yes,,Favorable,Unfavorable,,,,,,,,,No,,,,,,,,Black male,Black men,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Dads - Men with children,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
886884.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Conservative,"Under $30,000",Some college/assoc. degree,No,Yes,Yes,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
