ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENWA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,XTEAPARTYID,ABORTION,MURRAYTOOCLOSE,ROSSIINTOUCH,ABORT2,FORECLOSE2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
858438.0,Washington,,,Complete,Telephone survey,1.36000001430511,Patty Murray,Male,White,25-29,Democrat,Liberal,"$30,000-$49,999",College graduate,No,I strongly favor my candidate,Favorable,Unfavorable,About the same,Not at all worried,To express support for Barack Obama,"Satisfied, but not enthusiastic",Government should do more to solve problems,Leave it as is,The economy,Somewhat worried,Strongly approve,Spending to create jobs,Understands the needs of people like me,The Democratic Party,Strongly oppose,No,Obama,Non black male,White men,18-29,18-29,18-44,18-29,25-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Positive,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Legal in most cases,About the right amount,No,Legal,Not worried,State questionnaire,Suburbs,Suburbs,,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
858384.0,Washington,,,Complete,Telephone survey,0.340000003576279,Patty Murray,Male,White,50-59,Independent,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,I dislike the other candidate,Favorable,Unfavorable,Worse,Not very worried,Barack Obama was not a factor,"Satisfied, but not enthusiastic",Government is doing too many things better left to businesses and individuals,Leave it as is,The economy,Somewhat worried,Somewhat approve,Spending to create jobs,Has the right experience,The Democratic Party,Neutral,No,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Positive,The economy,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Neutral,No,Non-Tea Party supporters and Independents/Something else,Legal in all cases,About the right amount,No,Legal,Not worried,State questionnaire,Suburbs,Suburbs,8.0,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
858359.0,Washington,,,Complete,Telephone survey,0.230000004172325,Patty Murray,Female,White,65 or over,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,I strongly favor my candidate,Favorable,Unfavorable,Better,Not at all worried,To express support for Barack Obama,"Satisfied, but not enthusiastic",Omit,Omit,The economy,Somewhat worried,Strongly approve,Reducing the budget deficit,Has the right experience,The Democratic Party,Strongly oppose,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Positive,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,Yes,Non-Tea Party supporters and Independents/Something else,Legal in most cases,Omit,No,Legal,Not worried,State questionnaire,Suburbs,Suburbs,8.0,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
858338.0,Washington,,,Complete,Telephone survey,1.92999994754791,Dino Rossi,Female,White,25-29,Republican,Conservative,"$100,000-$199,999",College graduate,No,I like my candidate but with reservations,Unfavorable,Omit,About the same,Very worried,Barack Obama was not a factor,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,Illegal immigration,Very worried,Somewhat disapprove,Reducing the budget deficit,Understands the needs of people like me,Does not matter to me,Somewhat support,No,McCain,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,Something else,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Support,No,Tea Party supporters,Illegal in most cases,Too often,Yes,Illegal,Worried,State questionnaire,Suburbs,Suburbs,,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
865070.0,Washington,,,Complete,Telephone survey,1.12999999523163,Dino Rossi,Male,White,45-49,Republican,Conservative,"$100,000-$199,999",College graduate,,,,,,,,,Government is doing too many things better left to businesses and individuals,,The economy,Somewhat worried,Somewhat disapprove,,,,Neutral,,McCain,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Neutral,No,Non-Tea Party supporters and Republicans,,,,,,National questionnaire,Suburbs,Suburbs,8.0,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
858466.0,Washington,,,Complete,Telephone survey,2.4300000667572,Dino Rossi,Male,White,30-39,Republican,Moderate,"$100,000-$199,999",Postgraduate study,No,I strongly favor my candidate,Unfavorable,Favorable,About the same,Not at all worried,Barack Obama was not a factor,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Somewhat worried,Somewhat disapprove,Reducing the budget deficit,Understands the needs of people like me,The Republican Party,Omit,No,McCain,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,Omit,No,,Legal in most cases,Too often,Omit,Legal,Not worried,State questionnaire,Suburbs,Suburbs,2.0,2.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
859103.0,Washington,,,Complete,Telephone survey,0.180000007152557,Patty Murray,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",High school graduate,No,I strongly favor my candidate,Favorable,Unfavorable,About the same,Not very worried,Barack Obama was not a factor,"Satisfied, but not enthusiastic",Government should do more to solve problems,Expand it,Health care,Not too worried,Strongly approve,Reducing the budget deficit,Understands the needs of people like me,The Democratic Party,Strongly oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Positive,Something else,Not worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Legal in all cases,About the right amount,No,Legal,Not worried,State questionnaire,Suburbs,Suburbs,2.0,2.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
859102.0,Washington,,,Complete,Telephone survey,1.62999999523163,Patty Murray,Female,White,50-59,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,I strongly favor my candidate,Favorable,Unfavorable,About the same,Not at all worried,Barack Obama was not a factor,"Satisfied, but not enthusiastic",Omit,Expand it,Health care,Somewhat worried,Strongly approve,Spending to create jobs,Understands the needs of people like me,The Democratic Party,Neutral,Yes,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Positive,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Neutral,No,Non-Tea Party supporters and Democrats,Legal in all cases,About the right amount,No,Legal,Not worried,State questionnaire,Suburbs,Suburbs,,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
859070.0,Washington,,,Complete,Telephone survey,1.92999994754791,Dino Rossi,Female,White,25-29,Republican,Conservative,"$30,000-$49,999",College graduate,No,I strongly favor my candidate,Unfavorable,Favorable,About the same,Somewhat worried,Barack Obama was not a factor,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,Illegal immigration,Very worried,Somewhat disapprove,Cutting taxes,Understands the needs of people like me,The Republican Party,Neutral,No,McCain,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Negative,Something else,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Neutral,No,Non-Tea Party supporters and Republicans,Illegal in most cases,Too often,Yes,Illegal,Worried,State questionnaire,Suburbs,Suburbs,,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
858963.0,Washington,,,Complete,Telephone survey,0.0,Other,Male,White,50-59,Republican,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,,Unfavorable,Unfavorable,Better,Not at all worried,Barack Obama was not a factor,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Leave it as is,The economy,Not too worried,Somewhat approve,Cutting taxes,Can bring needed change,Does not matter to me,Neutral,Yes,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,The economy,Not worried,Approve,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,Neutral,No,Non-Tea Party supporters and Republicans,Omit,Omit,No,Omit,Not worried,State questionnaire,Suburbs,Suburbs,8.0,1.0,West,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Very upscale
