ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSAL12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
43851.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Complete,Yes,Call 2,3.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,No,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,102.0,Mitt Romney,White,White,National questionnaire,White,South,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,,,,Version 3,No,White Born-again/Evangelical Christians,Low Density Rural,Rural,Rural,Very downscale,35160.0,1.20930886268616
46796.0,,,,,,,,,,Once a week,Weekly,Complete,Yes,Call 2,1.0,Omit,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,Offered a chance to apply for legal status,,,,,,,,,No,No,,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,81.0,Mitt Romney,White,White,National questionnaire,White,South,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,,White Born-again/Evangelical Christians,Suburb,Urban,Urban Core,Upscale,36618.0,1.07623708248138
46046.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,More than once a week,Weekly,Complete,Yes,Call 2,5.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,71.0,Barack Obama,White,White,National questionnaire,White,South,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,White Born-again/Evangelical Christians,Suburb,Urban,Urban Core,Very upscale,35801.0,0.497107893228531
24656.0,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,More than once a week,Weekly,Complete,Yes,Call 1,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,4.0,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,No,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,81.0,Barack Obama,Black,Black,National questionnaire,Black,South,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Upscale,36618.0,0.885554790496826
26386.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,More than once a week,Weekly,Complete,Yes,Call 1,1.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,No,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,81.0,Barack Obama,Black,Black,National questionnaire,Black,South,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Upscale,36618.0,0.873148262500763
24366.0,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,More than once a week,Weekly,Complete,Yes,Call 1,3.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,2.0,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,No,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,102.0,Barack Obama,Black,Black,National questionnaire,Black,South,Female,Black women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,,,,Version 3,No,All others,Low Density Rural,Rural,Rural,Very downscale,35160.0,0.957529425621033
27159.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,More than once a week,Weekly,Complete,Yes,Call 1,5.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,71.0,Barack Obama,White,White,National questionnaire,White,South,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,White Born-again/Evangelical Christians,Suburb,Urban,Urban Core,Very upscale,35801.0,0.502227365970612
66377.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,More than once a week,Weekly,Complete,Yes,Call 3,7.0,I strongly favor my candidate,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,No,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,108.0,Barack Obama,Black,Black,National questionnaire,Black,South,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Very downscale,35401.0,0.78525048494339
25987.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,More than once a week,Weekly,Complete,Yes,Call 1,5.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,1.0,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,No,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,71.0,Barack Obama,Black,Black,National questionnaire,Black,South,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Very upscale,35801.0,0.792562425136566
44962.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,More than once a week,Weekly,Complete,Yes,Call 2,7.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,No,No,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,108.0,Barack Obama,Black,Black,National questionnaire,Black,South,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Very downscale,35401.0,0.793337404727936
