ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BROWNLIB,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVBROWN2,FAVOBAMA2,FAVROMN2,FAVWARREN2,GEOCODE,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMA12,QRACE3,QRACEAI,QTYPE,QUALSEN12MA,RACE,REGION,SENMA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFAIRMA12,UNFRBROWN,UNFRWARREN,VERSION,WARRENLIB,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
13931.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,9.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,3.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50042.0,Barack Obama,White,White,National questionnaire,,White,East,,Female,White women,,Suburbs,Suburbs,Massachusetts,Telephone survey,,,,,,,Version 4,,Yes,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,2370.0,0.0
13929.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,,2.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,4.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50008.0,Barack Obama,White,White,National questionnaire,,White,East,,Male,White men,,Suburbs,Suburbs,Massachusetts,Telephone survey,,,,,,,Version 4,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1505.0,0.0
13800.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,All others,All others,Complete,,,7.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Liberal,50030.0,Barack Obama,Other,Asian,National questionnaire,,Asian,East,,Female,All other races,Non married women,Suburbs,Suburbs,Massachusetts,Telephone survey,,,,,,,Version 3,,No,Suburb,60s Suburbs,Urban Perimeter,Upscale,2368.0,0.0
13799.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,4.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50015.0,Barack Obama,White,White,National questionnaire,,White,East,,Female,White women,Non married women,Suburbs,Suburbs,Massachusetts,Telephone survey,,,,,,,Version 3,,No,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Downscale,1952.0,0.0
68358.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,100.0,Barack Obama,White,White,National questionnaire,,White,East,Did not vote,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1264.0,1.26672458648682
36404.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 2,5.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,2.0,,,,,,,,,No,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,107.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1778.0,1.04691290855408
64690.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 3,7.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Non married men,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.17369973659515
68728.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 3,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,5.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,96.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,1.01842772960663
64561.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,Call 3,6.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,75.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0,0.799323558807373
20020.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,3.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,4.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,39.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Married men,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1420.0,0.985674321651459
