ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVMT12,GOVTDO10,GUNOWNER12,HANDLEECON12,HOUMT12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMT12,PTYIMPT,PTYIMPT2,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENMT12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
52467.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,1.0,I strongly favor my candidate,,,,,,,,,,,3.0,Steve Bullock,,,,Kim Gillan,,,,,,,,,No,No,,,45+,65+,,,,,,,4.0,Barack Obama,,,,White,White,State questionnaire,White,West,Jon Tester,Female,White women,Non married women,Rural,Small Cities/Rural,Montana,Election day exit poll,,,,Version 2,,Low Density Rural,Rural,Rural,Downscale,59014.0,0.798923492431641
54393.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 2,1.0,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,Steve Bullock,,,,Kim Gillan,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,52.0,Barack Obama,,,,White,White,National questionnaire,White,West,Jon Tester,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Election day exit poll,,,,Version 3,No,High Density Urban,Urban,Urban Core,Downscale,59801.0,0.658852577209473
52720.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,Call 2,1.0,I strongly favor my candidate,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,Steve Bullock,,,,Kim Gillan,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,52.0,Barack Obama,,,,White,White,National questionnaire,White,West,Jon Tester,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Montana,Election day exit poll,,,,Version 3,No,High Density Urban,Urban,Urban Core,Downscale,59801.0,0.644159853458405
78116.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 3,1.0,I strongly favor my candidate,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,Steve Bullock,,,,Kim Gillan,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,Yes,No,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,52.0,Barack Obama,,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,Jon Tester,Male,Latino men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Election day exit poll,,,,Version 3,No,High Density Urban,Urban,Urban Core,Downscale,59801.0,0.696068584918976
78115.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 3,1.0,I strongly favor my candidate,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,Steve Bullock,,,,Kim Gillan,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,Yes,No,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,52.0,Barack Obama,,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,Jon Tester,Male,Latino men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Election day exit poll,,,,Version 3,No,High Density Urban,Urban,Urban Core,Downscale,59801.0,0.696068584918976
53233.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,1.0,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,Steve Bullock,,,,Kim Gillan,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Yes,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,52.0,Barack Obama,,,,White,White,National questionnaire,White,West,Jon Tester,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Election day exit poll,,,,Version 3,No,High Density Urban,Urban,Urban Core,Downscale,59801.0,0.658852577209473
76316.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Not complete,Call 3,1.0,I strongly favor my candidate,,,,,,,,,,,1.0,Steve Bullock,,,,Kim Gillan,,,,,,,,,No,No,,,18-44,18-64,,,,,,,67.0,Barack Obama,,,,Other,Other,State questionnaire,Other,West,Denny Rehberg,Female,All other races,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Montana,Election day exit poll,,,,Version 2,,Low Density Rural,Rural,Rural,Downscale,59701.0,0.389184564352036
11948.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,1.0,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,Rick Hill,,,,Steve Daines,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50000.0,Barack Obama,,,,White,White,National questionnaire,White,West,Jon Tester,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Montana,Telephone survey,,,,Version 3,No,Low Density Rural,Urban,Urban Core,Upscale,59405.0,2.27575755119324
11949.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,3.0,Steve Bullock,,,,Kim Gillan,,,,,,,,,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50002.0,Mitt Romney,,,,White,White,National questionnaire,White,West,Jon Tester,Female,White women,Non married women,Suburbs,Suburbs,Montana,Telephone survey,,,,Version 3,No,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,59044.0,0.96947854757309
33019.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,Call 1,1.0,I strongly favor my candidate,,,,,,,,,,,2.0,Steve Bullock,,,,Steve Daines,,,,,,,,,No,Yes,,,45+,18-64,,,,,,,19.0,Mitt Romney,,,,White,White,State questionnaire,White,West,Denny Rehberg,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Montana,Election day exit poll,,,,Version 2,,Low Density Rural,Rural,Rural,Upscale,59901.0,0.700889647006989
