ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BORNINNC,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOTV12,GOTVOBAMA,GOTVROMN,GOVNC12,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LAIDOFF4,LANDPHONE,LATINO,MARCHILD,MARRIED,MOVETONC,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNC12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,WEIGHT
12719.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,2.0,,,,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,4.0,,,,Walter Dalton,,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,,,,No,,,,,,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,50008.0,Barack Obama,,Black,Black,National questionnaire,Black,South,,,,,Female,Black women,,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 4,,No,,,,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,3.44730067253113
12718.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,2.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,,Walter Dalton,,Mitt Romney,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,,,,No,,,,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50008.0,Mitt Romney,,White,White,National questionnaire,White,South,,,,,Male,White men,,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 4,,No,,,,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,7.75017595291138
7012.0,Illegal,Illegal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,Born in North Carolina,,,2.0,,,,I strongly favor my candidate,Getting worse,Barack Obama,Worse,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,,Pat McCrory,,Mitt Romney,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Mitt Romney,The economy,,,No,,Yes,I was born in North Carolina,Not so good,Not so good or poor,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50008.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,South,,,,,Female,White women,Married women,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 2,,Yes,,,,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,2.82634162902832
13457.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,4.0,Yes,Both regular land-line and cell phone service,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,2.0,,,,Pat McCrory,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Yes,No,All others,Yes,,,,,,The middle class,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50016.0,Barack Obama,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The rich,,Female,White women,Married women,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 5,White Protestants,No,,,,Suburb,,Urban Perimeter,Upscale,1.03246104717255
7322.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,All others,Complete,,,,2.0,Yes,Both regular land-line and cell phone service,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,"No, I was not contacted",For Romney or neither,For Obama or neither,Pat McCrory,,,Omit,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Yes,No,,Yes,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Omit,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50008.0,,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,Omit,No,Female,White women,Married women,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 3,White Protestants,No,All others,,,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,0.876923799514771
7320.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,All others,Complete,,No,,2.0,No,Only regular land-line phone service,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,"No, I was not contacted",For Romney or neither,For Obama or neither,Pat McCrory,,,Omit,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,Yes,Yes,No,,Yes,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The poor,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50008.0,Mitt Romney,,White,White,State questionnaire,White,South,None,None,The rich,Omit,Male,White men,Married men,Suburbs,Suburbs, North Carolina,Telephone survey,,,,Version 3,White none,No,All others,No,All others,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,2.5466845035553
6733.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,4.0,,,No,,,,,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,2.0,,,,Walter Dalton,Government should do more to solve problems,,,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,The economy,,,No,All others,Yes,,,,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50016.0,Barack Obama,Shares my values,White,White,State questionnaire,White,South,,,,,Female,White women,Married women,Suburbs,Suburbs, North Carolina,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,No,,,,Suburb,,Urban Perimeter,Upscale,0.515527307987213
62206.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Not complete,,,Call 3,6.0,,,,,,,,,,,,,,,,4.0,,,,Pat McCrory,,,,,,,,,,,,,,,,Yes,,No,,,,,,,45+,18-64,,,,,,,,13.0,Barack Obama,,Other,Black,National questionnaire,Hispanic/Latino,South,,,,,Female,Latino women,Non married women,Rural,Small Cities/Rural, North Carolina,Election day exit poll,,,,Version 1,,,,,,Low Density Rural,Rural,Rural,Very downscale,0.275664508342743
63810.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,,,Call 3,6.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,,,,4.0,,,,Pat McCrory,,,,,,,,,,,,,,,Yes,No,,Yes,,,,,,,18-44,18-64,,,,,,,,13.0,Mitt Romney,,White,White,National questionnaire,White,South,,,,,Male,White men,Married men,Rural,Small Cities/Rural, North Carolina,Election day exit poll,,,,Version 5,,,,,,Low Density Rural,Rural,Rural,Very downscale,0.488095819950104
38223.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,Call 2,3.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,,Pat McCrory,,Mitt Romney,Mitt Romney,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Omit,,,,No,,,,,,,,,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,12.0,Mitt Romney,,White,White,National questionnaire,White,South,,,,,Male,White men,,Rural,Small Cities/Rural, North Carolina,Election day exit poll,,,,Version 4,,No,,,,Low Density Rural,Rural,Rural,Downscale,0.794686377048492
12740.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,,7.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,,Pat McCrory,,Mitt Romney,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Omit,,,,No,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50030.0,Mitt Romney,,White,White,National questionnaire,White,South,,,,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural, North Carolina,Telephone survey,,,,Version 4,,No,,,,Low Density Rural,Rural,Rural,Upscale,1.95847535133362
