ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,FLRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,CUBAN3,ABORTION,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,GINGCONSRV,ROMNCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATROMN,SATSANT,TEAPARTY,TIMESC12,UNDERREP12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,CANDSOK,FORECLOSE12,GINGPERSON,GETAHEAD,IMMPRIME,RECDEBATES12R,ROMNPERSON,UNFAIRREP12FL,QRACE3,RACE,RECDEBFACT,RECDEBIMP,SPANISHQ,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
103436.0,Florida,50000.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Mitt Romney,Male,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",High school or less,No,,,,Yes,,,The economy,,,,,,,Strongly support,Earlier this month,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,No,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Deported to the country they came from,,Generally favorable,Paul,White,White,,,English,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale
103437.0,Florida,50056.0,Telephone Survey,Complete,Telephone survey,1.48364722728729,Mitt Romney,Female,White,65 or over,65 or over,Moderate,Independent,"$50,000-$99,999",College graduate,No,,,,No,,,The economy,,,,,,,Neutral,Earlier this month,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,,Neutral,Neither,Earlier than that,In the last month,No,All others,,,,,,Generally unfavorable,,Allowed to stay as temporary workers,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
103438.0,Florida,50030.0,Telephone Survey,Complete,Telephone survey,1.84068238735199,Newt Gingrich,Female,White,50-59,50-59,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,No,,,,No,,,The economy,,,,,,,Somewhat support,Earlier this month,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,,Support,Tea Party supporter and not born-again,Earlier than that,In the last month,No,All others,,,,,,Generally favorable,,Deported to the country they came from,,Generally favorable,Romney,White,White,,,English,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,,High-Growth Suburban Perimeter,Upscale
103439.0,Florida,50089.0,Telephone Survey,Complete,Telephone survey,2.63461327552795,Mitt Romney,Male,Hispanic/Latino,45-49,45-49,Moderate,Republican,"$30,000-$49,999",High school or less,"Yes, other Hispanic",,,,No,,,The economy,,,,,,,Somewhat support,Earlier this month,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,Support,Tea Party supporter and not born-again,Earlier than that,In the last month,No,All others,,,,,,Generally favorable,,Offered a chance to apply for citizenship,,Generally favorable,Omit,Other,Hispanic/Latino,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,Extremely High Density Urban,Urban,Urban Core,Downscale
103440.0,Florida,50109.0,Telephone Survey,Complete,Telephone survey,1.88593304157257,Mitt Romney,Male,White,45-49,45-49,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,No,,,,No,,,The economy,,,,,,,Strongly support,Before that,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,No,All others,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,High Density Urban,Urban,Urban Core,Upscale
103441.0,Florida,50047.0,Telephone Survey,Complete,Telephone survey,0.741823613643646,Mitt Romney,Female,White,60-64,60-64,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,No,,,Federal budget deficit,,,,,,,Somewhat support,Earlier this month,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Support,Tea Party supporter and not born-again,Earlier than that,In the last month,No,All others,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Omit,White,White,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Suburb,Urban,Urban Core,Downscale
103442.0,Florida,50094.0,Telephone Survey,Complete,Telephone survey,0.370911806821823,Mitt Romney,Female,White,60-64,60-64,Somewhat conservative,Independent,"$50,000-$99,999",High school or less,No,,,,No,,,The economy,,,,,,,Neutral,Earlier this month,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,,Neutral,Neither,Earlier than that,In the last month,No,All others,,,,,,Omit,,Omit,,Omit,Omit,White,White,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale
103443.0,Florida,50000.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Newt Gingrich,Male,White,60-64,60-64,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,No,,,,Yes,,,The economy,,,,,,,Strongly support,Earlier this month,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,No,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Offered a chance to apply for citizenship,,Generally favorable,Romney,White,White,,,English,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Town,70s Suburbs,Urban Perimeter,Very upscale
103444.0,Florida,50116.0,Telephone Survey,Complete,Telephone survey,0.976453959941864,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,Yes,,,Federal budget deficit,,,,,,,Strongly support,Earlier this month,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,No,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Santorum,White,White,,,English,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
103445.0,Florida,50036.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,No,,,,No,,,Illegal immigration,,,,,,,Neutral,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,Neutral,Neither,Earlier than that,Earlier than that,No,All others,,,,,,Generally favorable,,Omit,,Generally favorable,Romney,White,White,,,English,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale
