ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MIRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,LATINO,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEAZ12,VOTENOV12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,AUTOREP12,CAMPREP12,LAIDOFF3,UNION4,RACE,UNIONHH,UNIONMEM,UNIONVOT,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
148930.0, Michigan,50032.0,Telephone Survey,Complete,Telephone survey,0.306890070438385,Newt Gingrich,Male,White,60-64,60-64,Moderate,Republican,,Postgraduate study,No,Illegal in most cases,Santorum,Working in government,,Yes,I like my candidate but with reservations,,No,,Protestant,A great deal,Neutral,,,No,Non married men,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,"Yes, I do",White,Yes,I am,Yes,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,Midwest,Version 2,Suburb,Rural,Rural,Very downscale,49202.0
148927.0, Michigan,50046.0,Telephone Survey,Complete,Telephone survey,1.11595380306244,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Independent,"$50,000-$99,999",College graduate,No,Legal in most cases,Gingrich,Working in business,,Yes,I strongly favor my candidate,,Yes,,Catholic,Not at all,Strongly support,,,No,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,48042.0
148908.0, Michigan,50050.0,Telephone Survey,Complete,Telephone survey,1.25602972507477,Newt Gingrich,Male,White,30-39,30-39,Moderate,Republican,"$200,000 or more",College graduate,No,Legal in all cases,Gingrich,Working in business,,No,I like my candidate but with reservations,,Yes,,Catholic,Not at all,Neutral,,,Yes,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,Catholic,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,All others,,Approve,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,48187.0
148903.0, Michigan,50022.0,Telephone Survey,Complete,Telephone survey,0.0848095491528511,Newt Gingrich,Male,,,,,,,,,Legal in most cases,Gingrich,Working in government,,,I like my candidate but with reservations,,No,,,Somewhat,Neutral,,,Yes,Non married men,,,,,,,,,,,,,,,,,,,,,,Legal,,,,,A great deal or somewhat,Neutral,,,,,,,,All others,,Omit,,,No one does,,No,No,No,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Downscale,48507.0
148902.0, Michigan,50032.0,Telephone Survey,Complete,Telephone survey,0.322894364595413,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Independent,"Under $30,000",High school or less,No,Illegal in most cases,Romney,Working in government,,Yes,I strongly favor my candidate,,No,,Protestant,A great deal,Somewhat support,,,No,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,Midwest,Version 2,Suburb,Rural,Rural,Downscale,49221.0
148900.0, Michigan,50036.0,Telephone Survey,Complete,Telephone survey,0.481773227453232,Newt Gingrich,Male,,,,Very conservative,Independent,"$100,000-$199,999",College graduate,,Omit,Gingrich,Working in business,,No,I strongly favor my candidate,,No,,Catholic,Not much,Strongly support,,,Yes,Non married men,,,,,,,,,,,,,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,,All others,,Approve,,,No one does,,No,No,No,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,48370.0
148893.0, Michigan,50032.0,Telephone Survey,Complete,Telephone survey,1.10284614562988,Newt Gingrich,Female,Black,60-64,60-64,Moderate,Republican,,High school or less,No,Illegal in most cases,Gingrich,Working in government,,Yes,I strongly favor my candidate,,No,,Other christian,Not much,Neutral,,,No,Non married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,,All others,No,All others,All others,,Approve,,,"Yes, someone else does",Black,Yes,Someone else in household is,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,48990.0
148884.0, Michigan,50041.0,Telephone Survey,Complete,Telephone survey,1.63124012947083,Newt Gingrich,Female,White,65 or over,65 or over,Moderate,Independent,,Postgraduate study,No,Legal in most cases,Romney,Working in government,,No,I dislike the other candidates,,Yes,,None,Not at all,Neutral,,,No,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,Legal,Not born again,,,None,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,All others,,Approve,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,48073.0
148878.0, Michigan,50037.0,Telephone Survey,Complete,Telephone survey,2.00718927383423,Newt Gingrich,Female,Black,30-39,30-39,Moderate,Republican,"$30,000-$49,999",High school or less,No,Legal in most cases,Gingrich,Working in government,,Yes,I dislike the other candidates,,No,,Other christian,Somewhat,Neutral,,,Yes,Non married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,All others,No,All others,Working women,,Disapprove,,,No one does,Black,No,No,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48843.0
148874.0, Michigan,50004.0,Telephone Survey,Complete,Telephone survey,1.35143411159515,Newt Gingrich,Female,White,45-49,45-49,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,No,Omit,Gingrich,Working in business,,,I strongly favor my candidate,,Yes,,Catholic,Omit,Omit,,,Yes,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Omit,,,,Catholic,Omit,Omit,,,,Yes,,No,,Working women,,Disapprove,,,"Yes, I do and someone else does",White,Yes,I am,Yes,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,49707.0
