ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,WIRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEMD12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,CHILD,GOVTPRO,HEALTHCARE12R,RECOVER,WALKERAPP,WINNOM12,ATTEND2,ATTREL,PARENTS,WALKERAPP2,WORKPARENT,WORKSEX,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
307685.0,Wisconsin,108.0,Call 1,Complete,Election day exit poll,0.963719189167023,Did not vote,Female,White,65 or over,65 or over,Moderate,Democrat,,High school or less,,Yes,I strongly favor my candidate,Omit,Omit,,,,Catholic,,,A great deal,Somewhat oppose,,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Born again/Think religious values of candidate matter a great deal,,,Catholic,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,,White Born-again/Evangelical Christians,No,All others,All others,,Once a week,No,Omit,,Starting to recover,Strongly disapprove,,Weekly,Catholic/Attend weekly,Women without children,Disapprove,"Women, no kids",Non-working women,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale
307684.0,Wisconsin,108.0,Call 1,Complete,Election day exit poll,0.963719189167023,Did not vote,Female,White,65 or over,65 or over,Moderate,Democrat,,High school or less,,Yes,I strongly favor my candidate,Omit,Omit,,,,Catholic,,,A great deal,Somewhat oppose,,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Born again/Think religious values of candidate matter a great deal,,,Catholic,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,,White Born-again/Evangelical Christians,No,All others,All others,,Once a week,No,Omit,,Starting to recover,Strongly disapprove,,Weekly,Catholic/Attend weekly,Women without children,Disapprove,"Women, no kids",Non-working women,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale
310805.0,Wisconsin,6.0,Call 3,Complete,Election day exit poll,0.596235036849976,Did not vote,Male,White,50-59,50-59,Somewhat liberal,Democrat,"$100,000-$199,999",College graduate,Not a factor at all,Yes,,,,The economy,Yes,Omit,,Dissatisfied,Dissatisfied,,Strongly oppose,Before that,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not a factor,Not important,,,Oppose,Born-again but not Tea Party supporter,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Omit,,,,Omit,,,Romney,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,Midwest,Version 1,Suburb,Urban,Urban Core,Very upscale
310737.0,Wisconsin,94.0,Call 3,Complete,Election day exit poll,1.27388119697571,Did not vote,Female,White,60-64,60-64,Moderate,Democrat,"$30,000-$49,999",High school or less,,Yes,Omit,About right,About right,,,,Catholic,,,Not much,Neutral,,Yes,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,Working women,,A few times a month,No,Government should do more to promote traditional values,,Starting to recover,Strongly disapprove,,Occasionally,Catholic/Do not attend weekly,Women without children,Disapprove,"Women, no kids",Working women,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
310639.0,Wisconsin,50.0,Call 3,Complete,Election day exit poll,0.391612470149994,Did not vote,Female,Black,50-59,50-59,Moderate,Democrat,"$50,000-$99,999",Some college/assoc. degree,The most important factor,Yes,,,,The economy,Yes,Has the right experience,,Dissatisfied,Dissatisfied,,Omit,Before that,,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,A factor,Important,,,Omit,,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,,,Omit,,,Omit,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,Suburb,Urban,Urban Core,Very upscale
310636.0,Wisconsin,51.0,Call 3,Complete,Election day exit poll,0.624457538127899,Did not vote,Female,White,50-59,50-59,Somewhat liberal,Democrat,"$50,000-$99,999",College graduate,Not a factor at all,No,,,,The economy,Yes,Has strong moral character,,Omit,Dissatisfied,,Somewhat oppose,Before that,,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Has strong moral character,,,,Romney,,,Romney,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,High Density Urban,60s Suburbs,Urban Perimeter,Downscale
310628.0,Wisconsin,50.0,Call 3,Complete,Election day exit poll,0.697923123836517,Did not vote,Female,White,45-49,45-49,Somewhat liberal,Democrat,"$50,000-$99,999",Postgraduate study,,No,Omit,Too conservative,Too conservative,,,,Catholic,,,Not at all,Strongly oppose,,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,Catholic,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,Working women,,Once a week,No,Government should not favor one set of values over another,,Starting to recover,Strongly disapprove,,Weekly,Catholic/Attend weekly,Women without children,Disapprove,"Women, no kids",Working women,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very upscale
310626.0,Wisconsin,95.0,Call 3,Complete,Election day exit poll,1.18550884723663,Did not vote,Male,White,50-59,50-59,Moderate,Independent,"$30,000-$49,999",High school or less,A minor factor,No,,,,Federal budget deficit,Yes,Has the right experience,,Satisfied,Dissatisfied,,Strongly oppose,Before that,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,A factor,Not important,,,Oppose,Neither,Earlier than that,Before January 1st,Yes,All others,,,,Has the right experience,,,,Omit,,,Romney,,,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
310616.0,Wisconsin,51.0,Call 3,Complete,Election day exit poll,0.624457538127899,Did not vote,Female,White,40-44,40-44,Moderate,Democrat,,Postgraduate study,One of several important factors,No,,,,The economy,Yes,Omit,,Omit,Omit,,Omit,Omit,,Married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,,A factor,Important,,,Omit,,Omit,Omit,No,All others,,,,Omit,,,,Omit,,,Romney,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,High Density Urban,60s Suburbs,Urban Perimeter,Downscale
310615.0,Wisconsin,50.0,Call 3,Complete,Election day exit poll,0.391612470149994,Did not vote,Female,Black,50-59,50-59,Very liberal,Democrat,"Under $30,000",College graduate,Not a factor at all,No,,,,The economy,No,Omit,,Dissatisfied,Dissatisfied,,Strongly oppose,Earlier this year,,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,,Omit,,,,Omit,,,Omit,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,Suburb,Urban,Urban Core,Very upscale
