ID,SENAK14,GOVAK14,MEAS2AK14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEGICHTOOCLOSE,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAK,QTYPE,RACE,RACEAI,RACEAK,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SULLIVANCARPET,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRAK14,UNFAIRBEGICH,UNFAIRSULLIVAN,VERSION,VETVOTER,WHNCLINC,ZIPCODE,WEIGHT
64.0,Mark Begich,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Not often enough,,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,,,,,,,,Omit,,No,,Not worried,Not too worried,Approve,Strongly approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,,White,White,State questionnaire,White,White,White,,,West,,Female,White women,,Rural,Small Cities/Rural,Alaska,Omit,Telephone survey,,,,,Generally going in the right direction,Omit,Omit,Omit,Version 1,No,No,99669.0,3.1250479221344
85048.0,Mark Begich,Sean Parnell,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,1.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,To express opposition to Barack Obama,1.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,37.0,Liberal Democrats,Liberal Democrats,Not too important,Not important,White,White,State questionnaire,White,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",West,No,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,In the last month,Before that,In the last month,,,,,Version 2,,No,99516.0,0.677729368209839
68918.0,Dan Sullivan,Sean Parnell,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,Call 1,1.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,To express opposition to Barack Obama,1.0,,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,Yes,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,,,,,,,Moderate,37.0,,,Somewhat important,Important,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,Hispanic/Latino,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",West,No,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,In the last month,Before that,In the last month,,,,,Version 2,,No,99516.0,0.808964371681213
85535.0,Dan Sullivan,Sean Parnell,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 2,1.0,No high school diploma,No college degree,High school graduate or less,White no college degree,,,To express opposition to Barack Obama,1.0,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Foreign policy,No,No,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,30.0,Independent/Something else,Conservative Republicans,Very important,Important,White,White,State questionnaire,White,White,White,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",West,Yes,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,Before that,Before that,Before that,,,,,Version 2,,Yes,99515.0,0.558024764060974
229.0,Dan Sullivan,Sean Parnell,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,Barack Obama was not a factor,1.0,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Not at all important,Not important,White,White,State questionnaire,White,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",West,Omit,Male,White men,Non married men,Suburbs,Suburbs,Alaska,,Telephone survey,Before that,Before that,Before that,Before that,,,,,Version 2,,No,99654.0,1.57300567626953
185.0,Dan Sullivan,Sean Parnell,,45-65,30-59,50-59,45+,45-59,50-64,,,,Complete,,,1.0,,,,,,,Barack Obama was not a factor,1.0,,Omit,,,,,,,,,The economy,,Yes,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,,,Independent,Independent Men,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,,,State questionnaire,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",West,Omit,Male,,Married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Telephone survey,Before that,Before that,Before that,Before that,,,,,Version 2,,,99504.0,0.390828996896744
75.0,Dan Sullivan,Sean Parnell,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Too often,,1.0,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,,1.0,Government should do more to solve problems,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,,No,,Not worried,Not too worried,Disapprove,Strongly disapprove,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,White,,,West,,Female,White women,,Rural,Small Cities/Rural,Alaska,Yes,Telephone survey,,,,,Seriously off on the wrong track,Omit,Omit,Omit,Version 1,No,Yes,99615.0,0.363027155399323
72028.0,,Bill Walker,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Omit,Call 1,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,Omit,Omit,,1.0,Omit,,,,,,,,,Omit,,No,,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,30.0,Conservative Republicans,Mod./Liberal Republicans,,,White,White,State questionnaire,White,White,White,,,West,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Alaska,Omit,Election day exit poll,,,,,Generally going in the right direction,Both of them,Mark Begich did,Dan Sullivan did,Version 1,No,No,99515.0,0.511290788650513
204.0,,Bill Walker,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,To express support for Barack Obama,1.0,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,Omit,No,Yes,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,White,White,State questionnaire,White,White,White,Angry,"Dissatisfied, but not angry or angry",West,Omit,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Telephone survey,Before that,Before that,Before that,Before that,,,,,Version 2,,No,99502.0,0.527586877346039
160.0,,Bill Walker,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,Barack Obama was not a factor,1.0,,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,The economy,No,Yes,,,,,Omit,Omit,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Not too important,Not important,White,White,State questionnaire,White,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",West,Omit,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Telephone survey,Omit,Omit,Omit,Omit,,,,,Version 2,,No,99504.0,1.36268079280853
