ID,SENCO14,GOVCO14,AMD67CO14,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BORNINCO14,BRNAGAIN,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,MOVETOCO14,MOVETOCO10YR,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
9139.0,Mark Udall,John Hickenlooper,No,,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,No,,3.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 5,0.755322635173798,No,All others,81005.0
9120.0,Mark Udall,John Hickenlooper,Did not vote,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,No,,7.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,,Female,White women,,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 5,0.226363658905029,No,All others,80127.0
9082.0,Cory Gardner,Bob Beauprez,Yes,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,4.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,1.0,Government is doing too many things better left to businesses and individuals,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,No,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,Generally going in the right direction,Version 4,0.632828116416931,No,,80634.0
9063.0,Mark Udall,John Hickenlooper,,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,2.0,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,3.0,Omit,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,Yes,Female,White women,,Suburbs,Suburbs,English,Colorado,Telephone survey,Omit,Version 4,0.219398677349091,No,,80023.0
11533.0,Mark Udall,John Hickenlooper,Yes,Legal,Legal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,No,,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,5.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,No,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,Rural,Small Cities/Rural,English,Colorado,Telephone survey,,Version 3,1.15267360210419,No,All others,81657.0
11532.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Yes,,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,5.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,1.92176342010498,No,White Born-again/Evangelical Christians,81521.0
11531.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in most cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Yes,,3.0,College graduate,College graduate,More than High school graduate,White college degree,,,,5.0,,,,,,,,,,,,,No,Yes,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,7.32823991775513,No,White Born-again/Evangelical Christians,81507.0
11530.0,Mark Udall,John Hickenlooper,No,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,No,,3.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,5.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.0927645042538643,No,All others,81507.0
11529.0,Cory Gardner,Bob Beauprez,No,Legal,Legal in most cases,30-44,30-59,30-39,18-44,30-44,30-39,,,,Complete,,No,,3.0,Postgraduate study,College graduate,More than High school graduate,,,,,5.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999",,,,No,Yes,,,,,,,,,18-44,18-64,Independent/Something else,,,Independent,Independent Men,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,,,National questionnaire,,,,,West,,Male,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,1.86833095550537,,All others,81504.0
11528.0,Cory Gardner,Bob Beauprez,No,Omit,Omit,65+,60+,65 or over,45+,60+,65+,,,,Complete,,No,,3.0,College graduate,College graduate,More than High school graduate,,,,,5.0,,,,,,,,,,,,,,Yes,,,,,,,,,45+,65+,Republican,,,Republican,Republican Men,,Conservative,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,,,,,West,,Male,,Married men,Rural,Small Cities/Rural,,Colorado,Telephone survey,,Version 3,0.425539076328278,,All others,81401.0
