ID,GOVIL14,SENIL14,QUES2IL14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHIL14,ETHQUINN,ETHRAUNER,FAVDEM2,FAVREP2,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TRACK,UNIONHH12,VERSION,WEIGHT,WHNCLINC
9903.0,,Dick Durbin,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,17.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,4.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,,Not worried,Not too worried,Approve,Somewhat approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Midwest,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,Telephone survey,,,Version 1,0.0,Yes
9907.0,,Dick Durbin,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,3.0,,,,,,,,,,No,,Worried,Somewhat worried,Approve,Strongly approve,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Midwest,,Male,White men,,Suburbs,Suburbs,English, Illinois,Telephone survey,,,Version 1,0.0,
9904.0,,Dick Durbin,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,6.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",No,,Worried,Very worried,Approve,Somewhat approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Midwest,,Male,White men,,Suburbs,Suburbs,English, Illinois,Telephone survey,,,Version 1,0.0,No
9901.0,,Dick Durbin,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,17.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,4.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,,Worried,Very worried,Approve,Somewhat approve,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,Midwest,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,English, Illinois,Telephone survey,,,Version 1,0.0,Yes
11483.0,,Dick Durbin,,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,7.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,1.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,Yes,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,Midwest,,Male,Black men,Married men,Suburbs,Suburbs,English, Illinois,Telephone survey,,,Version 2,0.0,No
11482.0,,Dick Durbin,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,8.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,3.0,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,Yes,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,Midwest,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,Telephone survey,,,Version 2,0.0,No
11478.0,,Dick Durbin,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,12.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,5.0,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,English, Illinois,Telephone survey,,,Version 2,0.0,No
9099.0,,Dick Durbin,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,5.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,1.0,,,,,,,,,,No,No,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Midwest,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English, Illinois,Telephone survey,,No,Version 3,0.0,No
9098.0,,Dick Durbin,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,18.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,5.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",No,Yes,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Midwest,,Male,White men,Married men,Rural,Small Cities/Rural,English, Illinois,Telephone survey,,No,Version 3,0.0,No
9095.0,,Dick Durbin,,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,3.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,1.0,,,,,,,,,,No,Yes,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,,,,Black,Black,National questionnaire,Black,Black,Midwest,,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",English, Illinois,Telephone survey,,No,Version 3,0.0,No
