ID,GOVNY14,HOUNY14,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK14,BREAK14B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CHRISTIEPRES,CLIMATECHANGE,CONGRESS,CONGRESS4,EBOLA14,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FINSIT2,FOLLOW14,FOLLOW14B,FOROBAMAH,GAY,GEOCODE,GOVTDO10,HCLINPRES,HEALTHCARE14,HILLVREP,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JBUSHPRES,LANDPHONE,LATINO,LIFE,MARCHILD,MARIJUANALAW,MARRIED,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PERRYPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TRACK,TRUSTGOV,TRUSTGOVB,UNIONHH12,VERSION,VETVOTER,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4
98378.0,Andrew Cuomo,,,,,,,,,,,,,,,,Complete,,,Yes,Call 3,15.0,No,No telephone service at home,,No,,,,Disapprove,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,Extremely closely,Extremely or very closely,,Yes,1.0,,Yes,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,No,No,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,No,No,Liberal,10.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,,East,Protestant/Other Non-Catholic Christian,Other christian,,,Male,Black men,,"Cities over 500,000","Cities over 50,000",English, New York,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,,,,,,Version 5,,1.06219029426575,Non-white,No,All others,,,No,,,
75084.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Very closely,Extremely or very closely,,Call 2,21.0,,,,,,Disapprove,Strongly disapprove,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,,5.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,Omit,,,No,,,,,,,Worried,Very worried,Approve,Somewhat approve,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,,,Moderate,34.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,,East,,,,,Male,White men,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,No,1.74156713485718,,Yes,,,,,,,
96161.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,,,,Complete,,,,Call 3,20.0,No,Only regular land-line phone service,,Omit,,,,Omit,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,Somewhat closely,Somewhat or not too closely,,,3.0,,Omit,,,,,,,,,,,,,No,Yes,No,,,,,,,,,,,,,45+,65+,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Omit,Omit,Moderate,127.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,,East,,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",English, New York,,Omit,Omit,Election day exit poll,,,,,,,Version 5,,1.25661242008209,Non-white,No,All others,,,No,,,
96075.0,Andrew Cuomo,,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,A few times a month,Occasionally,All others,Complete,,,No,Call 3,9.0,,,No,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,About the same,,,,,1.0,,,,Hillary Clinton,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,,No,,All others,,,,,,,,,,,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,,Conservative,47.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,,East,None,None,,,Female,Black women,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,,Version 3,,0.26698499917984,Non-white,No,All others,,,No,,,
96045.0,Andrew Cuomo,,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,All others,Complete,,,No,Call 3,9.0,,,No,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,About the same,,,,,1.0,,,,It depends,,,,,,,,,,,,,No,,All others,,No,,,,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,36.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,,East,Jewish,Jewish,Jewish,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,No,Version 3,,0.771598756313324,White Jewish,No,All others,,,No,All others,,
74796.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 2,23.0,,,,,,,,,Getting worse,Worse,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,5.0,,,Went too far,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,,,Yes,Poor,Not so good or poor,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,,,Moderate,15.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,Omit,Omit,East,,,,,Male,White men,Married men,Rural,Small Cities/Rural,English, New York,,,,Election day exit poll,,,,,,,Version 2,,1.84401226043701,,No,,No,Non-working men,,,All others,Non-working men
101493.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 3,24.0,,,,,,Disapprove,Strongly disapprove,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,4.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,95.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,,East,,,,,Female,White women,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Not too worried,Not too or not at all worried,,,,,Version 1,No,1.14772891998291,,No,,,,,,,
98810.0,Andrew Cuomo,,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,,,,Call 3,17.0,,,,,Yes,,,,,,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,,,3.0,Government should do more to solve problems,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,No,Worse than life today,,Legal,,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Liberal,122.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Gotten better,,,East,,,,Yes,Female,White women,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,Omit,,,,Version 4,,0.961936891078949,,No,,,,,,,
101492.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 3,24.0,,,,,,Disapprove,Strongly disapprove,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,4.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,95.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,,East,,,,,Female,White women,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Not too worried,Not too or not at all worried,,,,,Version 1,No,1.14772891998291,,No,,,,,,,
76366.0,Andrew Cuomo,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,Omit,Omit,,Call 2,15.0,,,,,,Omit,Omit,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,Health care,,,Yes,,,,,,,Worried,Very worried,Approve,Somewhat approve,,,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,,,Liberal,10.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,,East,,,,,Male,Latino men,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,Yes,0.863417744636536,,No,,,,,,,
