ID,SENSC14,SEN2SC14,GOVSC14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CLIMATECHANGE,DEMPRIM2016,DEMPRIM2016DEMSONLY,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVHALEY,FAVREP2,FAVSHEHEEN,GEOCODE,GOPPRIM2016,GOPPRIM2016REPSONLY,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TRACK,VERSION,VETVOTER,WHNCLINC,WHTEVANG,ZIPCODE,WEIGHT
10632.0,Brad Hutto,,,18-29,18-29,25-29,18-44,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,No,,1.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,5.0,,,,,,,,,,,,,,No,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Neither,Somewhat oppose,Oppose,Telephone survey,,Version 5,No,No,All others,29412.0,0.0
9776.0,Brad Hutto,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,2.0,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,3.0,,,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South,,Female,White women,Married women,Suburbs,Suburbs,South Carolina,,,,Telephone survey,,Version 2,,No,,29072.0,0.0
9775.0,Brad Hutto,,,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,3.0,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,,2.0,,,,Omit,,,,,,,,,Omit,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,Female,Black women,Non married women,Rural,Small Cities/Rural,South Carolina,,,,Telephone survey,,Version 2,,No,,29666.0,0.0
55087.0,Brad Hutto,,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 1,4.0,,Omit,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,1.0,Omit,,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,Omit,No,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,105.0,,,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Yes,Female,Black women,,Suburbs,Suburbs,South Carolina,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,,Version 2,,No,All others,29388.0,0.523145198822021
10631.0,Lindsay Graham,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,,1.0,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,5.0,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,,,,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,,,South,,Male,White men,,Suburbs,Suburbs,South Carolina,Both Tea Party supporter and born-again,Strongly support,Support,Telephone survey,,Version 5,,No,White Born-again/Evangelical Christians,29445.0,0.0
10630.0,Lindsay Graham,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,5.0,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,2.0,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White,,,South,,Male,White men,,Rural,Small Cities/Rural,South Carolina,Tea Party supporter and not born-again,Somewhat support,Support,Telephone survey,,Version 5,,No,All others,29127.0,0.0
85109.0,Lindsay Graham,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 3,7.0,,Hillary Clinton,,College graduate,College graduate,More than High school graduate,White college degree,,,,,4.0,Rand Paul,,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Conservative,71.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Yes,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,,Version 2,,No,White Born-again/Evangelical Christians,29577.0,0.676566898822784
56800.0,Brad Hutto,Joyce Dickerson,,,,,,,,,,,Not complete,,Call 1,5.0,Yes,,,,,,,,,,,3.0,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 1,,,,29078.0,0.75166916847229
54238.0,Lindsay Graham,Tim Scott,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete,,Call 1,7.0,,,,,,,,,,,,4.0,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,66.0,,,White,White,National questionnaire,White,White,,,South,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,,,,Election day exit poll,Seriously off on the wrong track,Version 4,,,,29582.0,3.30402779579163
56060.0,Lindsay Graham,Tim Scott,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,5.0,,Someone else,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,Rand Paul,,,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,,,,,,,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,Conservative,73.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South,No,Male,White men,,Suburbs,Suburbs,South Carolina,Both Tea Party supporter and born-again,Somewhat support,Support,Election day exit poll,,Version 2,,Yes,White Born-again/Evangelical Christians,29078.0,0.802398204803467
