ID,GOVWI14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,CALL,CDNUM,ECON4YEARWI,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHBURKE,ETHWALKER,ETHWI14,FAVBURKE,FAVDEM2,FAVPUBLICUNION,FAVREP2,FAVWALKER,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JOBSIT,LATINO,MARRIED,MINWAGE14,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,RYANPRES,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TRACK,UNIONHH12,VERSION,VOTE2012RECALL,WALKERHEALTH,WALKERPRES,WEIGHT,WHNCLINC,WORK,WORKPARENT,WORKSEX,WRKWOMEN,WRKWOMEN4
97170.0,Mary Burke,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,,Complete,Call 3,5.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,2.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,Worse today,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,40.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,Non married men,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,0.89901876449585,Yes,,,,,
60726.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 1,5.0,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,1.0,Government should do more to solve problems,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,,No,,Favor,Worried,Somewhat worried,Approve,Strongly approve,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,66.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,Midwest,,,Female,White women,,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,Generally going in the right direction,,Version 1,Tom Barrett,,,0.666596055030823,No,Yes,,Working women,Working women,Working women
60725.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 1,1.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,No,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,45.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,Midwest,,,Female,White women,,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Version 5,,,,0.910938143730164,Yes,,,,,
80969.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 2,2.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,No,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,16.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,Midwest,,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Version 5,,,,0.735816895961761,No,,,,,
80967.0,Mary Burke,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,Call 2,8.0,About the same,High school graduate,No college degree,High school graduate or less,White no college degree,,,,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,4.0,Government should do more to solve problems,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,,No,,Favor,Worried,Very worried,Approve,Strongly approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,76.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,Midwest,,,Male,White men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Generally going in the right direction,,Version 1,Tom Barrett,,,0.874136924743652,Yes,No,,Non-working men,All others,Non-working men
60721.0,Mary Burke,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,Call 1,7.0,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,5.0,Omit,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,,,,Favor,Worried,Very worried,Approve,Strongly approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,28.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,Midwest,,,Male,White men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Seriously off on the wrong track,,Version 1,Tom Barrett,,,0.990557968616486,No,No,,Non-working men,All others,Non-working men
80965.0,Mary Burke,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,No,,,,,,,,,45+,18-64,,,,,,,,25.0,,,Black,Black,National questionnaire,Black,Black,,,Midwest,,,Male,Black men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Version 5,,,,0.803651690483093,,,,,,
78301.0,Mary Burke,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,,Not complete,Call 2,2.0,,,,,,Mary Burke does not,Scott Walker does not,Neither of them,,,,,,3.0,,,,,,,,,,,,Omit,No,,,,,,,,,45+,65+,,,,,,,,87.0,,,White,White,State questionnaire,White,White,,,Midwest,,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,,0.811359882354736,,,,,,
98541.0,Mary Burke,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Once a week,Weekly,,Complete,Call 3,6.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,2.0,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,Foreign policy,Worse today,Yes,Yes,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,81.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,Latino men,Married men,Suburbs,Suburbs,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.947614371776581,No,,,,,
80951.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,Call 2,4.0,Better today,College graduate,College graduate,More than High school graduate,Non white college degree,,,,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,,,Yes,,Favor,Worried,Very worried,Approve,Strongly approve,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,63.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,,,Midwest,,,Female,Latino women,,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,Seriously off on the wrong track,,Version 1,Didn't vote,,,0.532213032245636,No,Yes,,Working women,Working women,Working women
