ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSCO16,SENCO16,PROP106CO,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,@2WAYPRES16,DESCRIBP12,FAVHCLIN16,FAVTRUMP,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,IMMWALL,ISSUE16,LIFE,MOVETOCO14,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,BORNINCO14,FAVPRES16,GOVTANGR16B,HONEST16,MOVETOCO10YR,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
106204.0,Colorado,,,Complete,Telephone survey,0.405409306287766,Hillary Clinton,Michael Bennet,Yes,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,,Hillary Clinton,I like my candidate but with reservations,Favorable,Unfavorable,"Satisfied, but not enthusiastic",Hillary Clinton,Hillary Clinton,Yes,No,Help the country,Offered a chance to apply for legal status,Oppose,The economy,Better than life today,I was born in Colorado,Good,Strongly approve,Has the right experience,Yes,No,Whites are favored over minorities,Yes,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,Yes,I was born in Colorado,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,10+ years or more,Excellent or good,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,,1.0,80538.0
106203.0,Colorado,,,Complete,Telephone survey,0.603691399097443,Donald Trump,Darryl Glenn,No,Female,White,60-64,Independent,Conservative,"Under $30,000",Some college/assoc. degree,,Donald Trump,I strongly favor my candidate,Unfavorable,Favorable,Angry,Donald Trump,Donald Trump,No,Yes,Hurt the country,Deported to the country they came from,Support,Immigration,Omit,10+ years but not born here,Poor,Strongly disapprove,Cares about people like me,No,Yes,Minorities are favored over whites,No,Yes,Before that,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,Yes,Moved to Colorado,Only Donald Trump,"Dissatisfied, but not angry or Angry",Only Donald Trump,10+ years or more,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,Republican Senate - Voted Trump,Only Donald Trump,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,4.0,West,,1.0,80807.0
106202.0,Colorado,,,Complete,Telephone survey,0.535272896289825,Donald Trump,Michael Bennet,Yes,Female,White,65 or over,Republican,,,Some college/assoc. degree,,Donald Trump,I strongly favor my candidate,Unfavorable,Favorable,"Dissatisfied, but not angry",Donald Trump,Donald Trump,No,Yes,Hurt the country,Offered a chance to apply for legal status,Support,Immigration,Better than life today,I was born in Colorado,Poor,Strongly disapprove,Can bring needed change,No,Yes,No group is favored,No,Yes,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,I was born in Colorado,Only Donald Trump,"Dissatisfied, but not angry or Angry",Only Donald Trump,10+ years or more,Not so good or poor,Disapprove,,,Only Donald Trump,Democratic Senate - did not vote Clinton,Only Donald Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,6.0,West,,2.0,80120.0
136246.0,Colorado,,,Complete,Telephone survey,0.459986209869385,Hillary Clinton,,,Male,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,The economy,,,,Omit,Can bring needed change,,,,,,In October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only Hillary Clinton,,,,,Omit,,,,,,In the last month,Before that,National questionnaire,Suburbs,Suburbs,2.0,West,Version 1,3.0,80439.0
106200.0,Colorado,,,Complete,Telephone survey,0.613103687763214,Donald Trump,Darryl Glenn,Yes,Female,White,65 or over,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,,Donald Trump,I strongly favor my candidate,Unfavorable,Favorable,Angry,Donald Trump,Donald Trump,No,Yes,Omit,Offered a chance to apply for legal status,Support,Terrorism,Worse than life today,I was born in Colorado,Poor,Strongly disapprove,Has good judgment,No,Yes,Minorities are favored over whites,No,Yes,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,Yes,I was born in Colorado,Only Donald Trump,"Dissatisfied, but not angry or Angry",Only Donald Trump,10+ years or more,Not so good or poor,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,Only Donald Trump,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,3.0,West,,5.0,80467.0
106199.0,Colorado,,,Complete,Telephone survey,0.405409306287766,Hillary Clinton,Michael Bennet,Yes,Female,White,65 or over,Democrat,Moderate,"$50,000-$99,999",Postgraduate study,,Hillary Clinton,I dislike the other candidates,Omit,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,Yes,No,Help the country,Deported to the country they came from,Omit,Immigration,About the same,I was born in Colorado,Not so good,Somewhat approve,Has the right experience,Yes,No,No group is favored,Yes,No,In September,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,I was born in Colorado,Omit,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,10+ years or more,Not so good or poor,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,1.0,80634.0
136256.0,Colorado,,,Complete,Telephone survey,0.195126205682755,Hillary Clinton,Michael Bennet,,Male,Hispanic/Latino,45-49,Democrat,Liberal,"$50,000-$99,999",Postgraduate study,Yes,,,Favorable,Unfavorable,,,,,,,,,The economy,,,,Strongly approve,Has the right experience,,,,,,Before that,Latino men,Married men,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,Before that,Before that,National questionnaire,Suburbs,Suburbs,7.0,West,Version 1,2.0,80241.0
106197.0,Colorado,,,Complete,Telephone survey,0.356523841619492,,Darryl Glenn,No,Female,White,65 or over,Independent,Conservative,"$50,000-$99,999",High school or less,,Donald Trump,I like my candidate but with reservations,Unfavorable,Omit,"Dissatisfied, but not angry",Donald Trump,Donald Trump,No,Yes,Help the country,Offered a chance to apply for legal status,Oppose,Terrorism,Better than life today,I was born in Colorado,Not so good,Somewhat disapprove,Has good judgment,No,Yes,Whites are favored over minorities,No,Yes,Omit,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,No,I was born in Colorado,Omit,"Dissatisfied, but not angry or Angry",Only Donald Trump,10+ years or more,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,Republican Senate - did not vote Trump,Only Donald Trump,Omit,Omit,State questionnaire,Suburbs,Suburbs,7.0,West,,3.0,80228.0
106196.0,Colorado,,,Complete,Telephone survey,0.70382821559906,Hillary Clinton,Michael Bennet,Yes,Male,White,50-59,Democrat,Moderate,"Under $30,000",College graduate,,Hillary Clinton,I strongly favor my candidate,Favorable,Unfavorable,"Satisfied, but not enthusiastic",Hillary Clinton,Hillary Clinton,Yes,No,Hurt the country,Offered a chance to apply for legal status,Oppose,The economy,Better than life today,I was born in Colorado,Good,Strongly approve,Has the right experience,Yes,No,Minorities are favored over whites,Yes,No,Before that,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,No,I was born in Colorado,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,10+ years or more,Excellent or good,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,1.0,80634.0
136245.0,Colorado,,,Complete,Telephone survey,0.247462019324303,Hillary Clinton,Michael Bennet,,Female,White,40-44,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,,,Favorable,Unfavorable,,,,,,,,,The economy,,,,Strongly approve,Has the right experience,,,,,,Before that,White women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,Before that,Before that,National questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,2.0,80207.0
