ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIN16,SENIN16,GOVIN16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVPENCE,FINSIT,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
138865.0,Indiana,,,Complete,Telephone survey,0.0,Donald Trump,,,Female,White,65 or over,Independent,Conservative,"$50,000-$99,999",College graduate,,,Yes,,,Unfavorable,Favorable,,,,,,,Terrorism,,,Strongly disapprove,Can bring needed change,,,,,,In October,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,No,Only Donald Trump,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,,,,In the last month,Before that,,National questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Indianapolis Suburbs
138866.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,,,No,,,Favorable,Unfavorable,,,,,,,The economy,,,Somewhat approve,Has the right experience,,,,,,Before that,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,,,,Before that,Before that,,National questionnaire,"Cities over 500,000","Cities over 50,000",7.0,Midwest,Version 1,Marion County
138867.0,Indiana,,,Complete,Telephone survey,0.0,Donald Trump,,,Male,White,60-64,Republican,Conservative,"$200.000-$249,999",Postgraduate study,,,Yes,,,Unfavorable,Favorable,,,,,,,Terrorism,,,Strongly disapprove,Has good judgment,,,,,,Before that,White men,Married men,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,White suburban men,No,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,Indianapolis Suburbs
138868.0,Indiana,,,Complete,Telephone survey,0.0,Donald Trump,,,Female,White,65 or over,Republican,Conservative,"$30,000-$49,999",Postgraduate study,,,No,,,Unfavorable,Favorable,,,,,,,The economy,,,Somewhat disapprove,Can bring needed change,,,,,,Before that,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,No,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,Northwest
138869.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Female,Black,60-64,Democrat,Conservative,"$50,000-$99,999",Some college/assoc. degree,,,Yes,,,Favorable,Unfavorable,,,,,,,The economy,,,Strongly approve,Has good judgment,,,,,,Before that,Black women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,Before that,Before that,,National questionnaire,"Cities over 500,000","Cities over 50,000",7.0,Midwest,Version 1,Marion County
138870.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Female,White,65 or over,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,,,No,,,Favorable,Unfavorable,,,,,,,Foreign policy,,,Strongly approve,Has the right experience,,,,,,Before that,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,No,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 1,South
138872.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,,,No,,,Favorable,Unfavorable,,,,,,,The economy,,,Strongly approve,Has the right experience,,,,,,Before that,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,,,,Before that,Before that,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,6.0,Midwest,Version 1,South
138873.0,Indiana,,,Complete,Telephone survey,0.0,Donald Trump,,,Female,White,65 or over,Independent,Conservative,"$100,000-$199,999",College graduate,,,Yes,,,Unfavorable,Favorable,,,,,,,The economy,,,Strongly disapprove,Has the right experience,,,,,,Before that,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,No,Only Donald Trump,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Indianapolis Suburbs
138874.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Male,,65 or over,Independent,Moderate,"$50,000-$99,999",Some college/assoc. degree,,,Yes,,,Unfavorable,Unfavorable,,,,,,,The economy,,,Somewhat approve,Cares about people like me,,,,,,In September,,Married men,65+,60+,45+,50+,60+,65+,45+,65+,,,,No college degree,More than High school graduate,,,Less than 100k,50k or more,50 to 100 thousand,,Independent/Something else,,,Independent men,,,,,,Other,No,Neither,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,,,,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 1,Northwest
138875.0,Indiana,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Male,Hispanic/Latino,65 or over,Democrat,Liberal,"$100,000-$199,999",High school or less,,,Yes,,,Favorable,Unfavorable,,,,,,,The economy,,,Strongly approve,Has the right experience,,,,,,Before that,Latino men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,,Other,No,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,Northwest
