ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMI16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,CLINTONEMAIL,DESCRIBP12,ECONFAIR,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FINSIT,GOVTANGR16,GOVTDO10,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,RELIGN10,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNFAIRCLIN,UNFAIRTRUMP,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WPROTBRN,WPROTBRN3,WHITEREL,WHTEVANG,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,UNFAIR16,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
135781.0, Michigan,,,Complete,Telephone survey,0.187608137726784,Other,Male,White,65 or over,Something else,,,Some college/assoc. degree,,,No,,,,,,,Unfavorable,Favorable,,,,,,,,,,,The economy,,,,Strongly disapprove,,Omit,,,,,,,In the last week,,,,,,White men,Non married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,,White suburban men,,,,,Only Donald Trump,,,,Disapprove,,,,,,,,,,,,,In the last month,In the last week,,,National questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,Southwest
100925.0, Michigan,,,Complete,Telephone survey,0.201183333992958,Other,Female,Other,65 or over,Something else,,,College graduate,No,No,,,A few times a year,,,,,Omit,Omit,,,,,,,,,,,Terrorism,,,,Strongly approve,,Omit,Yes,Yes,,None,,,Omit,,,No,No,,All other races,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent Women,All others,Other,Other,Non-white,Other,Other,No,A few times a year or less,All others,,Omit,,,,Approve,,,Both,None,None,,Not a mormon,No,,Non-white,All others,,Omit,Omit,,Neither,State questionnaire,Suburbs,Suburbs,9.0,Midwest,Version 1,Oakland/Macomb
181975.0, Michigan,80.0,Call 1,Complete,Election day exit poll,0.243498116731644,Jill Stein,Female,White,50-59,Independent,Moderate,,Postgraduate study,No,,Yes,,,A lot,I dislike the other candidates,Favors the wealthy,,,,,Angry,Government is doing too many things better left to businesses and individuals,,,,No,No,,,Foreign policy,,,Poor,,,Cares about people like me,,,,,No,No,,,A lot,,,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,Other,,,,A lot or some,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,Neither,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
215899.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.243498116731644,Other,Female,White,18-24,,Moderate,,Some college/assoc. degree,No,,Yes,,,Omit,I strongly favor my candidate,Is fair to most Americans,,,,,"Dissatisfied, but not angry",Omit,,,,No,No,,,The economy,,,Not so good,,,Has good judgment,,,,,No,No,,,Some,,,,White women,Married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,,,,,,,White,White,White,White,Other,,,,Omit,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,,,,,,,,,,,,Neither,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
179720.0, Michigan,80.0,Call 1,Complete,Election day exit poll,0.243498116731644,Other,Female,White,50-59,Independent,Conservative,,Some college/assoc. degree,No,,,,,Some,I like my candidate but with reservations,Favors the wealthy,,,,,"Satisfied, but not enthusiastic",Government is doing too many things better left to businesses and individuals,,,,No,No,,,The economy,,,Good,,,Has good judgment,,,,,Yes,No,,,Some,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,Other,,,,A lot or some,,"Enthusiastic or satisfied, but not enthusiastic",Neither,Excellent or good,,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
214618.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.243498116731644,Jill Stein,Male,White,18-24,Independent,Liberal,,Some college/assoc. degree,No,,,Hillary Clinton,,,,,Treats blacks unfairly,,,Better today,,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,Change to more liberal policies,,,,Whites are favored over minorities,,,,,Takes away U.S. jobs,,,,No,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,Other,,,,,,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 3,North Central/U.P.
215120.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.243498116731644,Jill Stein,Female,White,30-39,Something else,Moderate,"$30,000-$49,999",College graduate,No,No,,,Never,,,,,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,,Somewhat approve,,Omit,No,No,,None,,,Before that,,,Omit,Omit,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,Other,No,A few times a year or less,All others,,Neither,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Neither,None,None,None,Not a mormon,No,All others,White none,All others,,Before that,Before that,,Omit,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 1,North Central/U.P.
137727.0, Michigan,,,Complete,Telephone survey,0.264317810535431,Hillary Clinton,Male,White,65 or over,Democrat,Liberal,,High school or less,,,,,,,,,,,,About the same,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,,,,No,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,Other,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 4,Southwest
138353.0, Michigan,,,Complete,Telephone survey,0.264317810535431,Hillary Clinton,Male,White,65 or over,Democrat,Liberal,,High school or less,,Yes,Yes,Hillary Clinton,Never,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,Protestant,,,,,A lot,,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,White suburban men,,A few times a year or less,Protestant/Do not attend weekly,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,Yes,White Protestant evangelical,White Protestants,White Born-again/Evangelical Christians,,,,A lot or some,,National questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 5,Southwest
101057.0, Michigan,,,Complete,Telephone survey,0.265946954488754,Other,Male,,65 or over,Something else,Moderate,,Some college/assoc. degree,,,Yes,,,Not at all,I dislike the other candidates,Favors the wealthy,,,,,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,,,,No,No,,,Immigration,,,Poor,,,Omit,,,,,No,No,,,A lot,,,,,Married men,65+,60+,45+,50+,60+,65+,45+,65+,,,,No college degree,More than High school graduate,,,,,,,Independent/Something else,,,Independent men,Independent Men,,,,,,,,,,Not much or not at all,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,Neither,,,A lot or some,,State questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 2,Southeast
100963.0, Michigan,,,Complete,Telephone survey,0.268839865922928,Other,Female,White,65 or over,Republican,Conservative,"$50,000-$99,999",College graduate,No,No,,,Never,,,,,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,,Somewhat approve,,Can bring needed change,Yes,Yes,,Protestant,,,In October,,,No,Yes,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,No,A few times a year or less,Protestant/Do not attend weekly,,Neither,,,,Approve,Independent/Something else,Conservative Republicans,Both,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,No,White Protestant non-evangelical,White Protestants,All others,,In the last month,Before that,,Only Donald Trump,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,Southeast
198636.0, Michigan,80.0,Call 2,Complete,Election day exit poll,0.277844339609146,Hillary Clinton,Male,,30-39,Democrat,,,College graduate,,,No,,,Not much,Omit,Favors the wealthy,,,,,Omit,Government should do more to solve problems,,,,Yes,No,,,The economy,,,Not so good,,,Cares about people like me,,,,,Yes,No,,,A lot,,,,,Non married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,,,,College graduate,More than High school graduate,,,,,,,Democrat,,,Democratic men,Democratic Men,,,,,,Other,,,,Not much or not at all,,Omit,Only Hillary Clinton,Not so good or poor,,,,,,,,,,,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
135782.0, Michigan,,,Complete,Telephone survey,0.280302673578262,Hillary Clinton,Female,White,65 or over,Independent,Moderate,"$50,000-$99,999",College graduate,,,No,,,,,,,Favorable,Unfavorable,,,,,,,,,,,Terrorism,,,,Strongly approve,,Has good judgment,,,,,,,Before that,,,,,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,,Other,No,,,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,Before that,Before that,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 1,Southeast
138357.0, Michigan,,,Complete,Telephone survey,0.280302673578262,Hillary Clinton,Female,White,65 or over,Democrat,Liberal,,High school or less,,Yes,No,Hillary Clinton,A few times a month,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,,,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,,At least monthly,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,White Born-again/Evangelical Christians,,,,A lot or some,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 5,Southwest
138351.0, Michigan,,,Complete,Telephone survey,0.280302673578262,Hillary Clinton,Female,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,,No,No,Hillary Clinton,Once a week or more,Not much,,,,,,,,,,,,,,,,,,,,,,,,,,Protestant,,,,,A lot,,,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,White suburban women,,At least monthly,Protestant/Attend weekly,Not much or not at all,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,No,White Protestant non-evangelical,White Protestants,All others,,,,A lot or some,,National questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 5,Southeast
181302.0, Michigan,80.0,Call 1,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,50-59,Democrat,Liberal,,Postgraduate study,No,,,,,Not much,I strongly favor my candidate,Favors the wealthy,,,,,"Satisfied, but not enthusiastic",Government should do more to solve problems,,,,Yes,No,,,The economy,,,Good,,,Has good judgment,,,,,Yes,No,,,A lot,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,Not much or not at all,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,,,,,,,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
214961.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,50-59,Democrat,Moderate,,College graduate,No,,No,,,Some,I like my candidate but with reservations,Favors the wealthy,,,,,"Satisfied, but not enthusiastic",Government should do more to solve problems,,,,Yes,No,,,The economy,,,Not so good,,,Has the right experience,,,,,Yes,No,,,A lot,,,,White women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,A lot or some,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 2,North Central/U.P.
182174.0, Michigan,80.0,Call 1,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,50-59,Democrat,Liberal,,College graduate,No,,,Hillary Clinton,,,,,Treats blacks unfairly,,,About the same,,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,About the same,Better than life today,,,Continue Barack Obama's policies,,,,Whites are favored over minorities,,,,,Creates more U.S. jobs,,,,No,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 3,North Central/U.P.
198725.0, Michigan,80.0,Call 2,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,50-59,Democrat,Moderate,,Postgraduate study,No,,,Hillary Clinton,,,,,Omit,,,About the same,,,Donald Trump,Hillary Clinton,Went too far,,,Hurt the country,Offered a chance to apply for legal status,,About the same,Better than life today,,,Change to more conservative policies,,,,No group is favored,,,,,Omit,,,,Yes,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 3,North Central/U.P.
214442.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,30-39,Democrat,Liberal,,Postgraduate study,No,,,Hillary Clinton,,,,,Treats blacks unfairly,,,Better today,,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Worse today,Better than life today,,,Change to more liberal policies,,,,Whites are favored over minorities,,,,,Takes away U.S. jobs,,,,Yes,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 3,North Central/U.P.
216015.0, Michigan,80.0,Call 3,Complete,Election day exit poll,0.311177939176559,Hillary Clinton,Female,White,30-39,Democrat,Liberal,,Some college/assoc. degree,No,,,Hillary Clinton,,,,,Treats all people fairly,,,Better today,,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,Continue Barack Obama's policies,,,,No group is favored,,,,,Takes away U.S. jobs,,,,No,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 3,North Central/U.P.
