ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMO16,SENMO16,GOVMO16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,BRNAGAIN,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
202448.0,Missouri,21.0,Call 2,Complete,Election day exit poll,0.504399597644806,Hillary Clinton,Jason Kander,Chris Koster,Female,White,30-39,Democrat,Moderate,,Some college/assoc. degree,No,Yes,Hillary Clinton,,I strongly favor my candidate,Treats all people fairly,,,Enthusiastic,Yes,No,Offered a chance to apply for legal status,,,Good,,,,,Whites are favored over minorities,Yes,No,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,Suburbs,Suburbs,6.0,Midwest,Version 2,3.0,64068.0
222692.0,Missouri,106.0,Call 3,Complete,Election day exit poll,1.31394505500793,Donald Trump,Roy Blunt,Eric Greitens,Male,White,18-24,Republican,Conservative,,Some college/assoc. degree,No,No,Donald Trump,,Omit,Omit,,,"Dissatisfied, but not angry",No,No,Omit,,,Good,,,,,Omit,No,No,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,,,"Dissatisfied, but not angry or Angry",Neither,Excellent or good,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Neither,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,2.0,63385.0
182201.0,Missouri,49.0,Call 1,Complete,Election day exit poll,1.24486398696899,Donald Trump,Roy Blunt,Eric Greitens,Female,White,50-59,Republican,Conservative,,Postgraduate study,No,,Donald Trump,,,Treats all people fairly,,,,,,Offered a chance to apply for legal status,,Omit,,,,No,Yes,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,,National questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,3.0,64081.0
202956.0,Missouri,49.0,Call 2,Complete,Election day exit poll,1.24486398696899,Donald Trump,Roy Blunt,Eric Greitens,Female,White,40-44,Independent,Liberal,,Some college/assoc. degree,No,,Donald Trump,,,Omit,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,Yes,Yes,,,,,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,,,,,,,Moderate/Liberal Republicans,Liberal Independents,Both,Republican Senate - Voted Trump,,,,,National questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,3.0,64081.0
218634.0,Missouri,150.0,Call 3,Complete,Election day exit poll,0.973037600517273,Gary Johnson,Jason Kander,Chris Koster,Female,White,30-39,Democrat,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,,,No,,,Unfavorable,Unfavorable,,,,,The economy,Worse than life today,,Somewhat disapprove,Can bring needed change,No,No,,,,In the last few days,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Neither,,,,Disapprove,Liberal Democrats,Liberal Democrats,Neither,Democratic Senate - did not vote Clinton,,In the last month,In the last week,All others,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 1,4.0,65349.0
201051.0,Missouri,154.0,Call 2,Complete,Election day exit poll,1.06479322910309,Donald Trump,Roy Blunt,Eric Greitens,Male,White,18-24,Republican,Conservative,,High school or less,No,,,,,,,,,,,,,,,,,,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,,,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,,,,,National questionnaire,Rural,Small Cities/Rural,7.0,Midwest,Version 4,5.0,65675.0
202433.0,Missouri,79.0,Call 2,Complete,Election day exit poll,1.4060742855072,Hillary Clinton,Jason Kander,Eric Greitens,Male,Black,50-59,Democrat,Moderate,,High school or less,No,Yes,Hillary Clinton,,I strongly favor my candidate,Treats blacks unfairly,,,"Dissatisfied, but not angry",No,No,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,Black men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,Black,Other,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,Rural,Small Cities/Rural,6.0,Midwest,Version 2,4.0,63448.0
202432.0,Missouri,38.0,Call 2,Complete,Election day exit poll,0.952190935611725,Donald Trump,Roy Blunt,Eric Greitens,Female,White,25-29,Republican,Liberal,,High school or less,No,No,Donald Trump,,I strongly favor my candidate,Treats all people fairly,,,"Satisfied, but not enthusiastic",No,Yes,Deported to the country they came from,,,Good,,,,,No group is favored,Omit,Omit,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,,"Enthusiastic or satisfied, but not enthusiastic",Only Donald Trump,Excellent or good,,Conservative Republicans,Mod./Liberal Republicans,,Republican Senate - Voted Trump,Omit,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,Midwest,Version 2,5.0,65803.0
198382.0,Missouri,4.0,Call 2,Complete,Election day exit poll,1.15124714374542,Donald Trump,Roy Blunt,Eric Greitens,Male,,60-64,Republican,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,No,,,Unfavorable,Favorable,,,,,Immigration,Worse than life today,,Strongly disapprove,Has good judgment,No,Yes,,,,Before that,,,45-65,60+,45+,50+,60+,50-64,45+,18-64,,,,No college degree,More than High school graduate,,,Less than 100k,50k or more,50 to 100 thousand,,Republican,,,Republican men,,,,,,,No,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,5.0,64779.0
182184.0,Missouri,57.0,Call 1,Complete,Election day exit poll,1.17145323753357,Hillary Clinton,Roy Blunt,Chris Koster,Female,White,30-39,Democrat,Moderate,,Some college/assoc. degree,No,No,Hillary Clinton,,I dislike the other candidates,Treats blacks unfairly,,,"Satisfied, but not enthusiastic",No,No,Offered a chance to apply for legal status,,,Not so good,,,,,No group is favored,Yes,No,,White women,Non married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,,"Enthusiastic or satisfied, but not enthusiastic",Neither,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Republican Senate - did not vote Trump,Only Hillary Clinton,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 2,3.0,64132.0
182183.0,Missouri,46.0,Call 1,Complete,Election day exit poll,0.719358086585999,Hillary Clinton,Jason Kander,Chris Koster,Female,Other,40-44,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,,,No,,,Favorable,Unfavorable,,,,,The economy,About the same,,Strongly approve,Has good judgment,Yes,No,,,,Before that,All other races,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,American Indian,Other,Non-white,American Indian,Other,No,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,3.0,64055.0
202423.0,Missouri,157.0,Call 2,Complete,Election day exit poll,0.731153786182404,Donald Trump,Roy Blunt,Eric Greitens,Female,White,50-59,Democrat,Conservative,"$50,000-$99,999",College graduate,No,,,Yes,,,Unfavorable,Favorable,,,,,Terrorism,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Donald Trump,,,,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Rural,Small Cities/Rural,8.0,Midwest,Version 1,5.0,63660.0
202418.0,Missouri,158.0,Call 2,Complete,Election day exit poll,0.989883482456207,Donald Trump,Jason Kander,Chris Koster,Female,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,No,Yes,Donald Trump,,I dislike the other candidates,Treats blacks unfairly,,,"Dissatisfied, but not angry",No,No,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,No,No,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - did not vote Clinton,Neither,,,,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 2,5.0,65742.0
206461.0,Missouri,137.0,Call 2,Complete,Election day exit poll,1.31643164157867,Hillary Clinton,Jason Kander,Chris Koster,Female,Black,60-64,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,No,No,,,,,Favorable,Unfavorable,,,,,The economy,,,Strongly approve,Has the right experience,,,,,,Before that,Black women,Non married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 1,1.0,63133.0
202409.0,Missouri,21.0,Call 2,Complete,Election day exit poll,0.981942892074585,Donald Trump,Roy Blunt,Eric Greitens,Male,White,30-39,Republican,Moderate,"$50,000-$99,999",Postgraduate study,No,,,Yes,,,Unfavorable,Unfavorable,,,,,The economy,About the same,,Strongly disapprove,Can bring needed change,No,No,,,,Before that,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,No,Neither,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Neither,Republican Senate - Voted Trump,,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Suburbs,Suburbs,6.0,Midwest,Version 1,3.0,64068.0
202408.0,Missouri,15.0,Call 2,Complete,Election day exit poll,0.886973440647125,Donald Trump,Roy Blunt,Eric Greitens,Female,White,45-49,Republican,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,Yes,,,Unfavorable,Favorable,,,,,Terrorism,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,No,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,5.0,65714.0
182162.0,Missouri,79.0,Call 1,Complete,Election day exit poll,1.75810718536377,Donald Trump,Roy Blunt,Eric Greitens,Male,White,45-49,Republican,Conservative,,High school or less,No,Yes,Donald Trump,,I strongly favor my candidate,Treats all people fairly,,,Angry,No,Yes,Deported to the country they came from,,,Poor,,,,,Minorities are favored over whites,No,Yes,,White men,Married men,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,,State questionnaire,Rural,Small Cities/Rural,6.0,Midwest,Version 2,4.0,63448.0
182157.0,Missouri,94.0,Call 1,Complete,Election day exit poll,1.06613886356354,Donald Trump,Jason Kander,Eric Greitens,Male,White,18-24,Republican,Conservative,,College graduate,No,No,Donald Trump,,I like my candidate but with reservations,Treats blacks unfairly,,,"Dissatisfied, but not angry",No,No,Offered a chance to apply for legal status,,,Poor,,,,,Whites are favored over minorities,No,No,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Independent/Something else,Conservative Republicans,,Democratic Senate - did not vote Clinton,Neither,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,Midwest,Version 2,3.0,64154.0
215814.0,Missouri,26.0,Call 3,Complete,Election day exit poll,0.712214410305023,Hillary Clinton,Jason Kander,Eric Greitens,Female,Hispanic/Latino,30-39,Democrat,Liberal,,Postgraduate study,Yes,Yes,Hillary Clinton,,I like my candidate but with reservations,Treats blacks unfairly,,,"Dissatisfied, but not angry",Yes,No,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,Latino women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,White,Other,Non-white,Hispanic/Latino,Other,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,Midwest,Version 2,4.0,65109.0
201765.0,Missouri,15.0,Call 2,Complete,Election day exit poll,1.08206140995026,Donald Trump,Roy Blunt,Eric Greitens,Female,White,65 or over,Independent,Conservative,"Under $30,000",Some college/assoc. degree,No,,,No,,,Unfavorable,Favorable,,,,,Terrorism,Better than life today,,Somewhat disapprove,Can bring needed change,Yes,Yes,,,,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,Only Donald Trump,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Both,Republican Senate - Voted Trump,,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,5.0,65714.0
182151.0,Missouri,4.0,Call 1,Complete,Election day exit poll,1.08208167552948,Donald Trump,Roy Blunt,Eric Greitens,Male,White,50-59,Independent,Conservative,"$200.000-$249,999",College graduate,No,,,Yes,,,Unfavorable,Favorable,,,,,Immigration,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,Only Donald Trump,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,5.0,64779.0
218590.0,Missouri,117.0,Call 3,Complete,Election day exit poll,1.65004587173462,Donald Trump,Roy Blunt,Eric Greitens,Male,White,50-59,Republican,Conservative,,College graduate,No,,,,,,,,,,,,,,,,,,,,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,,,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 4,1.0,63144.0
202393.0,Missouri,36.0,Call 2,Complete,Election day exit poll,1.06969702243805,Donald Trump,Roy Blunt,Eric Greitens,Male,White,50-59,Republican,Moderate,,College graduate,No,Yes,Donald Trump,No,,,,,,,,,,,,,,,,,,,,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,,,,Conservative Republicans,Mod./Liberal Republicans,,Republican Senate - Voted Trump,,,,All others,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,Midwest,Version 5,5.0,65810.0
182147.0,Missouri,70.0,Call 1,Complete,Election day exit poll,1.40632259845734,Donald Trump,Roy Blunt,Eric Greitens,Female,Black,50-59,Independent,Moderate,"$100,000-$199,999",College graduate,No,,,Yes,,,Unfavorable,Favorable,,,,,The economy,Omit,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,Black,Other,No,Only Donald Trump,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,2.0,63010.0
201249.0,Missouri,42.0,Call 2,Complete,Election day exit poll,1.03033995628357,Hillary Clinton,Jason Kander,Chris Koster,Female,White,25-29,Independent,Moderate,,Some college/assoc. degree,No,,Hillary Clinton,,,Treats all people fairly,,,,,,Offered a chance to apply for legal status,,About the same,,,,Yes,No,,,,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,,,,,,,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,,,,,National questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 3,4.0,65250.0
202389.0,Missouri,26.0,Call 2,Complete,Election day exit poll,1.22329068183899,Hillary Clinton,Jason Kander,Chris Koster,Male,Black,60-64,Independent,Moderate,"$100,000-$199,999",Postgraduate study,No,,,Yes,,,Favorable,Unfavorable,,,,,The economy,Worse than life today,,Somewhat approve,Has good judgment,Yes,No,,,,Before that,Black men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,No,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,All others,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,Midwest,Version 1,4.0,65109.0
179767.0,Missouri,42.0,Call 1,Complete,Election day exit poll,1.66509091854095,Donald Trump,Other,Eric Greitens,Female,White,25-29,Independent,Conservative,,Some college/assoc. degree,No,,,,,,,,,,,,,,,,,,,,,,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,,,,,,,Moderate/Liberal Republicans,Conservative Independents,,Other Senate vote,,,,,National questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 4,4.0,65250.0
211974.0,Missouri,36.0,Call 3,Complete,Election day exit poll,0.946176826953888,Donald Trump,Roy Blunt,Eric Greitens,Female,White,50-59,Republican,Conservative,,Some college/assoc. degree,No,,Donald Trump,,,Treats all people fairly,,,,,,Deported to the country they came from,,Better than life today,,,,No,Yes,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,Midwest,Version 3,5.0,65810.0
218575.0,Missouri,64.0,Call 3,Not complete,Election day exit poll,1.56380140781403,Hillary Clinton,Jason Kander,Chris Koster,Female,Other,30-39,,,,,No,,,,I like my candidate but with reservations,,,,,,,,,,Good,,,,,,,,,All other races,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,All others,All others,,,,,,,,,,,,,,Other,Other,Non-white,Other,Other,,,,,Excellent or good,,,,,Democratic Senate - voted Clinton,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,Midwest,Version 2,5.0,64801.0
222622.0,Missouri,49.0,Call 3,Complete,Election day exit poll,0.965908885002136,Hillary Clinton,Roy Blunt,Chris Koster,Male,White,50-59,Republican,Moderate,,College graduate,No,,,,,,,,,,,,,,,,,,,,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,,,,,,,Conservative Republicans,Mod./Liberal Republicans,,Republican Senate - did not vote Trump,,,,,National questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 4,3.0,64081.0
