ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNC16,SENNC16,GOVNC16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,BORNINNC14,CHILD12,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,HB2,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,MOVETONC14,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,VETVOTER,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,MARCHILD,MOVETONC10YR,NEC2,OBAMA2,PARENTS,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
99795.0, North Carolina,,,Complete,Telephone survey,2.59899044036865,Donald Trump,Richard Burr,Pat McCrory,Male,White,65 or over,Republican,Moderate,"Under $30,000",Postgraduate study,No,,,,Moved to North Carolina,,,,Unfavorable,Favorable,,,,,,,,,,Omit,,10+ years but not born here,,Somewhat disapprove,Omit,No,Yes,,,,Omit,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Donald Trump,,,,,,10+ years or more,,Disapprove,,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Omit,Omit,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 1,Piedmont/Central
99796.0, North Carolina,,,Complete,Telephone survey,0.549344122409821,Hillary Clinton,Deborah Ross,Roy Cooper,Female,Black,65 or over,Democrat,Moderate,,College graduate,No,,,,I was born in North Carolina,,,,Favorable,Unfavorable,,,,,,,,,,Omit,,I was born in North Carolina,,Strongly approve,Omit,Omit,No,,,,Omit,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,Only Hillary Clinton,,,,,,10+ years or more,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Omit,Democratic Senate - voted Clinton,,Omit,Omit,,State questionnaire,Suburbs,Suburbs,13.0,South,Version 1,East
99797.0, North Carolina,,,Complete,Telephone survey,0.138648152351379,Hillary Clinton,Deborah Ross,Roy Cooper,Female,Other,,Democrat,Conservative,"$100,000-$199,999",Postgraduate study,No,,,,I was born in North Carolina,,,,Favorable,Unfavorable,,,,,,,,,,Omit,,I was born in North Carolina,,Strongly approve,Omit,Yes,No,,,,In October,,,All other races,,,,,,,,,,,,,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,American Indian,Other,Non-white,American Indian,Other,No,Only Hillary Clinton,,,,,,10+ years or more,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,In the last month,Before that,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,East
99798.0, North Carolina,,,Complete,Telephone survey,3.25588631629944,Donald Trump,Richard Burr,Pat McCrory,Male,White,65 or over,Republican,Conservative,"Under $30,000",High school or less,No,,,,I was born in North Carolina,,,,Unfavorable,Favorable,,,,,,,,,,Foreign policy,,I was born in North Carolina,,Strongly disapprove,Omit,No,Yes,,,,Before that,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,Yes,Only Donald Trump,,,,,,10+ years or more,,Disapprove,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,West
99799.0, North Carolina,,,Complete,Telephone survey,0.182999446988106,Gary Johnson,Deborah Ross,Pat McCrory,Male,Other,18-24,Something else,Moderate,"Under $30,000",High school or less,No,,,,Moved to North Carolina,,,,Favorable,Unfavorable,,,,,,,,,,Foreign policy,,Less than 10 years,,Strongly approve,Omit,Yes,No,,,,Omit,,,All other races,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,All others,All others,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,All others,American Indian,Other,Non-white,American Indian,Other,No,Only Hillary Clinton,,,,,,Less than 10 years,,Approve,,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Democratic Senate - did not vote Clinton,,Omit,Omit,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,South,Version 1,R/D/Triangle
99800.0, North Carolina,,,Complete,Telephone survey,1.89072108268738,Hillary Clinton,Richard Burr,Pat McCrory,Female,White,50-59,Independent,Conservative,"$200.000-$249,999",College graduate,No,,,,Moved to North Carolina,,,,Unfavorable,Unfavorable,,,,,,,,,,Foreign policy,,10+ years but not born here,,Somewhat disapprove,Omit,Yes,No,,,,In October,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,Neither,,,,,,10+ years or more,,Disapprove,,Moderate/Liberal Republicans,Conservative Independents,Only Hillary Clinton,Republican Senate - did not vote Trump,,In the last month,Before that,,State questionnaire,Suburbs,Suburbs,7.0,South,Version 1,R/D/Triangle
99801.0, North Carolina,,,Complete,Telephone survey,1.21570825576782,Hillary Clinton,Deborah Ross,Pat McCrory,Male,White,30-39,Independent,Moderate,"$50,000-$99,999",College graduate,No,,,,Moved to North Carolina,,,,Favorable,Unfavorable,,,,,,,,,,Foreign policy,,10+ years but not born here,,Strongly approve,Omit,No,No,,,,In October,,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,Only Hillary Clinton,,,,,,10+ years or more,,Approve,,Moderate/Liberal Republicans,Moderate Independents,Neither,Democratic Senate - voted Clinton,,In the last month,Before that,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Piedmont/Central
99802.0, North Carolina,,,Complete,Telephone survey,0.595308303833008,Hillary Clinton,Deborah Ross,Roy Cooper,Female,Black,65 or over,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,I was born in North Carolina,,,,Unfavorable,Unfavorable,,,,,,,,,,Immigration,,I was born in North Carolina,,Strongly approve,Omit,Yes,No,,,,Before that,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,Neither,,,,,,10+ years or more,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,R/D/Triangle
99803.0, North Carolina,,,Complete,Telephone survey,1.44844460487366,Hillary Clinton,Deborah Ross,Roy Cooper,Male,White,65 or over,Democrat,Moderate,"$30,000-$49,999",High school or less,No,,,,I was born in North Carolina,,,,Favorable,Unfavorable,,,,,,,,,,Immigration,,I was born in North Carolina,,Strongly approve,Omit,Yes,No,,,,Before that,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,Yes,Only Hillary Clinton,,,,,,10+ years or more,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,West
99804.0, North Carolina,,,Complete,Telephone survey,2.89190244674683,Donald Trump,Richard Burr,Pat McCrory,Male,White,60-64,Independent,Moderate,"Under $30,000",High school or less,No,,,,Moved to North Carolina,,,,Unfavorable,Favorable,,,,,,,,,,Immigration,,10+ years but not born here,,Strongly disapprove,Omit,No,Yes,,,,Before that,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,Yes,Only Donald Trump,,,,,,10+ years or more,,Disapprove,,Moderate/Liberal Republicans,Moderate Independents,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",10.0,South,Version 1,Charlotte Area
