ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOR16,SENOR16,GOVOR16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,DESCRIBP12,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
110348.0,Oregon,,,Complete,Telephone survey,0.561898469924927,Donald Trump,Mark Callahan,Bud Pierce,Female,Hispanic/Latino,65 or over,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,Yes,I strongly favor my candidate,Unfavorable,Favorable,No,Yes,Offered a chance to apply for legal status,Terrorism,Worse than life today,Poor,Strongly disapprove,Can bring needed change,No,Yes,In September,Latino women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican women,All others,White,Other,Non-white,Hispanic/Latino,Other,No,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Only Donald Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,,4.0,97524.0
110349.0,Oregon,,,Complete,Telephone survey,0.775858879089355,Donald Trump,Mark Callahan,Bud Pierce,Female,White,65 or over,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Deported to the country they came from,The economy,Worse than life today,Poor,Strongly disapprove,Cares about people like me,No,Yes,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,Yes,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Only Donald Trump,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97404.0
110350.0,Oregon,,,Complete,Telephone survey,0.358390748500824,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Democrat,Conservative,"Under $30,000",Some college/assoc. degree,No,I dislike the other candidates,Favorable,Omit,Omit,No,Omit,The economy,Better than life today,Omit,Somewhat approve,Has good judgment,Yes,No,In October,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,Yes,Only Hillary Clinton,Omit,Omit,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,In the last month,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97405.0
110351.0,Oregon,,,Complete,Telephone survey,0.309039294719696,Donald Trump,Mark Callahan,Bud Pierce,Female,Other,60-64,Independent,Conservative,"$50,000-$99,999",High school or less,No,I dislike the other candidates,Unfavorable,Unfavorable,No,No,Omit,Immigration,Worse than life today,Poor,Strongly disapprove,Has good judgment,No,No,Before that,All other races,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,All others,All others,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent women,All others,American Indian,Other,Non-white,American Indian,Other,No,Neither,Neither,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Republican Senate - Voted Trump,Neither,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,,4.0,97544.0
110352.0,Oregon,,,Complete,Telephone survey,1.30179595947266,Donald Trump,Mark Callahan,Bud Pierce,Female,Other,65 or over,Democrat,Moderate,"$50,000-$99,999",College graduate,No,I dislike the other candidates,Unfavorable,Unfavorable,No,No,Offered a chance to apply for legal status,The economy,Worse than life today,Poor,Strongly disapprove,Can bring needed change,No,No,Before that,All other races,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Other,Other,Non-white,Other,Other,No,Neither,Neither,Not so good or poor,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Republican Senate - Voted Trump,Neither,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97330.0
110353.0,Oregon,,,Complete,Telephone survey,0.32684800028801,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Democrat,Liberal,"Under $30,000",Postgraduate study,No,I like my candidate but with reservations,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,The economy,Better than life today,Good,Strongly approve,Has the right experience,Yes,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Liberal Democrats,Liberal Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,5.0,West,,2.0,97013.0
110354.0,Oregon,,,Complete,Telephone survey,0.330864101648331,Donald Trump,Mark Callahan,Bud Pierce,Male,White,65 or over,Republican,Conservative,"Under $30,000",Some college/assoc. degree,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Omit,The economy,Better than life today,Not so good,Somewhat disapprove,Can bring needed change,No,Yes,In October,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,Yes,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Only Donald Trump,In the last month,Before that,State questionnaire,"Cities over 500,000","Cities over 50,000",3.0,West,,1.0,97206.0
110355.0,Oregon,,,Complete,Telephone survey,0.358390748500824,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Independent,Liberal,"Under $30,000",Postgraduate study,No,I like my candidate but with reservations,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,Foreign policy,About the same,Good,Strongly approve,Has the right experience,Yes,No,In September,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Liberal Independents,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,,3.0,97439.0
110356.0,Oregon,,,Complete,Telephone survey,0.71804940700531,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Independent,Moderate,"Under $30,000",Some college/assoc. degree,No,I like my candidate but with reservations,Omit,Unfavorable,Yes,No,Omit,The economy,About the same,Good,Strongly approve,Has the right experience,Yes,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,Omit,Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,,3.0,97478.0
110357.0,Oregon,,,Complete,Telephone survey,0.347721636295319,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Something else,Conservative,"Under $30,000",High school or less,No,I like my candidate but with reservations,Unfavorable,Unfavorable,No,No,Offered a chance to apply for legal status,Terrorism,Worse than life today,Poor,Somewhat approve,Cares about people like me,No,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,Neither,Neither,Not so good or poor,Approve,Moderate/Liberal Republicans,Conservative Independents,Democratic Senate - voted Clinton,Neither,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,,4.0,97537.0
