ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSUT16,SENUT16,GOVUT16,SEX,RACE,AGE8,PARTYID,PHIL3,EDUC12R,LATINO,DESCRIBP12,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,QLT16,RELIGN10,TIME16,@2WAYPRES16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,MORMON,REL4,REL5,RELWHITE,SPLITTICKET,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
99495.0, Utah,,,Complete,Telephone survey,1.70177221298218,Donald Trump,Mike Lee,Gary Herbert,Female,White,65 or over,Republican,Conservative,Some college/assoc. degree,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,The economy,About the same,Can bring needed change,Mormon,In September,Donald Trump,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,Only Donald Trump,Only Donald Trump,Independent/Something else,Conservative Republicans,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Republican Senate - Voted Trump,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,4.0,84634.0
99496.0, Utah,,,Complete,Telephone survey,0.601982593536377,Donald Trump,Bill Barron,Gary Herbert,Female,White,65 or over,Democrat,Moderate,Postgraduate study,No,I strongly favor my candidate,Unfavorable,Favorable,No,Yes,The economy,Better than life today,Can bring needed change,Protestant,Before that,Donald Trump,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,Only Donald Trump,Only Donald Trump,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Not a mormon,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Other Senate vote,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,Version 1,2.0,84117.0
99497.0, Utah,,,Complete,Telephone survey,1.13690149784088,Donald Trump,Mike Lee,Gary Herbert,Male,White,65 or over,Republican,Conservative,College graduate,No,I like my candidate but with reservations,Unfavorable,Favorable,No,Yes,Immigration,About the same,Can bring needed change,Mormon,In October,Donald Trump,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,,Only Donald Trump,Only Donald Trump,Independent/Something else,Conservative Republicans,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Republican Senate - Voted Trump,In the last month,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,2.0,84081.0
99498.0, Utah,,,Complete,Telephone survey,0.463215470314026,Donald Trump,Misty Snow,Mike Weinholtz,Female,White,65 or over,Democrat,Conservative,College graduate,No,I dislike the other candidates,Unfavorable,Unfavorable,No,Yes,Terrorism,About the same,Can bring needed change,Mormon,In October,Donald Trump,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,Neither,Only Donald Trump,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Democratic Senate - did not vote Clinton,In the last month,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Version 1,1.0,84404.0
99499.0, Utah,,,Complete,Telephone survey,0.482828497886658,Hillary Clinton,Misty Snow,Mike Weinholtz,Female,White,50-59,Democrat,Liberal,Postgraduate study,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Foreign policy,About the same,Has the right experience,None,Before that,Hillary Clinton,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,Only Hillary Clinton,Only Hillary Clinton,Liberal Democrats,Liberal Democrats,Not a mormon,None,None,None,Democratic Senate - voted Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,Version 1,2.0,84108.0
99500.0, Utah,,,Complete,Telephone survey,1.38180375099182,Evan McMullin,Mike Lee,Mike Weinholtz,Male,White,65 or over,Independent,Conservative,College graduate,No,I strongly favor my candidate,Unfavorable,Unfavorable,Yes,No,Foreign policy,About the same,Has the right experience,Mormon,Before that,Would not have voted,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,,Neither,Only Hillary Clinton,Moderate/Liberal Republicans,Conservative Independents,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Republican Senate - did not vote Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,1.0,84010.0
99501.0, Utah,,,Complete,Telephone survey,3.7727427482605,Donald Trump,Mike Lee,Gary Herbert,Male,White,45-49,Republican,Conservative,Postgraduate study,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Foreign policy,Omit,Omit,Protestant,Before that,Donald Trump,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,,Only Donald Trump,Only Donald Trump,Independent/Something else,Conservative Republicans,Not a mormon,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Republican Senate - Voted Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,Version 1,2.0,84047.0
99502.0, Utah,,,Complete,Telephone survey,0.374173194169998,Hillary Clinton,Did not vote,Mike Weinholtz,Female,White,45-49,Democrat,Liberal,College graduate,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,The economy,About the same,Has good judgment,Mormon,Before that,Hillary Clinton,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,Only Hillary Clinton,Only Hillary Clinton,Liberal Democrats,Liberal Democrats,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,Version 1,2.0,84095.0
99503.0, Utah,,,Complete,Telephone survey,0.740611255168915,Evan McMullin,Mike Lee,Gary Herbert,Male,White,45-49,Republican,Conservative,College graduate,No,I strongly favor my candidate,Unfavorable,Unfavorable,No,No,The economy,About the same,Can bring needed change,Mormon,In October,Would not have voted,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,Neither,Neither,Independent/Something else,Conservative Republicans,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Republican Senate - did not vote Trump,In the last month,Before that,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,West,Version 1,1.0,84015.0
99504.0, Utah,,,Complete,Telephone survey,0.450877606868744,Hillary Clinton,Misty Snow,Gary Herbert,Female,White,65 or over,Republican,Moderate,Some college/assoc. degree,No,I dislike the other candidates,Omit,Unfavorable,Omit,No,Terrorism,Better than life today,Has the right experience,Mormon,Before that,Would not have voted,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,Omit,Omit,Conservative Republicans,Mod./Liberal Republicans,Mormon,Mormon,Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Democratic Senate - voted Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,3.0,84097.0
