ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSVA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,CHIEF16,CLINTONEMAIL,DESCRIBP12,ECONFAIR,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVKAINE,FINSIT,GOVTANGR16,GUN16,GUNOWNER12,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,MOVETOVA14,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,VETVOTER,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,BORNINVA14,MOVETOVA10YR,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138990.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,,,,,,,,,,,,,,,,,Omit,Omit,,,,,,,,,,,,,Foreign policy,,,,Omit,,Omit,,,,,,In October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,Omit,,,,,,Omit,,,,,In the last month,Before that,,,National questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,Richmond/East,23837.0
138991.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,65 or over,Independent,Conservative,,Some college/assoc. degree,,,Yes,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Has good judgment,,,,,,Before that,,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,Only Donald Trump,,,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,,,Before that,Before that,,,National questionnaire,Rural,Small Cities/Rural,7.0,South,Version 1,Richmond/East,23093.0
138992.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,65 or over,Republican,Conservative,"$30,000-$49,999",High school or less,,,No,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Has good judgment,,,,,,Before that,,,,White men,Non married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,White suburban men,Yes,,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,Before that,Before that,,,National questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Central/West,24121.0
138993.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,Asian,40-44,Independent,Conservative,"$50,000-$99,999",College graduate,,,Yes,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has good judgment,,,,,,In September,,,,All other races,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent women,All others,Asian,Other,Non-white,,Other,No,,,Only Hillary Clinton,,,,,,Approve,Moderate/Liberal Republicans,Conservative Independents,,,Before that,Before that,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,Version 1,D.C. Suburbs,22201.0
138994.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,65 or over,Democrat,Conservative,"$30,000-$49,999",High school or less,,,No,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Foreign policy,,,,Somewhat approve,,Cares about people like me,,,,,,Before that,,,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,Yes,,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Before that,Before that,,,National questionnaire,Rural,Small Cities/Rural,9.0,South,Version 1,Central/West,24228.0
138995.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,Black,45-49,Democrat,Moderate,"$100,000-$199,999",College graduate,,,No,,,,,,,,Omit,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,In September,,,,Black women,Non married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,,,Omit,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Before that,Before that,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Richmond/East,23223.0
138996.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,50-59,Democrat,,"$250,000 or more",College graduate,,,No,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,Before that,,,,White women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,No,,,Only Hillary Clinton,,,,,,Approve,,,,,Before that,Before that,,,National questionnaire,Suburbs,Suburbs,11.0,South,Version 1,D.C. Suburbs,20170.0
139187.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,25-29,Independent,Moderate,"Under $30,000",High school or less,,,,,,,,I dislike the other candidates,,,,,,,Angry,,,,,,No,Yes,,,The economy,,,Poor,,,Has good judgment,,,,No,Yes,,,,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,Yes,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,,,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,Only Donald Trump,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,9.0,South,Version 2,Central/West,24073.0
139188.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",Some college/assoc. degree,,,,,,,,I like my candidate but with reservations,,,,,,,"Dissatisfied, but not angry",,,,,,Omit,No,,,The economy,,,Good,,,Cares about people like me,,,,Yes,No,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,No,,,,"Dissatisfied, but not angry or Angry",Omit,,,Excellent or good,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,,,National questionnaire,Suburbs,Suburbs,11.0,South,Version 2,D.C. Suburbs,22003.0
139189.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,60-64,Republican,Conservative,,High school or less,,,,,,,,I like my candidate but with reservations,,,,,,,"Dissatisfied, but not angry",,,,,,No,Yes,,,Foreign policy,,,Not so good,,,Has good judgment,,,,Yes,Yes,,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,,,Not so good or poor,,Independent/Something else,Conservative Republicans,,Both,,,,,National questionnaire,Rural,Small Cities/Rural,9.0,South,Version 2,Central/West,24279.0
