ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWI16,SENWI16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,ATTEND16,BRNAGAIN,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVRYAN2,FINSIT,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
201036.0,Wisconsin,35.0,Call 2,Complete,Election day exit poll,0.841925263404846,Hillary Clinton,,Male,White,65 or over,Republican,Moderate,,Some college/assoc. degree,No,,,,,,,Omit,Unfavorable,Unfavorable,Unfavorable,,,,,,,,,,Immigration,,,,Somewhat disapprove,,Omit,No,No,,,,In the last week,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,,,Neither,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Neither,,,In the last month,In the last week,,State questionnaire,Suburbs,Suburbs,6.0,Midwest,Version 1,Southeast
221996.0,Wisconsin,6.0,Call 3,Complete,Election day exit poll,0.630693256855011,Hillary Clinton,,Female,White,60-64,Democrat,Liberal,,College graduate,No,No,,,,Not at all,,,,,,Worse today,,Hillary Clinton,Hillary Clinton,Was about right,,,Hurt the country,Deported to the country they came from,,Better today,About the same,,,,,,,Whites are favored over minorities,,,,Takes away U.S. jobs,A lot,,White women,Non married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 3,Northeast
221800.0,Wisconsin,87.0,Call 3,Complete,Election day exit poll,0.566114008426666,Hillary Clinton,,Female,Black,30-39,Democrat,Liberal,,Some college/assoc. degree,No,Yes,,,,A lot,,,,,,Better today,,Donald Trump,Donald Trump,Went too far,,,Hurt the country,Offered a chance to apply for legal status,,Better today,Worse than life today,,,,,,,Minorities are favored over whites,,,,Takes away U.S. jobs,Not at all,,Black women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democratic Women,Non-White Democrats,Black,Black,Non-white,Black,Other,,,A lot or some,,,,,,Liberal Democrats,Liberal Democrats,,,,,,Not much or not at all,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,2.0,Midwest,Version 3,Southwest
220996.0,Wisconsin,31.0,Call 3,Complete,Election day exit poll,0.611132740974426,Hillary Clinton,,Female,White,30-39,,Liberal,,College graduate,No,Yes,,,,Some,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Omit,,,Help the country,Offered a chance to apply for legal status,,About the same,Better than life today,,,,,,,No group is favored,,,,Omit,A lot,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,,,,,,,White,White,White,White,Other,,,A lot or some,,,,,,,,,,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 3,Northwest
184805.0,Wisconsin,29.0,Call 1,Complete,Election day exit poll,0.665209531784058,Donald Trump,,Female,White,60-64,Democrat,,"$50,000-$99,999",High school or less,,,,A few times a year,No,,,Omit,Unfavorable,Favorable,Unfavorable,,,,,,,,,,Immigration,,,,Strongly approve,,Can bring needed change,No,No,,,,In September,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,White suburban women,No,A few times a year or less,,Only Donald Trump,,,,Approve,,,Neither,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,Northwest
201537.0,Wisconsin,15.0,Call 2,Complete,Election day exit poll,1.11387741565704,Donald Trump,,Female,White,65 or over,Republican,Conservative,,College graduate,,,Donald Trump,,,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,,No,Yes,,,Foreign policy,,,Not so good,,Change to more conservative policies,Can bring needed change,,,,No,Omit,,,,No,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,Other,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Independent/Something else,Conservative Republicans,,,Omit,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 2,Southwest
200840.0,Wisconsin,47.0,Call 2,Not complete,Election day exit poll,0.584226369857788,Donald Trump,,Female,White,30-39,,,,,No,Yes,,,,,,,,,,Worse today,,,,Went too far,,,,,,,,,,,,,,,,,,Takes away U.S. jobs,,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,,,,,,,,,,,,,,,White,White,White,White,White suburban women,,,,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 3,Northwest
183873.0,Wisconsin,34.0,Call 1,Complete,Election day exit poll,0.873567640781403,Donald Trump,,Female,White,50-59,Something else,,"$100,000-$199,999",College graduate,No,,,,No,,,Omit,Unfavorable,Favorable,Unfavorable,,,,,,,,,,The economy,,,,Strongly disapprove,,Has the right experience,No,Yes,,,,Before that,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,White suburban women,No,,,Only Donald Trump,,,,Disapprove,,,Only Donald Trump,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,6.0,Midwest,Version 1,Southeast
200587.0,Wisconsin,57.0,Call 2,Complete,Election day exit poll,1.21821224689484,Donald Trump,,Female,White,30-39,Democrat,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,,,Never,No,,,Treats all people fairly,Unfavorable,Unfavorable,Omit,,,,,,,,,,The economy,,,,Somewhat disapprove,,Can bring needed change,Omit,Omit,,,,In the last few days,,,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,No,A few times a year or less,,Neither,,,,Disapprove,Liberal Democrats,Liberal Democrats,Omit,,,In the last month,In the last week,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 1,Milwaukee County
183602.0,Wisconsin,112.0,Call 1,Complete,Election day exit poll,0.770242631435394,Donald Trump,,Female,White,65 or over,Republican,,,High school or less,,Yes,,,,A lot,,,,,,About the same,,Donald Trump,Donald Trump,Went too far,,,Omit,Omit,,Worse today,Worse than life today,,,,,,,No group is favored,,,,Creates more U.S. jobs,Some,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,Other,,,A lot or some,,,,,,,,,,,,,A lot or some,State questionnaire,Rural,Small Cities/Rural,6.0,Midwest,Version 3,Northwest
