ID,BACKSIDE,CALL,CDNUM,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,HEALTHDEM16,HEALTHDEMCLIN,HEALTHDEMSANDERS,IADPRS16,IAPARTYID,INC100K,INC30K,INC50K,INCOME3,INCOME16CAU,ISSDEM16,MARRIED,OBAMAPLCY,PARTY,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVCAUCDEM,QLT16DEMCAU,QRACE4,QTYPE,RACE2B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMEIA16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,UNIONHH12,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE16,ZIPCODE
67824.0,Complete,Call 3,2.0,,,,,2.0,Both of them,Only Clinton or both of them,Only Sanders or both of them,Hillary Clinton,,,,,,,Omit,,Generally continue Barack Obama's policies,,,,,43.0,"Yes, I attended a caucus before",Honest and trustworthy,,State questionnaire,,Midwest,Male,,,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.324083834886551,,65+,60+,65 or over,45+,50+,60+,65+,,52556.0
65940.0,Complete,Call 1,1.0,High school or less,No college degree,High school graduate or less,White no college degree,2.0,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Hillary Clinton,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999",Health care,Yes,Generally continue Barack Obama's policies,,Very liberal,Liberal,Liberal,20.0,"Yes, I attended a caucus before",Honest and trustworthy,White,State questionnaire,White,Midwest,Female,White women,Married women,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,0.474237322807312,No,65+,60+,65 or over,45+,50+,60+,65+,White 65+,52052.0
68344.0,Complete,Call 3,4.0,,,,,5.0,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,Bernie Sanders,,,,,,,Health care,Yes,Change to more liberal policies,,,,,37.0,"Yes, I attended a caucus before",Honest and trustworthy,White,State questionnaire,White,Midwest,Female,White women,Married women,Suburbs,Suburbs, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Version 1,0.419688671827316,,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,51555.0
67451.0,Complete,Call 3,1.0,College graduate,College graduate,More than High school graduate,Non white college degree,4.0,Both of them,Only Clinton or both of them,Only Sanders or both of them,Bernie Sanders,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999",Economy/Jobs,Yes,Change to more liberal policies,,Very liberal,Liberal,Liberal,61.0,"Yes, I attended a caucus before",Honest and trustworthy,Other,State questionnaire,Non-white,Midwest,Male,All other races,Married men,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.39854821562767,No,65+,60+,65 or over,45+,50+,60+,65+,All Others,50158.0
67042.0,Complete,Call 3,1.0,,,,,1.0,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,Bernie Sanders,,,,,,,Economy/Jobs,,Change to more liberal policies,,,,,26.0,"No, this is my first caucus",Cares about people like me,White,State questionnaire,White,Midwest,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,Just today,Last few days,In the last month,This month,,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Version 1,1.4655601978302,,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,52068.0
66877.0,Complete,Call 2,1.0,College graduate,College graduate,More than High school graduate,White college degree,1.0,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,Bernie Sanders,,,,,,,Economy/Jobs,Yes,Omit,,,,,51.0,"No, this is my first caucus",Honest and trustworthy,White,State questionnaire,White,Midwest,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,No,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Version 1,1.11286783218384,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,52402.0
66410.0,Complete,Call 2,2.0,College graduate,College graduate,More than High school graduate,,2.0,Omit,Omit,Omit,Bernie Sanders,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000",Economy/Jobs,Yes,Omit,,Somewhat liberal,Liberal,Liberal,48.0,"No, this is my first caucus",Has the right experience,,State questionnaire,,Midwest,Female,,Married women,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.956784844398499,,65+,60+,65 or over,45+,50+,60+,65+,,52632.0
66014.0,Complete,Call 2,2.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,Both of them,Only Clinton or both of them,Only Sanders or both of them,Bernie Sanders,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999",Health care,No,Generally continue Barack Obama's policies,,Somewhat liberal,Liberal,Liberal,25.0,"No, this is my first caucus",Has the right experience,White,State questionnaire,White,Midwest,Male,White men,Non married men,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Version 1,1.16357886791229,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,52655.0
65214.0,Complete,Call 1,2.0,College graduate,College graduate,More than High school graduate,White college degree,2.0,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,Bernie Sanders,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000",Omit,No,Omit,,Moderate,Moderate or conservative,Moderate,43.0,"Yes, I attended a caucus before",Omit,White,State questionnaire,White,Midwest,Female,White women,Non married women,Rural,Small Cities/Rural, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Version 1,0.348227769136429,No,65+,60+,65 or over,45+,50+,60+,65+,White 65+,52556.0
67902.0,Complete,Call 3,1.0,,,,,1.0,Omit,Omit,Omit,Uncommitted,,,,,,,Health care,,Generally continue Barack Obama's policies,,,,,51.0,Omit,Has the right experience,,State questionnaire,,Midwest,Male,,,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,Just today,Last few days,In the last month,This month,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.394659727811813,,,,,,,,,,52402.0
